"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00206371","1888-01","42.01667","-85.55","265.2","PARKVILLE, MI US","","","14",",6","9",",6","0",",6","7",",6","","","","","","","","","","","","","","","18880125","+,,6","","","18880104",",,6","","","","","51",",,6,25,+","17.8",",,6,04,","","","","","61.9",",,,6","347",",,,6","","","","","",""
"USC00206371","1888-02","42.01667","-85.55","265.2","PARKVILLE, MI US","","","8",",6","7",",6","0",",6","3",",6","","","","","","","","","","","","","","","18880225","+,,6","","","18880224",",,6","","","","","25",",,6,25,+","22.4",",,6,24,","","","","","51.1",",,,6","88",",,,6","","","","","",""
"USC00206371","1888-03","42.01667","-85.55","265.2","PARKVILLE, MI US","","","12",",6","8",",6","0",",6","3",",6","","","","","","","","","","","","","","","18880327","+,,6","","","18880301",",,6","","","","","38",",,6,27,+","16.8",",,6,01,","","","","","71.2",",,,6","140",",,,6","","","","","",""
"USC00206371","1888-04","42.01667","-85.55","265.2","PARKVILLE, MI US","","","7",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18880409",",,6","","","","","","","16.5",",,6,09,","","","","","48.3",",,,6","","","","","","","",""
"USC00206371","1888-05","42.01667","-85.55","265.2","PARKVILLE, MI US","","","13",",6","9",",6","2",",6","","","","","","","","","","","","","","","","","","","","","18880511",",,6","","","","","","","51.8",",,6,11,","","","","","173.2",",,,6","","","","","","","",""
"USC00206371","1888-06","42.01667","-85.55","265.2","PARKVILLE, MI US","","","11",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","18880627",",,6","","","","","","","33.8",",,6,27,","","","","","68.4",",,,6","","","","","","","",""
"USC00206371","1888-07","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18880706",",,6","","","","","","","18.3",",,6,06,","","","","","47.6",",,,6","","","","","","","",""
"USC00206371","1888-08","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18880807",",,6","","","","","","","11.2",",,6,07,","","","","","17.7",",,,6","","","","","","","",""
"USC00206371","1888-09","42.01667","-85.55","265.2","PARKVILLE, MI US","","","11",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18880915",",,6","","","","","","","21.6",",,6,15,","","","","","60.0",",,,6","","","","","","","",""
"USC00206371","1888-10","42.01667","-85.55","265.2","PARKVILLE, MI US","","","9",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","18881005",",,6","","","","","","","15.0",",,6,05,","","","","","54.0",",,,6","","","","","","","",""
