"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TUM00017099","2013-06","39.733","43.05","1632.0","AGRI, TU","","","9",",S","4",",S","0",",S","","","0","2,S","0","2,S","","","","","","","20130608",",2,S","","","20130619",",,S","","","1.7","2,S,08,","","","7.4",",,S,19,","","","","","","","31.7",",,,S","","","","","7.79","2,,,S"
"TUM00017099","2013-07","39.733","43.05","1632.0","AGRI, TU","","","4",",S","2",",S","0",",S","","","0","5,S","0","5,S","0","5,S","26","5,S","7","5,S","20130731",",5,S","","","20130705",",,S","20130716",",5,S","7.6","5,S,31,","","","6.6",",,S,05,","33.4","5,S,16,","","","","","11.4",",,,S","21.15","9,S","29.90","5,,,S","12.40","5,,,S"
"TUM00017099","2013-08","39.733","43.05","1632.0","AGRI, TU","","","6",",S","3",",S","0",",S","","","","","","","0","4,S","27","4,S","2","4,S","","","","","20130821",",,S","20130818",",4,S","","","","","6.1",",,S,21,","33.5","4,S,18,","","","","","14.7",",,,S","","","29.67","4,,,S","",""
"TUM00017099","2013-09","39.733","43.05","1632.0","AGRI, TU","","","6",",S","3",",S","0",",S","","","0","4,S","0","4,S","","","","","","","20130927",",4,S","","","20130923",",,S","","","2.2","4,S,27,","","","8.6",",,S,23,","","","","","","","18.1",",,,S","","","","","6.77","4,,,S"
"TUM00017099","2013-10","39.733","43.05","1632.0","AGRI, TU","","","5","1,S","4","1,S","0","1,S","","","","","","","","","","","","","","","","","20131024",",1,S","","","","","","","10.9","1,,S,24,","","","","","","","31.2","1,,,S","","","","","",""
"TUM00017099","2013-11","39.733","43.05","1632.0","AGRI, TU","","","8","1,S","6","1,S","0","1,S","","","","","","","","","","","","","","","","","20131128",",1,S","","","","","","","20.3","1,,S,28,","","","","","","","48.5","1,,,S","","","","","",""
"TUM00017099","2013-12","39.733","43.05","1632.0","AGRI, TU","","","8","1,S","4","1,S","0","1,S","24","4,","","","","","","","","","","","","","20131214",",4,S","20131209",",1,S","","","","","340","4,,S,14,","17.5","1,,S,09,","","","","","","","30.5","1,,,S","","","","","",""
"TUM00017099","2014-01","39.733","43.05","1632.0","AGRI, TU","","","9",",S","5",",S","0",",S","31",",","","","","","","","","","","","","","20140128",",,S","20140128",",,S","","","","","399",",,S,28,","21.6",",,S,28,","","","","","","","52.9",",,,S","","","","","",""
"TUM00017099","2014-02","39.733","43.05","1632.0","AGRI, TU","","","3",",S","1",",S","0",",S","28",",","11","5,S","23","5,S","","","","","","","20140208",",5,S","20140201",",,S","20140226",",,S","","","-28.1","5,S,08,","259",",,S,01,","7.1",",,S,26,","","","","","","","8.7",",,,S","","","","","-16.75","5,,,S"
"TUM00017099","2014-03","39.733","43.05","1632.0","AGRI, TU","","","15",",S","5",",S","0",",S","","","","","","","2","4,S","0","4,S","0","4,S","","","","","20140330",",,S","20140325",",4,S","","","","","19.8",",,S,30,","16.7","4,S,25,","","","","","45.3",",,,S","","","9.07","4,,,S","",""
