"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES"
"US1MNLS0015","2017-01","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","14.7","5,a,,N"
"US1MNLS0015","2017-05","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","117.3","3,a,,N"
"US1MNLS0015","2017-08","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","157.1","1,a,,N"
"US1MNLS0015","2017-09","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","43.2","1,a,,N"
"US1MNLS0015","2017-10","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","103.8","2,a,,N"
"US1MNLS0015","2017-12","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","10.1","3,a,,N"
"US1MNLS0015","2018-01","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","27.6","2,a,,N"
"US1MNLS0015","2018-02","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","21.7","2,a,,N"
"US1MNLS0015","2018-05","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","94.0","2,a,,N"
"US1MNLS0015","2018-06","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","195.7","2,a,,N"
"US1MNLS0015","2018-10","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","55.1","2,a,,N"
"US1MNLS0015","2018-11","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","35.6","3,a,,N"
"US1MNLS0015","2019-02","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","66.3","3,a,,N"
"US1MNLS0015","2019-05","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","173.1","1,a,,N"
"US1MNLS0015","2019-09","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","110.2","4,a,,N"
"US1MNLS0015","2019-10","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","97.3","5,a,,N"
"US1MNLS0015","2023-12","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","33.9","5,a,,N"
"US1MNLS0015","2024-01","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","3.2","4,a,,N"
"US1MNLS0015","2024-02","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","15.5","1,a,,N"
"US1MNLS0015","2024-03","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","39.3","4,a,,N"
"US1MNLS0015","2024-04","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","114.6","2,a,,N"
"US1MNLS0015","2024-05","44.540333","-93.885889","299.6","HENDERSON 1.4 NE, MN US","120.5","2,a,,N"
