"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00168598","1936-09","30.166667","-91.35","3.0","SORREL, LA US","10","5,6","8","5,6","0","5,6","","","19360911",",5,6","11.2","5,,6,11,","49.6","5,,,6"
"USC00168598","1936-10","30.166667","-91.35","3.0","SORREL, LA US","4","4,6","3","4,6","1","4,6","","","19361006",",4,6","37.6","4,,6,06,","47.0","4,,,6"
"USC00168598","1936-12","30.166667","-91.35","3.0","SORREL, LA US","7","5,6","6","5,6","1","5,6","","","19361210",",5,6","35.1","5,,6,10,","107.2","5,,,6"
"USC00168598","1937-01","30.166667","-91.35","3.0","SORREL, LA US","15","5,6","11","5,6","4","5,6","","","19370104",",5,6","51.8","5,,6,04,","246.0","5,,,6"
"USC00168598","1937-02","30.166667","-91.35","3.0","SORREL, LA US","8","1,6","8","1,6","0","1,6","","","19370202",",1,6","18.8","1,,6,02,","62.4","1,,,6"
"USC00168598","1937-03","30.166667","-91.35","3.0","SORREL, LA US","11","3,6","10","3,6","3","3,6","","","19370314",",3,6","42.2","3,,6,14,","181.2","3,,,6"
"USC00168598","1937-04","30.166667","-91.35","3.0","SORREL, LA US","3","4,6","3","4,6","1","4,6","","","19370405",",4,6","32.5","4,,6,05,","57.2","4,,,6"
"USC00168598","1937-05","30.166667","-91.35","3.0","SORREL, LA US","2","5,6","2","5,6","1","5,6","","","19370501",",5,6","85.1","5,,6,01,","93.7","5,,,6"
"USC00168598","1937-06","30.166667","-91.35","3.0","SORREL, LA US","8","3,6","4","3,6","2","3,6","","","19370618",",3,6","43.2","3,,6,18,","95.2","3,,,6"
"USC00168598","1937-07","30.166667","-91.35","3.0","SORREL, LA US","13","5,6","8","5,6","2","5,6","","","19370710",",5,6","32.0","5,,6,10,","104.3","5,,,6"
"USC00168598","1937-08","30.166667","-91.35","3.0","SORREL, LA US","14","3,6","7","3,6","1","3,6","","","19370823",",3,6","89.9","3,,6,23,","167.0","3,,,6"
"USC00168598","1937-09","30.166667","-91.35","3.0","SORREL, LA US","7","3,6","5","3,6","2","3,6","","","19370905",",3,6","61.2","3,,6,05,","149.1","3,,,6"
"USC00168598","1937-10","30.166667","-91.35","3.0","SORREL, LA US","7","3,6","7","3,6","3","3,6","","","19371002",",3,6","63.2","3,,6,02,","216.4","3,,,6"
"USC00168598","1938-03","30.166667","-91.35","3.0","SORREL, LA US","6","4,6","3","4,6","1","4,6","","","19380323",",4,6","29.7","4,,6,23,","42.4","4,,,6"
"USC00168598","1938-04","30.166667","-91.35","3.0","SORREL, LA US","7","4,6","6","4,6","1","4,6","","","19380420",",4,6","30.0","4,,6,20,","96.0","4,,,6"
"USC00168598","1938-06","30.166667","-91.35","3.0","SORREL, LA US","10","4,6","10","4,6","0","4,6","","","19380620",",4,6","17.5","4,,6,20,","78.6","4,,,6"
"USC00168598","1938-08","30.166667","-91.35","3.0","SORREL, LA US","6","2,6","6","2,6","0","2,6","","","19380809",",2,6","21.3","2,,6,09,","57.9","2,,,6"
"USC00168598","1938-09","30.166667","-91.35","3.0","SORREL, LA US","7","4,6","6","4,6","0","4,6","","","19380907",",4,6","15.7","4,,6,07,","54.2","4,,,6"
"USC00168598","1938-10","30.166667","-91.35","3.0","SORREL, LA US","4","5,6","4","5,6","0","5,6","","","19381017",",5,6","14.2","5,,6,17,","40.4","5,,,6"
"USC00168598","1938-11","30.166667","-91.35","3.0","SORREL, LA US","3","5,6","3","5,6","2","5,6","","","19381104",",5,6","46.2","5,,6,04,","94.0","5,,,6"
"USC00168598","1939-01","30.166667","-91.35","3.0","SORREL, LA US","6","5,6","4","5,6","0","5,6","","","19390113",",5,6","9.1","5,,6,13,","26.4","5,,,6"
"USC00168598","1939-02","30.166667","-91.35","3.0","SORREL, LA US","9","4,6","7","4,6","2","4,6","","","19390203",",4,6","29.5","4,,6,03,","114.9","4,,,6"
"USC00168598","1939-03","30.166667","-91.35","3.0","SORREL, LA US","3","4,6","2","4,6","0","4,6","","","19390302",",4,6","21.3","4,,6,02,","26.1","4,,,6"
"USC00168598","1939-05","30.166667","-91.35","3.0","SORREL, LA US","11","3,6","8","3,6","1","3,6","","","19390507",",3,6","52.6","3,,6,07,","146.5","3,,,6"
"USC00168598","1939-06","30.166667","-91.35","3.0","SORREL, LA US","15","4,6","10","4,6","3","4,6","","","19390617",",4,6","34.0","4,,6,17,","174.5","4,,,6"
"USC00168598","1940-02","30.166667","-91.35","3.0","SORREL, LA US","","","","","","","3","","","","","","",""
"USC00168598","1940-03","30.166667","-91.35","3.0","SORREL, LA US","7",",6","5",",6","2",",6","","","19400313",",,6","39.6",",,6,13,","106.6",",,,6"
"USC00168598","1940-04","30.166667","-91.35","3.0","SORREL, LA US","10",",6","8",",6","2",",6","","","19400430",",,6","88.6",",,6,30,","217.9",",,,6"
"USC00168598","1940-05","30.166667","-91.35","3.0","SORREL, LA US","4",",6","3",",6","0",",6","","","19400529",",,6","15.5",",,6,29,","33.2",",,,6"
"USC00168598","1940-07","30.166667","-91.35","3.0","SORREL, LA US","22",",6","16",",6","2",",6","","","19400707",",,6","33.5",",,6,07,","223.5",",,,6"
"USC00168598","1940-08","30.166667","-91.35","3.0","SORREL, LA US","13",",6","10",",6","5",",6","","","19400809",",,6","66.5",",,6,09,","299.8",",,,6"
"USC00168598","1940-09","30.166667","-91.35","3.0","SORREL, LA US","6",",6","2",",6","1",",6","","","19400924",",,6","56.4",",,6,24,","75.2",",,,6"
"USC00168598","1940-10","30.166667","-91.35","3.0","SORREL, LA US","4",",6","2",",6","0",",6","","","19401027",",,6","4.3",",,6,27,","9.4",",,,6"
"USC00168598","1940-11","30.166667","-91.35","3.0","SORREL, LA US","9",",6","6",",6","4",",6","","","19401111",",,6","55.4",",,6,11,","151.0",",,,6"
"USC00168598","1940-12","30.166667","-91.35","3.0","SORREL, LA US","15",",6","10",",6","6",",6","","","19401213",",,6","69.9",",,6,13,","323.7",",,,6"
"USC00168598","1941-01","30.166667","-91.35","3.0","SORREL, LA US","7",",6","7",",6","1",",6","","","19410115",",,6","30.7",",,6,15,","112.9",",,,6"
"USC00168598","1941-02","30.166667","-91.35","3.0","SORREL, LA US","7",",6","5",",6","0",",6","","","19410225",",,6","21.6",",,6,25,","48.7",",,,6"
"USC00168598","1941-04","30.166667","-91.35","3.0","SORREL, LA US","8",",6","3",",6","1",",6","","","19410420",",,6","25.4",",,6,20,","64.3",",,,6"
"USC00168598","1941-05","30.166667","-91.35","3.0","SORREL, LA US","12",",6","8",",6","4",",6","","","19410531",",,6","52.3",",,6,31,","198.2",",,,6"
"USC00168598","1941-06","30.166667","-91.35","3.0","SORREL, LA US","13",",6","10",",6","1",",6","","","19410605",",,6","29.0",",,6,05,","128.5",",,,6"
"USC00168598","1941-08","30.166667","-91.35","3.0","SORREL, LA US","6",",6","4",",6","0",",6","","","19410812",",,6","16.3",",,6,12,","39.7",",,,6"
"USC00168598","1941-09","30.166667","-91.35","3.0","SORREL, LA US","13",",6","11",",6","3",",6","","","19410915",",,6","27.9",",,6,15,","168.3",",,,6"
"USC00168598","1941-10","30.166667","-91.35","3.0","SORREL, LA US","10",",6","9",",6","1",",6","","","19411027",",,6","38.6",",,6,27,","86.1",",,,6"
"USC00168598","1941-11","30.166667","-91.35","3.0","SORREL, LA US","8",",6","7",",6","0",",6","","","19411101",",,6","18.3",",,6,01,","87.9",",,,6"
"USC00168598","1941-12","30.166667","-91.35","3.0","SORREL, LA US","5",",6","4",",6","1",",6","","","19411223",",,6","68.6",",,6,23,","107.8",",,,6"
"USC00168598","1942-01","30.166667","-91.35","3.0","SORREL, LA US","6",",6","3",",6","0",",6","","","19420103",",,6","18.0",",,6,03,","43.4",",,,6"
"USC00168598","1942-02","30.166667","-91.35","3.0","SORREL, LA US","8",",6","8",",6","2",",6","","","19420215",",,6","84.6",",,6,15,","176.4",",,,6"
"USC00168598","1942-03","30.166667","-91.35","3.0","SORREL, LA US","9",",6","8",",6","1",",6","","","19420326",",,6","58.2",",,6,26,","132.1",",,,6"
"USC00168598","1942-04","30.166667","-91.35","3.0","SORREL, LA US","9",",6","7",",6","0",",6","","","19420409",",,6","23.6",",,6,09,","68.4",",,,6"
"USC00168598","1942-05","30.166667","-91.35","3.0","SORREL, LA US","5",",6","5",",6","0",",6","","","19420530",",,6","17.5",",,6,30,","48.2",",,,6"
"USC00168598","1942-06","30.166667","-91.35","3.0","SORREL, LA US","17",",6","15",",6","3",",6","","","19420627",",,6","62.2",",,6,27,","310.2",",,,6"
"USC00168598","1942-07","30.166667","-91.35","3.0","SORREL, LA US","9",",6","9",",6","2",",6","","","19420724",",,6","51.3",",,6,24,","170.3",",,,6"
"USC00168598","1942-08","30.166667","-91.35","3.0","SORREL, LA US","17",",6","13",",6","2",",6","","","19420824",",,6","33.0",",,6,24,","183.8",",,,6"
"USC00168598","1942-09","30.166667","-91.35","3.0","SORREL, LA US","8",",6","8",",6","2",",6","","","19420917",",,6","130.8",",,6,17,","207.8",",,,6"
"USC00168598","1942-10","30.166667","-91.35","3.0","SORREL, LA US","6",",6","6",",6","2",",6","","","19421025",",,6","35.6",",,6,25,","100.5",",,,6"
"USC00168598","1942-11","30.166667","-91.35","3.0","SORREL, LA US","3",",6","1",",6","0",",6","","","19421122",",,6","3.0",",,6,22,","5.0",",,,6"
"USC00168598","1942-12","30.166667","-91.35","3.0","SORREL, LA US","9",",6","6",",6","1",",6","","","19421229",",,6","30.5",",,6,29,","73.1",",,,6"
"USC00168598","1943-01","30.166667","-91.35","3.0","SORREL, LA US","7",",6","4",",6","0",",6","","","19430113",",,6","18.5",",,6,13,","54.6",",,,6"
"USC00168598","1943-02","30.166667","-91.35","3.0","SORREL, LA US","5",",6","4",",6","0",",6","","","19430205",",,6","24.9",",,6,05,","61.4",",,,6"
"USC00168598","1943-03","30.166667","-91.35","3.0","SORREL, LA US","10",",6","9",",6","3",",6","","","19430317",",,6","69.3",",,6,17,","230.9",",,,6"
"USC00168598","1943-04","30.166667","-91.35","3.0","SORREL, LA US","5",",6","4",",6","0",",6","","","19430418",",,6","22.6",",,6,18,","52.1",",,,6"
"USC00168598","1943-05","30.166667","-91.35","3.0","SORREL, LA US","7",",6","6",",6","0",",6","","","19430511",",,6","22.9",",,6,11,","71.6",",,,6"
"USC00168598","1943-06","30.166667","-91.35","3.0","SORREL, LA US","7",",6","7",",6","2",",6","","","19430630",",,6","40.4",",,6,30,","143.1",",,,6"
"USC00168598","1943-07","30.166667","-91.35","3.0","SORREL, LA US","10",",6","7",",6","3",",6","","","19430711",",,6","49.5",",,6,11,","169.7",",,,6"
"USC00168598","1943-08","30.166667","-91.35","3.0","SORREL, LA US","6",",6","6",",6","2",",6","","","19430812",",,6","38.6",",,6,12,","105.9",",,,6"
"USC00168598","1943-09","30.166667","-91.35","3.0","SORREL, LA US","9",",6","9",",6","5",",6","","","19430919",",,6","93.0",",,6,19,","399.8",",,,6"
"USC00168598","1943-10","30.166667","-91.35","3.0","SORREL, LA US","2",",6","2",",6","0",",6","","","19431014",",,6","19.1",",,6,14,","23.7",",,,6"
"USC00168598","1943-11","30.166667","-91.35","3.0","SORREL, LA US","5",",6","3",",6","2",",6","","","19431107",",,6","76.2",",,6,07,","115.6",",,,6"
"USC00168598","1943-12","30.166667","-91.35","3.0","SORREL, LA US","9",",6","7",",6","3",",6","","","19431225",",,6","63.8",",,6,25,","182.4",",,,6"
"USC00168598","1944-01","30.166667","-91.35","3.0","SORREL, LA US","8",",6","7",",6","2",",6","","","19440113",",,6","88.9",",,6,13,","212.3",",,,6"
"USC00168598","1944-02","30.166667","-91.35","3.0","SORREL, LA US","9",",6","6",",6","2",",6","","","19440220",",,6","33.0",",,6,20,","90.6",",,,6"
