"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00014835","1944-01","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","7",",6","0",",6","0",",6","","","","","19440113",",,6","19440108","+,,6","19440119","+,,6","","","","","19440127","+,,6","-15.0",",6,13,","0",",T,6,08,+","0",",T,6,19,+","","","17.8",",6,27,+","","","551.2",",6","","","0",",T,,6","0.55",",6","5.48",",,,6","-4.38",",,,6","","","","","","","","","","","",""
"USW00014835","1944-02","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0","1,6","7",",6","6",",6","0",",6","11",",6","3",",6","2",",6","23",",6","7","1,6","0","1,6","0","1,6","","","","","19440213",",,6","19440213","+,,6","19440210",",,6","","","19440225",",,6","19440226",",1,6","-21.1",",6,13,","178",",,6,13,+","152",",,6,10,","22.4",",,6,25,","20.6","1,6,26,","","","508.6","1,6","50.1",",,,6","218",",,,6","0.28","1,6","4.93","1,,,6","-4.37",",,,6","","","","","","","","","","","",""
"USW00014835","1944-03","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0","2,6","14",",6","7",",6","0",",6","1",",","","","0","1,6","22","1,6","4","1,6","0","1,6","0","1,6","","","","","19440310","+,1,6","19440304",",,6","","","","","19440304",",,6","19440315",",1,6","-9.4","1,6,10,+","254",",,6,04,","","","18.3",",,6,04,","18.9","1,6,15,","","","469.7","1,6","60.7",",,,6","","","2.15","2,6","7.12","1,,,6","-2.82","1,,,6","","","","","","","","","","","",""
"USW00014835","1944-04","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","","0.0",",6","11",",6","8",",6","3",",6","0",",6","0",",6","0",",6","7",",6","1",",6","3",",6","0",",6","","","","","19440405","+,,6","19440430","+,,6","19440430","+,,6","","","19440411",",,6","19440423",",,6","-5.0",",6,05,+","0",",,6,30,+","0",",,6,30,+","34.8",",,6,11,","22.2",",6,23,","","","270.3",",6","143.9",",,,6","0",",,,6","9.32",",6","14.42",",,,6","4.22",",,,6","","","","","","","","","","","",""
"USW00014835","1944-05","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","99.3","","99.3",",6","14",",6","9",",6","2",",6","0",",","","","0",",6","0",",6","0",",6","24",",6","2",",6","","","","","19440506",",,6","19440531","+,,6","","","","","19440522",",,6","19440526",",,6","0.6",",6,06,","0",",,6,31,+","","","25.7",",,6,22,","32.8",",6,26,","","","57.4",",6","118.5",",,,6","","","19.69",",6","25.38",",,,6","13.99",",,,6","","","","","","","","","","","",""
"USW00014835","1944-06","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","265.1","","165.8",",6","7",",6","6",",6","0",",6","0",",","","","0",",6","0",",6","0",",6","28",",6","9",",6","","","","","19440607",",,6","19440630","+,,6","","","","","19440614",",,6","19440628",",,6","7.2",",6,07,","0",",,6,30,+","","","11.4",",,6,14,","37.8",",6,28,","","","10.0",",6","35.3",",,,6","","","23.53",",6","29.56",",,,6","17.50",",,,6","","","","","","","","","","","",""
"USW00014835","1944-07","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","449.8","","184.7","4,6","7",",6","2",",6","0",",6","0",",","","","0","4,6","0","4,6","0",",6","31",",6","19",",6","","","","","19440721",",4,6","19440731","+,,6","","","","","19440726",",,6","19440710",",,6","9.4","4,6,21,","0",",,6,31,+","","","18.8",",,6,26,","38.3",",6,10,","0.0","","0.0",",6","32.2",",,,6","","","24.86","4,6","32.24",",,,6","17.49","4,,,6","","","","","","","","","","","",""
"USW00014835","1944-08","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","628.1","","178.3",",6","9",",6","5",",6","0",",6","0",",","","","0",",6","0",",6","0",",6","29",",6","14",",6","","","","","19440819",",,6","19440831","+,,6","","","","","19440831",",,6","19440810","+,,6","9.4",",6,19,","0",",,6,31,+","","","24.4",",,6,31,","36.1",",6,10,+","3.9","","3.9",",6","76.6",",,,6","","","23.96",",6","29.78",",,,6","18.13",",,,6","","","","","","","","","","","",""
"USW00014835","1944-09","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","695.0","","66.9",",6","6",",6","4",",6","0",",6","0",",","","","0",",6","0",",6","0",",6","26",",6","1",",6","","","","","19440925",",,6","19440930","+,,6","","","","","19440928",",,6","19440903",",,6","4.4",",6,25,","0",",,6,30,+","","","17.8",",,6,28,","32.8",",6,03,","41.6","","37.7",",6","30.5",",,,6","","","19.31",",6","25.41",",,,6","13.20",",,,6","","","","","","","","","","","",""
"USW00014835","1944-10","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","707.3","","12.3",",6","5",",6","3",",6","0",",6","","","0",",6","0",",6","3",",6","0",",6","11",",6","0",",6","","","","","19441016",",,6","","","19441031","+,,6","","","19441005",",,6","19441006",",,6","-1.7",",6,16,","","","0",",,6,31,+","23.1",",,6,05,","28.9",",6,06,","233.3","","191.7",",6","53.6",",,,6","0",",,,6","12.54",",6","18.82",",,,6","6.26",",,,6","","","","","","","","","","","",""
"USW00014835","1944-11","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","709.2","","1.9","2,6","14",",6","5",",6","0",",6","0",",6","0",",6","0","2,6","8","2,6","1",",6","2",",6","0",",6","","","","","19441130",",2,6","19441130","+,,6","19441129",",,6","","","19441103",",,6","19441101",",,6","-6.1","2,6,30,","0",",T,6,30,+","3",",,6,29,","14.5",",,6,03,","24.4",",6,01,","563.4","","330.1",",6","54.0",",,,6","3",",,,6","6.53","2,6","9.63",",,,6","3.43","2,,,6","","","","","","","","","","","",""
"USW00014835","1945-01","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","6","0.0",",6","7",",6","1",",6","0",",6","31",",","","","3",",6","31",",6","21",",6","0",",6","0",",6","","","","","19450102",",,6","19450110",",,6","","","","","19450110",",,6","19450112",",,6","-19.4",",6,02,","127",",,6,10,","","","3.0",",,6,10,","5.0",",6,12,","","","732.7",",6","8.6",",,,6","","","-5.30",",6","-1.79",",,,6","-8.82",",,,6","","","","","","","","","","","",""
"USW00014835","1945-02","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","0.0","6","0.0","1,6","11",",6","2",",6","0",",6","5",",","","","1","1,6","22","1,6","8",",6","0",",6","0",",6","","","","","19450201",",1,6","19450228","+,,6","","","","","19450221",",,6","19450215",",,6","-18.3","1,6,01,","25",",,6,28,+","","","15.7",",,6,21,","18.3",",6,15,","","","495.4",",6","30.4",",,,6","","","0.03","1,6","3.85",",,,6","-3.80","1,,,6","","","","","","","","","","","",""
"USW00014835","1945-03","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","4.0","6","4.0",",6","13",",6","10",",6","1",",6","","","0",",6","0",",6","11",",6","0",",6","10",",6","0",",6","","","","","19450301",",,6","","","19450321","+,,6","","","19450330",",,6","19450328","+,,6","-5.0",",6,01,","","","0",",T,6,21,+","33.5",",,6,30,","26.7",",6,28,+","","","244.4",",6","144.2",",,,6","0",",T,,6","10.58",",6","16.28",",,,6","4.88",",,,6","","","","","","","","","","","",""
"USW00014835","1945-04","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","7.1","6","3.1",",6","13",",6","8",",6","0",",6","","","0",",6","0",",6","2",",6","0",",6","7",",6","0",",6","","","","","19450405",",,6","","","19450405",",,6","","","19450426",",,6","19450411","+,,6","-1.1",",6,05,","","","0",",T,6,05,","18.0",",,6,26,","25.6",",6,11,+","","","221.7",",6","87.6",",,,6","0",",T,,6","11.04",",6","16.42",",,,6","5.66",",,,6","","","","","","","","","","","",""
"USW00014835","1945-05","40.41236","-86.94739","181.7","LAFAYETTE PURDUE UNIVERSITY AIRPORT, IN US","","","15.7","6","8.6",",6","15","1,6","8","1,6","2","1,6","","","","","0",",6","0",",6","0",",6","15",",6","0",",6","","","","","19450511","+,,6","","","","","","","19450516",",1,6","19450526","+,,6","1.7",",6,11,+","","","","","29.7","1,,6,16,","28.3",",6,26,+","","","161.2",",6","92.8","1,,,6","","","13.41",",6","18.93",",,,6","7.89",",,,6","","","","","","","","","","","",""
