"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00027491","1961-05","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","10",",I","4",",I","0",",I","","","","","","","","","","","","","","","","","19610523",",,I","","","","","","","10.9",",,I,23,","","","","","","","35.8",",,,I","","","","","",""
"RSM00027491","1961-06","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","4","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","19610626",",1,I","","","","","","","3.2","1,,I,26,","","","","","","","7.9","1,,,I","","","","","",""
"RSM00027491","1961-07","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","12",",I","8",",I","1",",I","","","","","","","","","","","","","","","","","19610724",",,I","","","","","","","38.7",",,I,24,","","","","","","","81.0",",,,I","","","","","",""
"RSM00027491","1961-08","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","14","2,I","6","2,I","0","2,I","","","","","","","","","","","","","","","","","19610809",",2,I","","","","","","","16.6","2,,I,09,","","","","","","","59.0","2,,,I","","","","","",""
"RSM00027491","1961-09","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19610919",",,I","","","","","","","12.4",",,I,19,","","","","","","","37.8",",,,I","","","","","",""
"RSM00027491","1961-10","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9","1,I","0","1,I","0","1,I","","","","","","","","","","","","","","","","","19611028",",1,I","","","","","","","2.2","1,,I,28,","","","","","","","10.0","1,,,I","","","","","",""
"RSM00027491","1961-11","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","8","1,I","2","1,I","0","1,I","","","","","","","","","","","","","","","","","19611123",",1,I","","","","","","","5.0","1,,I,23,","","","","","","","14.9","1,,,I","","","","","",""
"RSM00027491","1961-12","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","14","2,I","2","2,I","0","2,I","","","","","","","","","","","","","","","","","19611222",",2,I","","","","","","","3.4","2,,I,22,","","","","","","","18.6","2,,,I","","","","","",""
"RSM00027491","1962-01","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","21","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19620104",",1,I","","","","","","","6.7","1,,I,04,","","","","","","","30.2","1,,,I","","","","","",""
"RSM00027491","1962-02","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","10","2,I","1","2,I","0","2,I","","","","","","","","","","","","","","","","","19620218",",2,I","","","","","","","3.6","2,,I,18,","","","","","","","12.8","2,,,I","","","","","",""
