"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003935","1960-06","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","","","162.0",",0","6",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","12",",0","4","","","","19600609",",,0","19600630","+,,0","19600630","+,,0","4","","19600613",",,0","19600622",",,0","10.0",",0,09,","0",",,0,30,+","0",",,0,30,+","26.7",",,0,13,","37.8",",0,22,","","","0.0",",0","84.4",",,,0","","","","","","","0",",,,0","23.73",",0","30.31",",,,0","17.15",",,,0","","","","","","","","","","","","","",""
"USW00003935","1960-07","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","","","198.8",",0","7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","2","","","","19600708","+,,0","19600731","+,,0","19600731","+,,0","4","","19600725",",,0","19600721","+,,0","12.8",",0,08,+","0",",,0,31,+","0",",,0,31,+","52.8",",,0,25,","35.0",",0,21,+","0.0","0","0.0",",0","66.4",",,,0","","","","","","","0",",,,0","24.75",",0","31.19",",,,0","18.30",",,,0","","","","","","","","","","","","","",""
"USW00003935","1960-08","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","","","233.4",",0","7",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","6","","","","19600812",",,0","19600831","+,,0","19600831","+,,0","6","","19600818",",,0","19600817",",,0","12.8",",0,12,","0",",,0,31,+","0",",,0,31,+","21.1",",,0,18,","36.1",",0,17,","0.0","0","0.0",",0","47.1",",,,0","","","","","","","0",",,,0","25.86",",0","32.35",",,,0","19.37",",,,0","","","","","","","","","","","","","",""
"USW00003935","1960-09","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","","","133.3","2,0","5",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","28","1,0","10","1,0","2","","","","19600930","+,1,0","19600930","+,,0","19600930","+,,0","3","","19600919",",,0","19600906",",1,0","7.8","1,0,30,+","0",",,0,30,+","0",",,0,30,+","31.5",",,0,19,","37.8","1,0,06,","5.5","0","5.5","1,0","76.0",",,,0","","","","","","","0",",,,0","22.85","2,0","30.36","1,,,0","15.34","1,,,0","","","","","","","","","","","","","",""
"USW00003935","1960-10","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","","","15.2",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","21",",0","0",",0","6","","","","19601021","+,,0","19601031","+,,0","19601031","+,,0","2","","19601019",",,0","19601002",",,0","-1.1",",0,21,+","0",",,0,31,+","0",",,0,31,+","28.2",",,0,19,","28.3",",0,02,","116.1","0","110.6",",0","65.6",",,,0","","","","","","","0",",,,0","15.26",",0","21.90",",,,0","8.62",",,,0","","","","","","","","","","","","","",""
"USW00003935","1960-11","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","","","0.0",",0","6",",0","6",",0","1",",0","0",",0","0",",0","0",",0","17",",0","0",",0","0",",0","0",",0","5","","","","19601111",",,0","19601130","+,,0","19601130","+,,0","1","","19601115",",,0","19601127",",,0","-7.8",",0,11,","0",",,0,30,+","0",",,0,30,+","34.0",",,0,15,","20.6",",0,27,","444.5","0","328.4",",0","109.2",",,,0","","","","","","","0",",,,0","7.39",",0","14.19",",,,0","0.58",",,,0","","","","","","","","","","","","","",""
"USW00003935","1960-12","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","","","0.0",",0","8",",0","7",",0","2",",0","4",",0","1",",0","3",",0","27",",0","4",",0","0",",0","0",",0","6","","","","19601222",",,0","19601224","+,,0","19601220",",,0","","","19601210",",,0","19601204",",,0","-19.4",",0,22,","51",",,0,24,+","51",",,0,20,","30.0",",,0,10,","15.0",",0,04,","1024.0","0","579.5",",0","112.1",",,,0","","","","","","","56",",,,0","-0.36",",0","4.83",",,,0","-5.55",",,,0","","","","","","","","","","","","","",""
"USW00003935","1961-01","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","0.0","0","0.0",",0","5",",0","4",",0","0",",0","8",",0","1",",0","2",",0","28",",0","8",",0","0",",0","0",",0","6","","","","19610128",",,0","19610128","+,,0","19610126",",,0","","","19610114",",,0","19610113",",,0","-24.4",",0,28,","51",",,0,28,+","51",",,0,26,","15.2",",,0,14,","18.3",",0,13,","1620.3","0","596.3",",0","29.0",",,,0","","","","","","","54",",,,0","-0.90",",0","5.65",",,,0","-7.45",",,,0","","","","","","","","","","","","","",""
"USW00003935","1961-02","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","0.0","0","0.0","2,0","11",",0","8",",0","0",",0","9",",0","2",",0","0","1,0","15","1,0","2","1,0","3","1,0","0","1,0","5","","","","19610204",",1,0","19610208","+,,0","19610202",",,0","1","","19610207",",,0","19610218",",1,0","-12.2","1,0,04,","51",",,0,08,+","61",",,0,02,","21.1",",,0,07,","22.8","1,0,18,","1970.7","0","350.4","1,0","88.0",",,,0","","","","","","","132",",,,0","5.04","2,0","10.89","1,,,0","-0.81","1,,,0","","","","","","","","","","","","","",""
"USW00003935","1961-03","37.22545","-89.57855","101.8","CAPE GIRARDEAU FAA AIRPORT, MO US","","","","","","","","","","","1.4","0","1.4",",0","17",",0","15",",0","2",",0","0",",0","0",",0","0",",0","1",",0","0",",0","3",",0","0",",0","13","","","","19610310",",,0","19610331","+,,0","19610308",",,0","3","","19610312",",,0","19610304",",,0","-3.3",",0,10,","0",",,0,31,+","0",",T,0,08,","37.8",",,0,12,","23.9",",0,04,","2229.7","0","259.0",",0","185.1",",,,0","","","","","","","0",",T,,0","10.02",",0","14.96",",,,0","5.08",",,,0","","","","","","","","","","","","","",""
