"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MAM00067107","2022-06","-19.817","47.067","1532.0","ANTSIRABE, MA","0","4,S","0","4,S","0","3,S","18","3,S","0","3,S","20220625",",4,S","20220609","+,3,S","2.2","4,S,25,","23.4","3,S,09,+","14.67","6,S","21.61","3,,,S","7.74","4,,,S"
"MAM00067107","2023-06","-19.817","47.067","1532.0","ANTSIRABE, MA","0","4,S","0","4,S","","","","","","","20230628","+,4,S","","","0.2","4,S,28,+","","","","","","","5.83","4,,,S"
"MAM00067107","2023-10","-19.817","47.067","1532.0","ANTSIRABE, MA","","","","","0","5,S","26","5,S","1","5,S","","","20231012",",5,S","","","33.2","5,S,12,","","","29.78","5,,,S","",""
"MAM00067107","2023-12","-19.817","47.067","1532.0","ANTSIRABE, MA","","","","","0","5,S","26","5,S","1","5,S","","","20231212",",5,S","","","38.0","5,S,12,","","","28.03","5,,,S","",""
"MAM00067107","2024-02","-19.817","47.067","1532.0","ANTSIRABE, MA","","","","","0","5,S","24","5,S","0","5,S","","","20240226",",5,S","","","27.4","5,S,26,","","","26.20","5,,,S","",""
