"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00195050","1886-02","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","5","1,6","4","1,6","2","1,6","1",",6","18860226",",,6","","","18860226",",1,6","76",",,6,26,","37.3","1,,6,26,","102.8","1,,,6","76",",,,6"
"USC00195050","1886-03","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","9",",6","7",",6","0",",6","","","","","","","18860330","+,,6","","","21.1",",,6,30,+","93.8",",,,6","",""
"USC00195050","1886-04","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","9",",6","5",",6","1",",6","","","","","","","18860406",",,6","","","62.2",",,6,06,","86.5",",,,6","",""
"USC00195050","1886-05","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","","","","","","","","","","","1","","","","","","","","","","",""
"USC00195050","1886-09","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","10","1,6","7","1,6","1","1,6","","","","","","","18860923",",1,6","","","26.2","1,,6,23,","113.4","1,,,6","",""
"USC00195050","1886-10","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","7","3,6","6","3,6","1","3,6","","","","","","","18861027",",3,6","","","30.2","3,,6,27,","77.0","3,,,6","",""
"USC00195050","1886-11","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","6",",6","6",",6","2",",6","1",",6","18861113",",,6","","","18861113",",,6","51",",,6,13,","31.0",",,6,13,","133.9",",,,6","51",",,,6"
"USC00195050","1887-01","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","9","1,6","8","1,6","3","1,6","5",",6","18870106",",,6","","","18870115",",1,6","330",",,6,06,","44.5","1,,6,15,","161.6","1,,,6","939",",,,6"
"USC00195050","1887-02","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","9",",6","7",",6","2",",6","7",",6","18870226",",,6","1","","18870219",",,6","203",",,6,26,","43.2",",,6,19,","135.5",",,,6","611",",,,6"
"USC00195050","1887-03","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","7",",6","4",",6","2",",6","","","","","","","18870306",",,6","","","38.6",",,6,06,","109.8",",,,6","",""
"USC00195050","1887-04","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","8",",6","7",",6","0",",6","2",",6","18870419",",,6","1","","18870419",",,6","229",",,6,19,","25.1",",,6,19,","107.3",",,,6","254",",,,6"
"USC00195050","1887-05","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","8",",6","5",",6","0",",6","","","","","","","18870528","+,,6","","","8.1",",,6,28,+","28.6",",,,6","",""
"USC00195050","1887-08","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","12",",6","9",",6","2",",6","","","","","","","18870818",",,6","","","103.6",",,6,18,","200.5",",,,6","",""
"USC00195050","1887-09","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","8",",6","7",",6","0",",6","","","","","","","18870912",",,6","","","11.7",",,6,12,","43.4",",,,6","",""
"USC00195050","1887-10","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","4",",6","4",",6","1",",6","","","","","","","18871021",",,6","","","30.0",",,6,21,","55.9",",,,6","",""
"USC00195050","1887-11","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","8",",6","6",",6","0",",6","0",",6","18871111",",,6","","","18871120",",,6","13",",,6,11,","20.6",",,6,20,","91.7",",,,6","13",",,,6"
"USC00195050","1887-12","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","","","","","","","3",",6","18871218",",,6","","","","","152",",,6,18,","","","","","326",",,,6"
"USC00195050","1888-02","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","8",",6","5",",6","1",",6","4",",6","18880211",",,6","","","18880220",",,6","229",",,6,11,","42.7",",,6,20,","123.7",",,,6","414",",,,6"
"USC00195050","1888-03","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","","","","","","","4",",6","18880313",",,6","","","","","737",",,6,13,","","","","","910",",,,6"
"USC00195050","1888-04","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","7",",6","5",",6","1",",6","3",",6","18880411",",,6","","","18880411",",,6","152",",,6,11,","26.7",",,6,11,","76.8",",,,6","215",",,,6"
"USC00195050","1888-05","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","12",",6","7",",6","2",",6","","","","","","","18880512",",,6","","","30.5",",,6,12,","120.9",",,,6","",""
"USC00195050","1888-06","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","6","1,6","6","1,6","1","1,6","","","","","","","18880624",",1,6","","","78.5","1,,6,24,","117.1","1,,,6","",""
"USC00195050","1888-08","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","7",",6","6",",6","2",",6","","","","","","","18880813",",,6","","","40.6",",,6,13,","122.3",",,,6","",""
"USC00195050","1888-09","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","7",",6","7",",6","3",",6","","","","","","","18880921",",,6","","","82.0",",,6,21,","258.5",",,,6","",""
"USC00195050","1888-10","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","9",",6","7",",6","2",",6","","","","","","","18881007",",,6","","","32.0",",,6,07,","130.3",",,,6","",""
"USC00195050","1888-11","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","","","","","","","1",",6","18881126",",,6","","","","","102",",,6,26,","","","","","115",",,,6"
"USC00195050","1888-12","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","6",",6","4",",6","1",",6","1",",6","18881209",",,6","","","18881218",",,6","216",",,6,09,","88.9",",,6,18,","119.4",",,,6","216",",,,6"
"USC00195050","1889-04","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","10",",6","5",",6","0",",6","","","","","","","18890427",",,6","","","12.2",",,6,27,","52.9",",,,6","",""
"USC00195050","1889-05","42.266667","-72.616667","268.2","MOUNT NONOTUCK, MA US","10",",6","8",",6","1",",6","","","","","","","18890521",",,6","","","37.1",",,6,21,","97.6",",,,6","",""
