"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00143527","1892-07","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","8",",6","8",",6","2",",6","","","","","","","","","0","2,6","28","2,6","17","2,6","","","","","","","","","","","18920701",",,6","18920721",",2,6","","","","","","","32.3",",,6,01,","40.6","2,6,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6",",,,6","","","","","32.61","2,,,6","","","",""
"USC00143527","1893-01","38.8586","-99.3358","612.6","HAYS 1 S, KS US","0.0","6","0.0","4,6","","","","","","","","","","","0","2,6","23","2,6","4","2,6","0","2,6","0","2,6","","","18930126",",2,6","","","","","","","","","18930104",",2,6","-11.1","2,6,26,","","","","","","","20.0","2,6,04,","","","","","","","","","415.1","2,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.81","4,6","9.04","2,,,6","-3.42","2,,,6","",""
"USC00143527","1893-02","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","","","","","","","","","","","0",",6","","","","","5","1,6","1","1,6","0","1,6","","","","","","","18930201",",,6","","","","","18930205",",1,6","","","","","13",",,6,01,","","","21.1","1,6,05,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13",",,,6","","","8.63","1,,,6","","","",""
"USC00143527","1893-03","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","6.4","3,6","0","1,6","0","1,6","0","1,6","","","0",",6","1","2,6","16","2,6","0","2,6","4","2,6","1","2,6","","","18930304",",2,6","","","18930321","+,,6","","","18930316","+,1,6","18930330",",2,6","-18.3","2,6,04,","","","0",",T,6,21,+","0.0","1,T,6,16,+","32.2","2,6,30,","","","","","","","","","358.2","2,6","","","","","","","","","","","","","","","","","","","","","","","","","0.0","1,T,,6","0",",T,,6","6.01","3,6","14.29","2,,,6","-2.26","2,,,6","",""
"USC00143527","1893-04","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","17.3","3,6","2",",6","2",",6","0",",6","","","","","0","2,6","4","2,6","0","1,6","13","1,6","1","1,6","","","18930429",",2,6","","","","","","","18930428","+,,6","18930406",",1,6","-6.7","2,6,29,","","","","","2.5",",,6,28,+","32.8","1,6,06,","","","","","","","","","145.8","1,6","","","","","","","","","","","","","","","","","","","","","","","","","5.0",",,,6","","","13.46","3,6","20.81","1,,,6","6.11","2,,,6","",""
"USC00143527","1893-05","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","55.8","3,6","7",",6","7",",6","1",",6","","","","","0","1,6","1","1,6","0","2,6","21","2,6","6","2,6","","","18930501",",1,6","","","","","","","18930529",",,6","18930521",",2,6","-1.1","1,6,01,","","","","","31.8",",,6,29,","36.1","2,6,21,","","","","","","","","","69.4","2,6","","","","","","","","","","","","","","","","","","","","","","","","","79.0",",,,6","","","17.93","3,6","25.29","2,,,6","10.57","1,,,6","",""
"USC00143527","1893-06","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","115.5",",6","4",",6","4",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","16",",6","","","18930622",",,6","","","","","","","18930625",",,6","18930623",",,6","1.7",",6,22,","","","","","50.8",",,6,25,","42.8",",6,23,","","","","","","","","","3.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","90.2",",,,6","","","22.06",",6","32.81",",,,6","11.32",",,,6","",""
"USC00143527","1893-07","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","160.6",",6","6",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","26",",6","","","18930708",",,6","","","","","","","18930717",",,6","18930714","+,,6","5.6",",6,08,","","","","","24.1",",,6,17,","40.0",",6,14,+","","","4.4","6","","","","","4.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","70.8",",,,6","","","23.37",",6","34.69",",,,6","12.05",",,,6","",""
"USC00143527","1893-08","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","92.6","1,6","","","","","","","","","","","0","1,6","0","1,6","0",",6","31",",6","13",",6","","","18930812","+,1,6","","","","","","","","","18930805",",,6","3.3","1,6,12,+","","","","","","","39.4",",6,05,","","","14.7","6","","","","","10.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.06","1,6","31.10",",,,6","11.02","1,,,6","",""
"USC00143527","1893-09","38.8586","-99.3358","612.6","HAYS 1 S, KS US","","","114.1",",6","3",",6","3",",6","1",",6","","","","","0",",6","0",",6","0",",6","24",",6","12",",6","","","18930925",",,6","","","","","","","18930928",",,6","18930905",",,6","1.7",",6,25,","","","","","53.3",",,6,28,","36.7",",6,05,","","","52.8","6","","","","","38.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","67.3",",,,6","","","20.87",",6","28.65",",,,6","13.08",",,,6","",""
