"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093073","1999-04","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.2",",W","0.0","W","0.0",",W","18",",W","12",",W","0",",W","0",",W","28",",W","2",",W","0",",W","0",",W","","","","","19990404","+,,W","","","19990424",",,W","19990419",",,W","-11.7",",W,04,+","9.9",",,W,24,","18.3",",W,19,","4160.3","W","474.0",",W","71.8",",,,W","","","","","","","2.53",",W","9.50",",,,W","-4.43",",,,W","","","180",",W","190",",W","19.7",",W","23.2",",W"
"USW00093073","1999-05","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.1",",W","0.0","W","0.0",",W","16",",W","6",",W","0",",W","0",",W","13",",W","0",",W","5",",W","0",",W","","","","","19990506",",,W","","","19990502",",,W","19990523",",,W","-8.3",",W,06,","15.2",",,W,02,","24.4",",W,23,","4493.5","W","333.2",",W","54.5",",,,W","","","","","","","7.59",",W","15.42",",,,W","-0.25",",,,W","","","320",",W","340",",W","14.3",",W","17.9",",W"
"USW00093073","1999-06","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.3",",W","0.3","W","0.3",",W","8",",W","3",",W","0",",W","0",",W","5",",W","0",",W","23",",W","0",",W","","","","","19990605",",,W","","","19990617",",,W","19990628","+,,W","-3.9",",W,05,","8.6",",,W,17,","27.2",",W,28,+","4642.3","W","148.8",",W","24.7",",,,W","","","","","","","13.38",",W","23.13",",,,W","3.64",",,,W","","","330",",W","150",",W","13.9",",W","21.9",",W"
"USW00093073","1999-07","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.7",",W","10.0","W","9.7",",W","25",",W","12",",W","0",",W","0",",W","0",",W","0",",W","27",",W","0",",W","","","","","19990716","+,,W","","","19990725",",,W","19990705","+,,W","5.6",",W,16,+","13.2",",,W,25,","30.0",",W,05,+","42.7","W","42.7",",W","85.0",",,,W","","","","","","","17.27",",W","25.56",",,,W","8.98",",,,W","","","180",",W","160",",W","13.4",",W","16.5",",W"
"USW00093073","1999-08","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.5",",W","10.0","W","0.0",",W","18",",W","8",",W","0",",W","0",",W","0",",W","0",",W","29",",W","0",",W","","","","","19990816","+,,W","","","19990826",",,W","19990826","+,,W","4.4",",W,16,+","7.9",",,W,26,","28.3",",W,26,+","114.6","W","71.9",",W","46.5",",,,W","","","","","","","16.01",",W","24.19",",,,W","7.84",",,,W","","","140",",W","210",",W","11.6",",W","16.1",",W"
"USW00093073","1999-09","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.8",",W","10.0","W","0.0",",W","12",",W","5",",W","0",",W","0",",W","7",",W","0",",W","12",",W","0",",W","","","","","19990929",",,W","","","19990919",",,W","19990909","+,,W","-8.3",",W,29,","14.5",",,W,19,","25.0",",W,09,+","340.8","W","226.2",",W","47.6",",,,W","","","","","","","10.79",",W","19.63",",,,W","1.96",",,,W","","","350",",W","330",",W","12.5",",W","15.2",",W"
"USW00093073","1999-10","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","3.0",",W","10.0","W","0.0",",W","6",",W","3",",W","0",",W","0",",W","27",",W","0",",W","8",",W","0",",W","","","","","19991017",",,W","","","19991007",",,W","19991013","+,,W","-12.2",",W,17,","15.5",",,W,07,","22.2",",W,13,+","699.9","W","359.1",",W","27.2",",,,W","","","","","","","6.75",",W","16.93",",,,W","-3.43",",,,W","","","340",",W","190",",W","11.6",",W","17.0",",W"
"USW00093073","1999-11","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.6",",W","10.0","W","0.0",",W","3",",W","1",",W","0",",W","1",",W","30",",W","4",",W","0",",W","0",",W","","","","","19991124",",,W","","","19991123",",,W","19991107",",,W","-18.3",",W,24,","5.8",",,W,23,","19.4",",W,07,","1169.7","W","469.8",",W","7.4",",,,W","","","","","","","2.67",",W","12.51",",,,W","-7.17",",,,W","","","280",",W","240",",W","11.2",",W","14.3",",W"
"USW00093073","1999-12","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.2",",W","10.0","W","0.0","1,W","13",",W","3",",W","0",",W","2","1,W","30","1,W","13","1,W","0","1,W","0","1,W","","","","","19991215",",1,W","","","19991211",",,W","19991201",",1,W","-22.2","1,W,15,","3.6",",,W,11,","12.8","1,W,01,","1893.3","W","723.6","1,W","17.0",",,,W","","","","","","","-5.79","1,W","1.34","1,,,W","-12.91","1,,,W","","","340",",W","330",",W","12.5",",W","14.8",",W"
"USW00093073","2000-01","39.22994","-106.87052","2339.9","ASPEN PITKIN CO AIRPORT SARDY FIELD, CO US","","","","","","","","","2.0",",W","0.0","W","0.0",",W","17",",W","4",",W","0",",W","6",",W","30",",W","15",",W","0",",W","0",",W","","","","","20000107","+,,W","","","20000126",",,W","20000116",",,W","-21.1",",W,07,+","7.1",",,W,26,","12.2",",W,16,","2598.3","W","705.0",",W","39.2",",,,W","","","","","","","-4.41",",W","1.52",",,,W","-10.34",",,,W","","","310",",W","300",",W","10.3",",W","16.5",",W"
