"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00293225","1929-06","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","1",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","19290630","+,,6","19290629",",,6","","","","","","","0",",,6,30,+","2.0",",,6,29,","","","","","","","","","","","","","","","","","","","","","","","","","2.0",",,,6","0",",,,6","","","","","","","",""
"USC00293225","1929-07","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","9",",6","8",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","19290731","+,,6","19290709",",,6","","","","","","","0",",,6,31,+","40.6",",,6,09,","","","","","","","","","","","","","","","","","","","","","","","","","85.4",",,,6","0",",,,6","","","","","","","",""
"USC00293225","1929-08","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","7",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","19290810",",,6","","","","","","","","","12.4",",,6,10,","","","","","","","","","","","","","","","","","","","","","","","","","35.1",",,,6","","","","","","","","","",""
"USC00293225","1929-09","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","5",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","19290930","+,,6","19290923",",,6","","","","","","","0",",,6,30,+","4.8",",,6,23,","","","","","","","","","","","","","","","","","","","","","","","","","15.5",",,,6","0",",,,6","","","","","","","",""
"USC00293225","1929-10","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","5",",6","4",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","19291031","+,,6","19291013",",,6","","","","","","","0",",,6,31,+","8.9",",,6,13,","","","","","","","","","","","","","","","","","","","","","","","","","26.9",",,,6","0",",,,6","","","","","","","",""
"USC00293225","1929-11","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","3",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","19291130","+,,6","19291105",",,6","","","","","","","0",",,6,30,+","9.7",",,6,05,","","","","","","","","","","","","","","","","","","","","","","","","","11.5",",,,6","0",",,,6","","","","","","","",""
"USC00293225","1929-12","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","19291220",",,6","","","","","","","","","0.8",",,6,20,","","","","","","","","","","","","","","","","","","","","","","","","","1.3",",,,6","","","","","","","","","",""
"USC00293225","1930-01","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","3",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","19300108",",,6","19300127",",,6","","","","","","","20",",,6,08,","2.5",",,6,27,","","","","","","","","","","","","","","","","","","","","","","","","","4.8",",,,6","20",",,,6","","","","","","","",""
"USC00293225","1930-02","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","19300228","+,,6","19300224",",,6","","","","","","","0",",,6,28,+","5.3",",,6,24,","","","","","","","","","","","","","","","","","","","","","","","","","5.3",",,,6","0",",,,6","","","","","","","",""
"USC00293225","1930-03","32.43333","-107.48333","1356.4","FLORIDA, NM US","","","","","4",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","19300331","+,,6","19300317",",,6","","","","","","","0",",,6,31,+","7.9",",,6,17,","","","","","","","","","","","","","","","","","","","","","","","","","13.6",",,,6","0",",,,6","","","","","","","",""
