"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ARM00087903","1979-11","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","4","2,S","3","2,S","0","2,S","","","0","4,","4","4,S","19791107","+,4,S","","","19791111",",2,S","-1.0","4,S,07,+","","","10.9","2,,S,11,","22.0","2,,,S","4.62","4,,,S"
"ARM00087903","1981-10","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","2","5,S","0","5,S","0","5,S","","","","","","","","","","","19811013","+,5,S","","","","","1.0","5,,S,13,+","2.0","5,,,S","",""
"ARM00087903","1981-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","3","3,S","0","3,S","0","3,S","","","0","4,S","0","4,S","19811218","+,4,S","","","19811229","+,3,S","3.0","4,S,18,+","","","1.0","3,,S,29,+","2.5","3,,,S","7.15","4,,,S"
"ARM00087903","1989-05","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","11","5,S","19890527",",5,S","","","","","-2.7","5,S,27,","","","","","","","0.62","5,,,S"
"ARM00087903","1989-07","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,","24","5,S","19890717","+,5,S","","","","","-5.5","5,S,17,+","","","","","","","-2.40","5,,,S"
"ARM00087903","1990-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","19900203",",5,S","","","","","4.5","5,S,03,","","","","","","","8.37","5,,,S"
"ARM00087903","1990-03","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","0","3,S","19900330",",3,S","","","","","1.0","3,S,30,","","","","","","","5.89","3,,,S"
"ARM00087903","1993-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","5,S","3","5,S","0","5,S","","","","","","","","","","","19930225","+,5,S","","","","","6.1","5,,S,25,+","18.3","5,,,S","",""
"ARM00087903","1993-05","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","16","5,S","19930530",",5,S","","","","","-12.8","5,S,30,","","","","","","","-1.29","5,,,S"
"ARM00087903","1994-03","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","5,S","3","5,S","0","5,S","","","0","5,S","0","5,S","19940301",",5,S","","","19940327",",5,S","0.8","5,S,01,","","","15.0","5,,S,27,","27.7","5,,,S","6.01","5,,,S"
"ARM00087903","1994-10","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","7","5,S","19941002",",5,S","","","","","-3.7","5,S,02,","","","","","","","2.07","5,,,S"
"ARM00087903","1994-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","4,S","4","4,S","0","4,S","","","0","1,S","0","1,S","19941218",",1,S","","","19941228",",4,S","3.0","1,S,18,","","","7.9","4,,S,28,","21.2","4,,,S","7.24","1,,,S"
"ARM00087903","1995-01","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","19950114",",5,S","","","","","2.3","5,S,14,","","","","","","","7.50","5,,,S"
"ARM00087903","1995-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","0","3,S","19950217",",3,S","","","","","0.3","3,S,17,","","","","","","","6.82","3,,,S"
"ARM00087903","1995-04","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","19950417","+,5,S","","","","","0.8","5,S,17,+","","","","","","","4.56","5,,,S"
"ARM00087903","1995-06","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","4,S","4","4,S","0","4,S","","","0","1,S","27","1,S","19950612",",1,S","","","19950626",",4,S","-8.7","1,S,12,","","","11.9","4,,S,26,","33.7","4,,,S","-4.42","1,,,S"
"ARM00087903","1995-07","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","10","5,S","6","5,S","0","5,S","","","","","","","","","","","19950721",",5,S","","","","","13.0","5,,S,21,","51.9","5,,,S","",""
"ARM00087903","1995-09","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","3,S","11","3,S","19950908",",3,S","","","","","-4.2","3,S,08,","","","","","","","0.36","3,,,S"
"ARM00087903","1995-12","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","6","3,S","3","3,S","0","3,S","","","","","","","","","","","19951205",",3,S","","","","","11.9","3,,S,05,","29.9","3,,,S","",""
"ARM00087903","1996-02","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","5,S","0","5,S","19960223",",5,S","","","","","2.3","5,S,23,","","","","","","","6.51","5,,,S"
"ARM00087903","1996-03","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","5","5,S","1","5,S","0","5,S","","","","","","","","","","","19960308",",5,S","","","","","3.0","5,,S,08,","7.0","5,,,S","",""
"ARM00087903","1996-05","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","1,S","5","1,S","19960518",",1,S","","","","","-2.0","1,S,18,","","","","","","","1.77","1,,,S"
"ARM00087903","1996-06","-50.333","-72.3","220.0","LAGO ARGENTINO AIRPORT, AR","","","","","","","","","0","4,S","15","4,S","19960618",",4,S","","","","","-6.7","4,S,18,","","","","","","","-1.03","4,,,S"
