"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013988","1934-01","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","0.0","X","0.0",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","23",",X","5",",X","1",",X","0",",X","2","","","","19340130",",,X","19340130","+,,X","19340129",",,X","","","19340103",",,X","19340127",",,X","-15.0",",X,30,","0",",T,X,30,+","10",",,X,29,","5.3",",,X,03,","21.1",",X,27,","","","508.2",",X","12.4",",,,X","","","15",",,,X","1.94",",X","6.97",",,,X","-3.10",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-02","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","0.0","X","0.0",",X","5",",X","3",",X","0",",X","5",",X","2",",X","2",",X","23",",X","7",",X","2",",X","0",",X","4","","","","19340227",",,X","19340225",",,X","19340224",",,X","","","19340224",",,X","19340203",",,X","-25.0",",X,27,","127",",,X,25,","97",",,X,24,","11.7",",,X,24,","24.4",",X,03,","","","491.1",",X","20.6",",,,X","","","143",",,,X","0.79",",X","7.04",",,,X","-5.45",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-03","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","0.0","X","0.0",",X","8",",X","2",",X","0",",X","1",",X","0",",X","0",",X","18",",X","0",",X","4",",X","0",",X","6","","","","19340318","+,,X","19340301",",,X","19340324","+,,X","1","","19340301",",,X","19340320",",,X","-10.0",",X,18,+","51",",,X,01,","13",",,X,24,+","5.3",",,X,01,","26.1",",X,20,","","","397.6",",X","16.6",",,,X","","","26",",,,X","5.51",",X","12.09",",,,X","-1.07",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-04","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","9.4","X","9.4",",X","6",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","14",",X","0",",X","1","","","","19340421","+,,X","19340430","+,,X","19340430","+,,X","5","","19340403",",,X","19340410","+,,X","2.2",",X,21,+","0",",,X,30,+","0",",,X,30,+","22.4",",,X,03,","30.0",",X,10,+","","","131.6",",X","61.0",",,,X","","","0",",,,X","14.26",",X","20.55",",,,X","7.97",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-05","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","129.7","X","120.3",",X","7",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","8",",X","","","","","19340526",",,X","19340531","+,,X","19340531","+,,X","4","","19340513",",,X","19340530",",,X","7.8",",X,26,","0",",,X,31,+","0",",,X,31,+","37.8",",,X,13,","39.4",",X,30,","","","17.4",",X","79.8",",,,X","","","0",",,,X","21.65",",X","28.34",",,,X","14.97",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-06","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","432.5","X","302.8",",X","8",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","22",",X","","","","","19340612",",,X","19340630","+,,X","19340630","+,,X","9","","19340614",",,X","19340623",",,X","15.6",",X,12,","0",",,X,30,+","0",",,X,30,+","25.1",",,X,14,","42.2",",X,23,","","","0.0",",X","43.4",",,,X","","","0",",,,X","28.43",",X","34.75",",,,X","22.10",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-07","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","834.1","X","401.6",",X","7",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","29",",X","","","","","19340707",",,X","19340731","+,,X","19340731","+,,X","8","","19340727",",,X","19340724",",,X","13.3",",X,07,","0",",,X,31,+","0",",,X,31,+","18.3",",,X,27,","43.3",",X,24,","0.0","X","0.0",",X","57.5",",,,X","","","0",",,,X","31.29",",X","38.58",",,,X","23.99",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-08","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1149.3","X","315.2",",X","10",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","19",",X","","","","","19340824",",,X","19340831","+,,X","19340831","+,,X","11","","19340827",",,X","19340810",",,X","10.6",",X,24,","0",",,X,31,+","0",",,X,31,+","9.7",",,X,27,","43.9",",X,10,","3.6","X","3.6",",X","36.7",",,,X","","","0",",,,X","28.39",",X","35.30",",,,X","21.47",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-09","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1217.0","X","67.7","1,X","14",",X","9",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0","1,X","23","1,X","2","1,X","13","","","","19340927",",,X","19340930","+,,X","19340930","+,,X","8","","19340928",",,X","19340911",",1,X","2.8",",X,27,","0",",,X,30,+","0",",,X,30,+","41.7",",,X,28,","33.3","1,X,11,","53.6","X","50.0","1,X","163.8",",,,X","","","0",",,,X","18.93","1,X","25.13","1,,,X","12.74",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00013988","1934-10","39.12791","-94.58915","226.2","KANSAS CITY DOWNTOWN AIRPORT, MO US","","","1252.2","X","35.2",",X","6",",X","3",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","24",",X","0",",X","6","","","","19341030",",,X","19341031","+,,X","19341031","+,,X","2","","19341018",",,X","19341008",",,X","-0.6",",X,30,","0",",,X,31,+","0",",,X,31,+","19.8",",,X,18,","30.6",",X,08,","123.4","X","69.8",",X","47.7",",,,X","","","0",",,,X","17.22",",X","23.67",",,,X","10.77",",,,X","","","","","","","","","","","","","","","","","","","","","",""
