"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097760","1997-11","-3.645","133.696","5.8","KAIMANA, ID","","","0","5,S","0","5,S","","","","","","","19971128",",5,S","","","22.1","5,S,28,","","","","","","","","","24.29","5,,,S"
"IDM00097760","1998-06","-3.645","133.696","5.8","KAIMANA, ID","","","0","5,S","0","5,S","","","","","","","19980610",",5,S","","","23.0","5,S,10,","","","","","","","","","24.51","5,,,S"
"IDM00097760","1998-10","-3.645","133.696","5.8","KAIMANA, ID","","","0","2,S","0","2,S","0","5,S","26","5,S","7","5,S","19981031",",2,S","19981018",",5,S","22.8","2,S,31,","34.3","5,S,18,","","","27.96","7,S","31.59","5,,,S","24.33","2,,,S"
"IDM00097760","2001-05","-3.645","133.696","5.8","KAIMANA, ID","","","0","4,S","0","4,S","","","","","","","20010517","+,4,S","","","23.6","4,S,17,+","","","","","","","","","24.52","4,,,S"
"IDM00097760","2001-10","-3.645","133.696","5.8","KAIMANA, ID","","","0","2,S","0","2,S","0","4,S","27","4,S","6","4,S","20011013","+,2,S","20011017",",4,S","23.2","2,S,13,+","32.7","4,S,17,","","","27.97","6,S","31.63","4,,,S","24.31","2,,,S"
"IDM00097760","2003-08","-3.645","133.696","5.8","KAIMANA, ID","","","0","5,S","0","5,S","","","","","","","20030806",",5,S","","","21.8","5,S,06,","","","","","","","","","23.85","5,,,S"
"IDM00097760","2006-10","-3.645","133.696","5.8","KAIMANA, ID","","","0","2,S","0","2,S","","","","","","","20061003",",2,S","","","22.3","2,S,03,","","","","","","","","","23.78","2,,,S"
"IDM00097760","2007-04","-3.645","133.696","5.8","KAIMANA, ID","","","0","3,S","0","3,S","0","5,S","25","5,S","8","5,S","20070416",",3,S","20070405",",5,S","22.6","3,S,16,","35.0","5,S,05,","","","27.90","7,S","31.78","5,,,S","24.01","3,,,S"
"IDM00097760","2007-05","-3.645","133.696","5.8","KAIMANA, ID","250.8","4,S","0","2,S","0","2,S","0","4,S","27","4,S","4","4,S","20070511",",2,S","20070510",",4,S","22.8","2,S,11,","32.9","4,S,10,","0.0","4,S","27.62","4,S","31.30","4,,,S","23.94","2,,,S"
"IDM00097760","2010-05","-3.645","133.696","5.8","KAIMANA, ID","","","0","5,S","0","5,S","0","2,S","29","2,S","6","2,S","20100521","+,5,S","20100507","+,2,S","22.0","5,S,21,+","32.8","2,S,07,+","","","27.24","7,S","31.16","2,,,S","23.32","5,,,S"
"IDM00097760","2010-06","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","5,S","25","5,S","0","5,S","","","20100611",",5,S","","","31.6","5,S,11,","","","","","30.13","5,,,S","",""
"IDM00097760","2010-07","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","29","2,S","1","2,S","","","20100721",",2,S","","","32.6","2,S,21,","","","","","30.10","2,,,S","",""
"IDM00097760","2010-08","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","20100809",",5,S","","","31.6","5,S,09,","","","","","30.05","5,,,S","",""
"IDM00097760","2010-10","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","5,S","26","5,S","5","5,S","","","20101018","+,5,S","","","32.4","5,S,18,+","","","","","31.41","5,,,S","",""
"IDM00097760","2010-11","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","5,S","25","5,S","14","5,S","","","20101130",",5,S","","","33.4","5,S,30,","","","","","31.90","5,,,S","",""
"IDM00097760","2010-12","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","29","2,S","6","2,S","","","20101228","+,2,S","","","33.2","2,S,28,+","","","","","31.42","2,,,S","",""
"IDM00097760","2011-01","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","1,S","30","1,S","12","1,S","","","20110123",",1,S","","","33.2","1,S,23,","","","","","31.56","1,,,S","",""
"IDM00097760","2011-02","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","26","2,S","10","2,S","","","20110210",",2,S","","","33.2","2,S,10,","","","","","31.39","2,,,S","",""
"IDM00097760","2011-03","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0",",S","31",",S","9",",S","","","20110330","+,,S","","","33.0",",S,30,+","","","","","31.33",",,,S","",""
"IDM00097760","2011-04","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0",",S","30",",S","11",",S","","","20110404","+,,S","","","33.9",",S,04,+","","","","","31.86",",,,S","",""
"IDM00097760","2011-05","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","29","2,S","1","2,S","","","20110515",",2,S","","","33.0","2,S,15,","","","","","30.69","2,,,S","",""
"IDM00097760","2011-06","-3.645","133.696","5.8","KAIMANA, ID","","","0","5,S","0","5,S","0","2,S","28","2,S","0","2,S","20110621","+,5,S","20110606","+,2,S","23.0","5,S,21,+","31.2","2,S,06,+","","","26.49","6,S","29.15","2,,,S","23.82","5,,,S"
"IDM00097760","2011-07","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","3,S","28","3,S","0","3,S","","","20110713","+,3,S","","","29.2","3,S,13,+","","","","","28.38","3,,,S","",""
"IDM00097760","2011-08","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","4,S","27","4,S","0","4,S","","","20110813",",4,S","","","29.2","4,S,13,","","","","","28.11","4,,,S","",""
"IDM00097760","2011-09","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","28","2,S","0","2,S","","","20110930","+,2,S","","","30.0","2,S,30,+","","","","","29.07","2,,,S","",""
"IDM00097760","2011-10","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","4,S","27","4,S","3","4,S","","","20111031",",4,S","","","32.4","4,S,31,","","","","","31.23","4,,,S","",""
"IDM00097760","2011-11","-3.645","133.696","5.8","KAIMANA, ID","","","0","4,S","0","4,S","0","5,S","25","5,S","12","5,S","20111117",",4,S","20111122",",5,S","22.6","4,S,17,","33.4","5,S,22,","","","28.09","9,S","32.07","5,,,S","24.11","4,,,S"
"IDM00097760","2011-12","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","29","2,S","23","2,S","","","20111215",",2,S","","","35.0","2,S,15,","","","","","32.80","2,,,S","",""
"IDM00097760","2012-01","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","1,S","30","1,S","18","1,S","","","20120127",",1,S","","","35.3","1,S,27,","","","","","32.41","1,,,S","",""
"IDM00097760","2012-02","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","27","2,S","18","2,S","","","20120206",",2,S","","","34.2","2,S,06,","","","","","32.39","2,,,S","",""
"IDM00097760","2012-03","-3.645","133.696","5.8","KAIMANA, ID","","","0","5,S","0","5,S","0","1,S","30","1,S","16","1,S","20120324",",5,S","20120322",",1,S","23.2","5,S,24,","35.0","1,S,22,","","","28.27","6,S","32.27","1,,,S","24.27","5,,,S"
"IDM00097760","2012-05","-3.645","133.696","5.8","KAIMANA, ID","244.7","5,S","0","3,S","0","3,S","0","2,S","29","2,S","6","2,S","20120528",",3,S","20120509",",2,S","22.6","3,S,28,","33.6","2,S,09,","0.0","2,S","27.72","5,S","31.41","2,,,S","24.03","3,,,S"
"IDM00097760","2012-06","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","4,S","26","4,S","0","4,S","","","20120614","+,4,S","","","32.0","4,S,14,+","","","","","29.65","4,,,S","",""
"IDM00097760","2012-07","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","2,S","29","2,S","0","2,S","","","20120708",",2,S","","","31.8","2,S,08,","","","","","29.18","2,,,S","",""
"IDM00097760","2012-08","-3.645","133.696","5.8","KAIMANA, ID","","","0","5,S","0","5,S","0","4,S","27","4,S","0","4,S","20120820",",5,S","20120825",",4,S","22.7","5,S,20,","30.0","4,S,25,","","","26.33","9,S","28.72","4,,,S","23.94","5,,,S"
"IDM00097760","2012-09","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","4,S","26","4,S","0","4,S","","","20120929","+,4,S","","","30.6","4,S,29,+","","","","","29.40","4,,,S","",""
"IDM00097760","2012-10","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","5,S","26","5,S","4","5,S","","","20121031","+,5,S","","","32.6","5,S,31,+","","","","","30.96","5,,,S","",""
"IDM00097760","2012-11","-3.645","133.696","5.8","KAIMANA, ID","","","","","","","0","1,S","29","1,S","9","1,S","","","20121122",",1,S","","","33.5","1,S,22,","","","","","31.87","1,,,S","",""
