"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093058","1954-06","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1954-07","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","","","245.2",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19540701",",,0","19540731","+,,0","19540726","+,,0","15","","19540725",",,0","19540713",",,0","14.4",",0,01,","0",",,0,31,+","0",",T,0,26,+","14.5",",,0,25,","39.4",",0,13,","","","0.0","0","0.0",",0","","","","","44.1",",,,0","","","","","","","","","0",",T,,0","26.24",",0","34.56",",,,0","17.92",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1954-08","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","","","170.3",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","19",",0","","","","","19540825","+,,0","19540831","+,,0","19540831","+,,0","12","","19540806",",,0","19540803",",,0","12.8",",0,25,+","0",",,0,31,+","0",",,0,31,+","14.2",",,0,06,","38.3",",0,03,","","","0.0","0","0.0",",0","","","","","20.4",",,,0","","","","","","","","","0",",,,0","23.83",",0","32.35",",,,0","15.31",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1954-09","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","","","95.8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","12",",0","","","","","19540921",",,0","19540930","+,,0","19540930","+,,0","2","","19540926",",,0","19540903","+,,0","6.1",",0,21,","0",",,0,30,+","0",",,0,30,+","0.5",",,0,26,","35.6",",0,03,+","","","15.9","0","15.9",",0","","","","","0.5",",,,0","","","","","","","","","0",",,,0","21.00",",0","29.89",",,,0","12.11",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1954-10","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","","","10.6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","18",",0","0",",0","3","","","","19541031",",,0","19541027","+,,0","19541029","+,,0","2","","19541006",",,0","19541001",",,0","-5.6",",0,31,","0",",T,0,27,+","0",",T,0,29,+","15.2",",,0,06,","31.7",",0,01,","","","208.3","0","192.4",",0","","","","","17.8",",,,0","","","","","","","","","0",",T,,0","12.47",",0","20.83",",,,0","4.11",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1954-11","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","","","0.0",",0","4",",0","1",",0","0",",0","1",",0","1",",0","0",",0","26",",0","1",",0","6",",0","0",",0","1","","","","19541130",",,0","19541129",",,0","19541129",",,0","","","19541129",",,0","19541116",",,0","-8.3",",0,30,","25",",,0,29,","33",",,0,29,","3.0",",,0,29,","23.9",",0,16,","","","549.8","0","341.5",",0","","","","","5.8",",,,0","","","","","","","","","33",",,,0","6.95",",0","16.25",",,,0","-2.35",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1954-12","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","","","0.0",",0","2",",0","1",",0","0",",0","5",",0","1",",0","1",",0","30",",0","2",",0","0",",0","0",",0","","","","","19541228",",,0","19541228","+,,0","19541227",",,0","","","19541227",",,0","19541219","+,,0","-18.3",",0,28,","76",",,0,28,+","58",",,0,27,","2.8",",,0,27,","20.6",",0,19,+","","","1056.5","0","506.7",",0","","","","","3.3",",,,0","","","","","","","","","71",",,,0","1.99",",0","11.95",",,,0","-7.98",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1955-01","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","0.0","0","0.0",",0","2",",0","1",",0","0",",0","1",",0","1",",0","0",",0","31",",0","3",",0","0",",0","0",",0","2","","","","19550122",",,0","19550118",",,0","19550117",",,0","","","19550117",",,0","19550113","+,,0","-17.2",",0,22,","25",",,0,18,","28",",,0,17,","2.5",",,0,17,","15.6",",0,13,+","","","1663.4","0","606.9",",0","","","","","2.8",",,,0","","","","","","","","","31",",,,0","-1.24",",0","6.94",",,,0","-9.43",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1955-02","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","0.0","0","0.0",",0","9",",0","1",",0","0",",0","10",",0","1",",0","5",",0","28",",0","6",",0","0",",0","0",",0","3","","","","19550205",",,0","19550204",",,0","19550203",",,0","","","19550203",",,0","19550217",",,0","-21.1",",0,05,","76",",,0,04,","71",",,0,03,","6.9",",,0,03,","18.3",",0,17,","","","2243.5","0","580.1",",0","","","","","11.6",",,,0","","","","","","","","","138",",,,0","-2.39",",0","6.45",",,,0","-11.23",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093058","1955-03","38.28868","-104.5057","1424.5","PUEBLO MEMORIAL AIRPORT, CO US","","","","","","","","","","","0.0","0","0.0",",0","4",",0","0",",0","0",",0","1",",0","0",",0","0",",0","28",",0","2",",0","5",",0","0",",0","3","","","","19550326",",,0","19550316",",,0","19550315",",,0","","","19550315",",,0","19550330",",,0","-16.7",",0,26,","25",",,0,16,","20",",,0,15,","2.0",",,0,15,","25.6",",0,30,","","","2678.9","0","435.4",",0","","","","","4.0",",,,0","","","","","","","","","43",",,,0","4.29",",0","13.73",",,,0","-5.15",",,,0","","","","","","","","","","","","","","","","","","","","","","","",""
