"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00419643","1941-03","34.816667","-102.566667",,"WESTWAY, TX US","6",",6","4",",6","1",",6","","","","","19410324",",,6","31.2",",,6,24,","60.3",",,,6"
"USC00419643","1941-04","34.816667","-102.566667",,"WESTWAY, TX US","8",",6","4",",6","0",",6","","","","","19410427",",,6","21.6",",,6,27,","55.1",",,,6"
"USC00419643","1941-05","34.816667","-102.566667",,"WESTWAY, TX US","14",",6","13",",6","2",",6","","","","","19410521",",,6","50.8",",,6,21,","233.7",",,,6"
"USC00419643","1941-07","34.816667","-102.566667",,"WESTWAY, TX US","9",",6","6",",6","1",",6","","","","","19410712",",,6","60.5",",,6,12,","107.0",",,,6"
"USC00419643","1941-08","34.816667","-102.566667",,"WESTWAY, TX US","8",",6","4",",6","1",",6","","","","","19410806",",,6","38.1",",,6,06,","97.6",",,,6"
"USC00419643","1941-09","34.816667","-102.566667",,"WESTWAY, TX US","10",",6","6",",6","2",",6","","","","","19410928",",,6","59.9",",,6,28,","127.0",",,,6"
"USC00419643","1941-10","34.816667","-102.566667",,"WESTWAY, TX US","10",",6","9",",6","4",",6","","","","","19411021",",,6","66.0",",,6,21,","241.9",",,,6"
"USC00419643","1941-11","34.816667","-102.566667",,"WESTWAY, TX US","2",",6","1",",6","0",",6","","","","","19411121",",,6","2.5",",,6,21,","3.3",",,,6"
"USC00419643","1941-12","34.816667","-102.566667",,"WESTWAY, TX US","3",",6","1",",6","0",",6","","","","","19411211",",,6","17.0",",,6,11,","19.1",",,,6"
"USC00419643","1942-01","34.816667","-102.566667",,"WESTWAY, TX US","3",",6","0",",6","0",",6","","","","","19420104",",,6","0.8",",,6,04,","1.8",",,,6"
"USC00419643","1942-02","34.816667","-102.566667",,"WESTWAY, TX US","2",",6","1",",6","0",",6","","","","","19420228",",,6","8.4",",,6,28,","9.2",",,,6"
"USC00419643","1942-03","34.816667","-102.566667",,"WESTWAY, TX US","1",",6","0",",6","0",",6","","","","","19420312",",,6","0.5",",,6,12,","0.5",",,,6"
"USC00419643","1942-04","34.816667","-102.566667",,"WESTWAY, TX US","10",",6","8",",6","0",",6","","","","","19420422",",,6","24.9",",,6,22,","92.4",",,,6"
"USC00419643","1942-05","34.816667","-102.566667",,"WESTWAY, TX US","1",",6","1",",6","0",",6","","","","","19420519",",,6","7.9",",,6,19,","7.9",",,,6"
"USC00419643","1942-06","34.816667","-102.566667",,"WESTWAY, TX US","4",",6","3",",6","1",",6","","","","","19420624",",,6","36.6",",,6,24,","53.9",",,,6"
"USC00419643","1942-07","34.816667","-102.566667",,"WESTWAY, TX US","6",",6","4",",6","1",",6","","","","","19420710",",,6","33.0",",,6,10,","70.6",",,,6"
"USC00419643","1942-08","34.816667","-102.566667",,"WESTWAY, TX US","8",",6","5",",6","1",",6","","","","","19420807",",,6","50.8",",,6,07,","105.2",",,,6"
"USC00419643","1942-09","34.816667","-102.566667",,"WESTWAY, TX US","4",",6","4",",6","3",",6","","","","","19420901",",,6","31.5",",,6,01,","95.3",",,,6"
"USC00419643","1943-07","34.816667","-102.566667",,"WESTWAY, TX US","4",",6","4",",6","2",",6","","","","","19430713",",,6","35.8",",,6,13,","103.2",",,,6"
"USC00419643","1943-11","34.816667","-102.566667",,"WESTWAY, TX US","3",",6","0",",6","0",",6","","","","","19431125",",,6","1.8",",,6,25,","4.8",",,,6"
"USC00419643","1943-12","34.816667","-102.566667",,"WESTWAY, TX US","4",",6","2",",6","2",",6","","","","","19431209",",,6","56.6",",,6,09,","97.5",",,,6"
"USC00419643","1944-01","34.816667","-102.566667",,"WESTWAY, TX US","4",",6","2",",6","0",",6","","","","","19440127",",,6","3.8",",,6,27,","7.6",",,,6"
"USC00419643","1944-02","34.816667","-102.566667",,"WESTWAY, TX US","2",",6","1",",6","0",",6","","","","","19440227",",,6","19.1",",,6,27,","19.6",",,,6"
"USC00419643","1944-03","34.816667","-102.566667",,"WESTWAY, TX US","0",",6","0",",6","0",",6","","","","","19440331","+,,6","0.0",",,6,31,+","0.0",",,,6"
"USC00419643","1944-04","34.816667","-102.566667",,"WESTWAY, TX US","3",",6","2",",6","1",",6","","","","","19440428",",,6","25.9",",,6,28,","33.7",",,,6"
"USC00419643","1944-05","34.816667","-102.566667",,"WESTWAY, TX US","5",",6","5",",6","0",",6","","","","","19440527",",,6","24.9",",,6,27,","69.6",",,,6"
