"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097630","1992-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","0","4,S","26","4,S","0","4,S","19921114",",4,S","19921123","+,4,S","19.8","4,S,14,","30.8","4,S,23,+","","","","","25.65","7,S","29.95","4,,,S","21.35","4,,,S"
"IDM00097630","1992-12","-2.883","132.25","130.0","FAK FAK TOREA, ID","198.9","4,S","0","1,S","0","1,S","0","3,S","28","3,S","2","3,S","19921210",",1,S","19921227",",3,S","20.8","1,S,10,","32.6","3,S,27,","","","0.0","3,S","25.70","4,S","29.96","3,,,S","21.44","1,,,S"
"IDM00097630","1993-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","184.8","3,S","0","1,S","0","1,S","0","2,S","28","2,S","0","2,S","19930404",",1,S","19930408",",2,S","19.0","1,S,04,","31.4","2,S,08,","","","0.0","2,S","25.12","3,S","29.30","2,,,S","20.94","1,,,S"
"IDM00097630","1993-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","171.9","5,S","0","5,S","0","5,S","0","2,S","29","2,S","0","2,S","19930515",",5,S","19930505","+,2,S","16.8","5,S,15,","29.8","2,S,05,+","","","0.0","2,S","24.93","5,S","28.85","2,,,S","21.02","5,,,S"
"IDM00097630","1993-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","19930710",",4,S","","","17.8","4,S,10,","","","","","","","","","","","19.90","4,,,S"
"IDM00097630","1993-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","19930820",",5,S","","","14.0","5,S,20,","","","","","","","","","","","17.98","5,,,S"
"IDM00097630","1997-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","19970417",",4,S","","","20.0","4,S,17,","","","","","","","","","","","21.23","4,,,S"
"IDM00097630","1997-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","19970810",",5,S","","","16.4","5,S,10,","","","","","","","","","","","18.49","5,,,S"
"IDM00097630","1997-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","19971030",",5,S","","","30.2","5,S,30,","","","","","","","28.76","5,,,S","",""
"IDM00097630","1997-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","187.4","3,S","0","1,S","0","1,S","0","3,S","27","3,S","0","3,S","19971103",",1,S","19971123",",3,S","18.6","1,S,03,","31.4","3,S,23,","","","0.0","3,S","25.28","3,S","29.84","3,,,S","20.71","1,,,S"
"IDM00097630","1998-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","19980226",",4,S","","","20.2","4,S,26,","","","","","","","","","","","21.53","4,,,S"
"IDM00097630","1998-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","193.5","4,S","0","2,S","0","2,S","0","2,S","28","2,S","0","2,S","19980424","+,2,S","19980419",",2,S","20.8","2,S,24,+","31.2","2,S,19,","","","0.0","2,S","25.76","4,S","29.68","2,,,S","21.84","2,,,S"
"IDM00097630","1998-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0",",S","31",",S","0",",S","","","19980512",",,S","","","31.4",",S,12,","","","","","","","30.03",",,,S","",""
"IDM00097630","1998-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","28","2,S","0","2,S","","","19980614",",2,S","","","31.4","2,S,14,","","","","","","","29.10","2,,,S","",""
