"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003936","1960-06","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","","","144.4",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","10",",0","6","","","","19600617",",,0","19600630","+,,0","19600630","+,,0","10","","19600611",",,0","19600628",",,0","10.6",",0,17,","0",",,0,30,+","0",",,0,30,+","49.5",",,0,11,","40.6",",0,28,","","","5.0",",0","128.6",",,,0","","","","","","","0",",,,0","22.98",",0","29.02",",,,0","16.94",",,,0","","","","","","","",""
"USW00003936","1960-07","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","","","201.5",",0","10",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","10",",0","7","","","","19600731",",,0","19600731","+,,0","19600731","+,,0","8","","19600729",",,0","19600702",",,0","10.6",",0,31,","0",",,0,31,+","0",",,0,31,+","57.9",",,0,29,","40.6",",0,02,","0.0","0","0.0",",0","113.2",",,,0","","","","","","","0",",,,0","24.83",",0","31.61",",,,0","18.05",",,,0","","","","","","","",""
"USW00003936","1960-08","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","","","239.6",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","1","","","","19600811",",,0","19600831","+,,0","19600831","+,,0","10","","19600817",",,0","19600805",",,0","12.2",",0,11,","0",",,0,31,+","0",",,0,31,+","80.8",",,0,17,","38.3",",0,05,","0.0","0","0.0",",0","147.4",",,,0","","","","","","","0",",,,0","26.06",",0","32.44",",,,0","19.68",",,,0","","","","","","","",""
"USW00003936","1960-09","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","","","123.4",",0","6",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","13",",0","7","","","","19600930",",,0","19600930","+,,0","19600930","+,,0","2","","19600923",",,0","19600905",",,0","5.6",",0,30,","0",",,0,30,+","0",",,0,30,+","38.1",",,0,23,","36.1",",0,05,","15.8","0","15.8",",0","86.4",",,,0","","","","","","","0",",,,0","21.92",",0","29.50",",,,0","14.34",",,,0","","","","","","","",""
"USW00003936","1960-10","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","","","15.6",",0","7",",0","6",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","20",",0","0",",0","7","","","","19601020",",,0","19601031","+,,0","19601031","+,,0","5","","19601002",",,0","19601011",",,0","-4.4",",0,20,","0",",,0,31,+","0",",,0,31,+","19.1",",,0,02,","31.7",",0,11,","147.1","0","131.3",",0","63.3",",,,0","","","","","","","0",",,,0","14.60",",0","21.69",",,,0","7.51",",,,0","","","","","","","",""
"USW00003936","1960-11","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","","","0.0",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","1",",0","2",",0","0",",0","4","","","","19601110",",,0","19601109",",,0","19601109",",,0","","","19601122",",,0","19601125",",,0","-10.6",",0,10,","0",",T,0,09,","0",",T,0,09,","1.0",",,0,22,","22.2",",0,25,","511.6","0","364.5",",0","1.8",",,,0","","","","","","","0",",T,,0","6.18",",0","14.15",",,,0","-1.78",",,,0","","","","","","","",""
"USW00003936","1960-12","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","","","0.0",",0","4",",0","3",",0","0",",0","6",",0","2",",0","0",",0","27",",0","5",",0","0",",0","0",",0","4","","","","19601221",",,0","19601213","+,,0","19601211",",,0","","","19601210",",,0","19601204",",,0","-15.6",",0,21,","51",",,0,13,+","51",",,0,11,","17.3",",,0,10,","14.4",",0,04,","1100.4","0","588.8",",0","35.8",",,,0","","","","","","","76",",,,0","-0.66",",0","4.66",",,,0","-5.98",",,,0","","","","","","","",""
"USW00003936","1961-01","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","0.0","0","0.0",",0","1",",0","0",",0","0",",0","2",",0","1",",0","4",",0","31",",0","5",",0","0",",0","0",",0","1","","","","19610127",",,0","19610127","+,,0","19610125",",,0","","","19610125",",,0","19610117",",,0","-22.2",",0,27,","25",",,0,27,+","25",",,0,25,","1.3",",,0,25,","16.1",",0,17,","1732.7","0","632.3",",0","1.3",",,,0","","","","","","","25",",,,0","-2.06",",0","5.84",",,,0","-9.97",",,,0","","","","","","","",""
"USW00003936","1961-02","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","0.0","0","0.0",",0","6",",0","3",",0","0",",0","9",",0","4",",0","0",",0","25",",0","6",",0","0",",0","0",",0","8","","","","19610203",",,0","19610207",",,0","19610205",",,0","","","19610217",",,0","19610216",",,0","-16.1",",0,03,","152",",,0,07,","76",",,0,05,","10.7",",,0,17,","20.6",",0,16,","2208.5","0","475.8",",0","26.2",",,,0","","","","","","","177",",,,0","1.34",",0","7.07",",,,0","-4.39",",,,0","","","","","","","",""
"USW00003936","1961-03","39.13456","-96.67894","319.3","MANHATTAN ASOS, KS US","","","","","","","","","","","0.0","0","0.0",",0","13",",0","8",",0","2",",0","1",",0","2",",0","0",",0","16",",0","0",",0","3",",0","0",",0","11","","","","19610309",",,0","19610320",",,0","19610320",",,0","4","","19610320",",,0","19610314",",,0","-5.0",",0,09,","25",",,0,20,","236",",,0,20,","30.7",",,0,20,","22.8",",0,14,","2580.0","0","371.5",",0","94.7",",,,0","","","","","","","325",",,,0","6.35",",0","11.98",",,,0","0.72",",,,0","","","","","","","",""
