"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097700","1993-02","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","","","0","4,","0","4,S","","","","","","","19930218",",4,S","","","22.6","4,S,18,","","","","","","","","","23.43","4,,,S"
"IDM00097700","1993-11","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","","","0","2,S","0","2,S","","","","","","","19931103",",2,S","","","22.4","2,S,03,","","","","","","","","","24.25","2,,,S"
"IDM00097700","1995-04","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","","","0","3,S","0","3,S","0","5,S","25","5,S","0","5,S","19950423",",3,S","19950401",",5,S","22.1","3,S,23,","32.0","5,S,01,","","","27.44","6,S","31.32","5,,,S","23.56","3,,,S"
"IDM00097700","1995-05","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","235.1","5,S","0","2,S","0","2,S","0","5,S","26","5,S","0","5,S","19950524",",2,S","19950506",",5,S","22.4","2,S,24,","32.1","5,S,06,","0.0","5,S","27.38","5,S","31.17","5,,,S","23.60","2,,,S"
"IDM00097700","1995-06","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","233.8","3,S","0","1,S","0","1,S","0","3,S","27","3,S","0","3,S","19950627",",1,S","19950606","+,3,S","22.0","1,S,27,","31.8","3,S,06,+","0.0","3,S","26.99","3,S","30.49","3,,,S","23.50","1,,,S"
"IDM00097700","1995-07","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","","","0","3,S","0","3,S","","","","","","","19950715",",3,S","","","20.0","3,S,15,","","","","","","","","","22.73","3,,,S"
"IDM00097700","1995-09","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","219.1","5,S","0","3,S","0","3,S","0","3,S","27","3,S","2","3,S","19950912",",3,S","19950917","+,3,S","20.1","3,S,12,","32.4","3,S,17,+","0.0","3,S","27.05","5,S","31.39","3,,,S","22.71","3,,,S"
"IDM00097700","1995-11","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","","","","","","","0","5,S","25","5,S","13","5,S","","","19951101",",5,S","","","33.6","5,S,01,","","","","","32.18","5,,,S","",""
"IDM00097700","1995-12","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","","","0","5,S","0","5,S","","","","","","","19951227","+,5,S","","","23.0","5,S,27,+","","","","","","","","","23.68","5,,,S"
"IDM00097700","1996-02","-3.25","127.083","20.0","NAMLEA BURU ISLAND, ID","","","","","0","5,S","0","5,S","0","2,S","27","2,S","1","2,S","19960221",",5,S","19960228",",2,S","21.2","5,S,21,","32.2","2,S,28,","","","26.96","6,S","30.63","2,,,S","23.30","5,,,S"
