"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"EC000084279","1977-12","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","1","5,I","0","5,I","0","5,I","","","","","","","","","","","","","19771230",",5,I","","","","","1.0","5,,I,30,","","","1.0","5,,,I","","","",""
"EC000084279","1978-01","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","4","1,I","1","1,I","0","1,I","0","1,","0","1,I","","","","","","","19780118","+,1,I","19780130",",1,I","","","18.0","1,I,18,+","5.1","1,,I,30,","","","9.1","1,,,I","","","20.17","1,,,I"
"EC000084279","1978-09","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","2","5,I","0","5,I","0","5,I","","","","","","","","","","","","","19780927",",5,I","","","","","1.0","5,,I,27,","","","1.5","5,,,I","","","",""
"EC000084279","1978-10","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","0","2,I","0","2,I","0","2,I","0","3,","0","3,I","","","","","","","19781017",",3,I","19781031","+,2,I","","","13.0","3,I,17,","0.0","2,,I,31,+","","","0.0","2,,,I","","","16.00","3,,,I"
"EC000084279","1978-11","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","0","2,I","0","2,I","0","2,I","0","2,","0","2,I","","","","","","","19781106",",2,I","19781130","+,2,I","","","14.0","2,I,06,","0.0","2,,I,30,+","","","0.0","2,,,I","","","17.96","2,,,I"
"EC000084279","1979-01","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","4","2,I","3","2,I","0","2,I","0","5,","0","5,I","","","","","","","19790129",",5,I","19790129",",2,I","","","11.0","5,I,29,","11.9","2,,I,29,","","","27.9","2,,,I","","","19.85","5,,,I"
"EC000084279","1979-02","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","9","2,I","6","2,I","0","2,I","0","4,","0","4,I","","","","","","","19790222","+,4,I","19790228",",2,I","","","19.0","4,I,22,+","16.0","2,,I,28,","","","51.2","2,,,I","","","20.42","4,,,I"
"EC000084279","1979-03","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","16","4,I","9","4,I","1","4,I","","","","","","","","","","","","","19790306",",4,I","","","","","55.1","4,,I,06,","","","154.3","4,,,I","","","",""
"EC000084279","1979-05","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","1","4,I","0","4,I","0","4,I","0","4,","0","4,I","","","","","","","19790526",",4,I","19790501",",4,I","","","12.0","4,I,26,","1.0","4,,I,01,","","","1.0","4,,,I","","","18.33","4,,,I"
"EC000084279","1979-12","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","1","1,I","0","1,I","0","1,I","0","3,","0","3,I","","","","","","","19791206",",3,I","19791228",",1,I","","","14.0","3,I,06,","1.0","1,,I,28,","","","1.0","1,,,I","","","19.11","3,,,I"
"EC000084279","1980-01","-4.367","-79.933","430.0","MACARA AEROPUERTO, EC","4","4,I","3","4,I","1","4,I","","","","","","","","","","","","","19800120",",4,I","","","","","256.0","4,,I,20,","","","264.1","4,,,I","","","",""
