"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GMW00034192","1960-06","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","4,X","0","4,X","","","","","","","","","","","","","","","19600630","+,4,X","19600630","+,4,X","","","","","","","","","0","4,,X,30,+","0","4,,X,30,+","","","","","","","","","0","4,,,X","","","","","",""
"GMW00034192","1960-08","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","4,X","0","4,X","","","","","","","","","","","","","","","19600831","+,4,X","19600831","+,4,X","","","","","","","","","0","4,,X,31,+","0","4,,X,31,+","","","","","","","","","0","4,,,X","","","","","",""
"GMW00034192","1960-09","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","5,X","0","5,X","","","","","","","","","","","","","","","19600930","+,5,X","19600930","+,5,X","","","","","","","","","0","5,,X,30,+","0","5,,X,30,+","","","","","","","","","0","5,,,X","","","","","",""
"GMW00034192","1961-04","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","5,","","","","","","","","","","","","","","","","","19610430","+,5,X","","","","","","","","","","","0","5,,X,30,+","","","","","","","","","","","","","","","","","",""
"GMW00034192","1961-05","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","5,","","","","","","","","","","","","","","","","","19610531","+,5,X","","","","","","","","","","","0","5,,X,31,+","","","","","","","","","","","","","","","","","",""
"GMW00034192","1961-06","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","4,","","","","","","","","","","","","","","","","","19610630","+,4,X","","","","","","","","","","","0","4,,X,30,+","","","","","","","","","","","","","","","","","",""
"GMW00034192","1961-08","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","4,","","","","","","","","","","","","","","","","","19610831","+,4,X","","","","","","","","","","","0","4,,X,31,+","","","","","","","","","","","","","","","","","",""
"GMW00034192","1961-09","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","5,","","","","","","","","","","","","","","","","","19610930","+,5,X","","","","","","","","","","","0","5,,X,30,+","","","","","","","","","","","","","","","","","",""
"GMW00034192","1961-10","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","0","5,","","","","","","","","","","","","","","","","","19611031","+,5,X","","","","","","","","","","","0","5,,X,31,+","","","","","","","","","","","","","","","","","",""
"GMW00034192","1962-01","48.81667","12.58333","370.0","STRAUBING, GM","","","","","","","","","19","4,X","","","","","","","","","","","","","","","","","19620106","+,4,X","","","","","","","","","","","178","4,,X,06,+","","","","","","","","","","","","","","","","","",""
