"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00447976","1895-12","36.983333","-82.75",,"SPEERS FERRY, VA US","10",",6","8",",6","0",",6","4",",6","","","18951212",",,6","18951208",",,6","51",",,6,12,","15.5",",,6,08,","69.6",",,,6","131",",,,6"
"USC00447976","1896-01","36.983333","-82.75",,"SPEERS FERRY, VA US","5",",6","3",",6","0",",6","","","","","","","18960124",",,6","","","20.3",",,6,24,","30.9",",,,6","",""
"USC00447976","1896-02","36.983333","-82.75",,"SPEERS FERRY, VA US","9",",6","9",",6","0",",6","","","","","","","18960201",",,6","","","22.4",",,6,01,","103.1",",,,6","",""
"USC00447976","1896-03","36.983333","-82.75",,"SPEERS FERRY, VA US","13",",6","12",",6","2",",6","3",",6","","","18960320",",,6","18960330",",,6","76",",,6,20,","52.3",",,6,30,","205.8",",,,6","126",",,,6"
"USC00447976","1896-04","36.983333","-82.75",,"SPEERS FERRY, VA US","1",",6","1",",6","1",",6","","","","","","","18960401",",,6","","","67.6",",,6,01,","67.6",",,,6","",""
"USC00447976","1896-12","36.983333","-82.75",,"SPEERS FERRY, VA US","4",",6","3",",6","0",",6","","","","","","","18961215",",,6","","","19.1",",,6,15,","38.7",",,,6","",""
"USC00447976","1897-01","36.983333","-82.75",,"SPEERS FERRY, VA US","10",",6","10",",6","0",",6","3",",6","","","18970127","+,,6","18970114",",,6","51",",,6,27,+","14.5",",,6,14,","57.9",",,,6","127",",,,6"
"USC00447976","1897-02","36.983333","-82.75",,"SPEERS FERRY, VA US","14",",6","10",",6","2",",6","","","","","","","18970221",",,6","","","83.8",",,6,21,","240.7",",,,6","",""
"USC00447976","1897-03","36.983333","-82.75",,"SPEERS FERRY, VA US","16",",6","14",",6","3",",6","0",",6","","","18970326",",,6","18970310",",,6","0",",T,6,26,","52.1",",,6,10,","250.2",",,,6","0",",T,,6"
"USC00447976","1897-07","36.983333","-82.75",,"SPEERS FERRY, VA US","14",",6","14",",6","1",",6","","","6","","","","18970721",",,6","","","26.7",",,6,21,","160.7",",,,6","",""
"USC00447976","1897-08","36.983333","-82.75",,"SPEERS FERRY, VA US","11",",6","9",",6","0",",6","0",",6","7","","18970831","+,,6","18970831",",,6","0",",,6,31,+","19.8",",,6,31,","95.5",",,,6","0",",,,6"
"USC00447976","1897-09","36.983333","-82.75",,"SPEERS FERRY, VA US","1",",6","1",",6","0",",6","0",",6","1","","18970930","+,,6","18970902",",,6","0",",,6,30,+","11.9",",,6,02,","11.9",",,,6","0",",,,6"
"USC00447976","1897-10","36.983333","-82.75",,"SPEERS FERRY, VA US","5",",6","2",",6","0",",6","0",",6","6","","18971031","+,,6","18971019",",,6","0",",,6,31,+","10.7",",,6,19,","23.6",",,,6","0",",,,6"
"USC00447976","1897-11","36.983333","-82.75",,"SPEERS FERRY, VA US","9",",6","6",",6","0",",6","0",",6","1","","18971130","+,,6","18971127",",,6","0",",,6,30,+","7.6",",,6,27,","32.1",",,,6","0",",,,6"
"USC00447976","1897-12","36.983333","-82.75",,"SPEERS FERRY, VA US","14",",6","10",",6","2",",6","0",",6","","","18971226","+,,6","18971220",",,6","0",",T,6,26,+","26.9",",,6,20,","132.5",",,,6","0",",T,,6"
