"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013777","1871-01","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","5",",Z","3",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710131",",,Z","","","","","","","","","20.8",",,Z,31,","","","","","","","39.5",",,,Z","","","","","","","",""
"USW00013777","1871-02","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","7",",Z","5",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710212",",,Z","","","","","","","","","10.2",",,Z,12,","","","","","","","35.2",",,,Z","","","","","","","",""
"USW00013777","1871-03","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","8",",Z","6",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710312",",,Z","","","","","","","","","26.9",",,Z,12,","","","","","","","76.9",",,,Z","","","","","","","",""
"USW00013777","1871-04","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","6",",Z","6",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710428",",,Z","","","","","","","","","15.5",",,Z,28,","","","","","","","48.3",",,,Z","","","","","","","",""
"USW00013777","1871-05","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","7",",Z","5",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710505",",,Z","","","","","","","","","30.5",",,Z,05,","","","","","","","58.5",",,,Z","","","","","","","",""
"USW00013777","1871-06","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","7",",Z","5",",Z","0",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710618",",,Z","","","","","","","","","19.8",",,Z,18,","","","","","","","64.8",",,,Z","","","","","","","",""
"USW00013777","1871-07","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","16",",Z","11",",Z","2",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710728",",,Z","","","","","","","","","57.9",",,Z,28,","","","","","","","156.2",",,,Z","","","","","","","",""
"USW00013777","1871-08","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","12",",Z","7",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710824",",,Z","","","","","","","","","35.8",",,Z,24,","","","","","","","86.6",",,,Z","","","","","","","",""
"USW00013777","1871-09","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","4",",Z","3",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18710916",",,Z","","","","","","","","","25.7",",,Z,16,","","","","","","","56.5",",,,Z","","","","","","","",""
"USW00013777","1871-10","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","10",",Z","4",",Z","1",",Z","","","","","","","","","","","","","","","","","","","","","","","","","18711005",",,Z","","","","","","","","","34.3",",,Z,05,","","","","","","","79.2",",,,Z","","","","","","","",""
