"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00000263","2018-06","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","","","","","","","4","5,W","1","5,W","0","5,W","","","","","","","","","","","","","","","20180619",",5,W","","","","","4.3","5,,W,19,","","","","","","","7.1","5,,,W","","","","","","","","","","","","","",""
"USW00000263","2018-07","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","2.0",",W","","","283.5",",W","5",",W","4",",W","1",",W","0",",W","0",",W","0",",W","31",",W","28",",W","20180727",",,W","","","20180709",",,W","20180723",",,W","17.8",",W,27,","129.0",",,W,09,","37.8",",W,23,","0.0","W","0.0",",W","157.3",",,,W","27.48",",W","33.64",",,,W","21.32",",,,W","90",",W","","","9.4",",W","",""
"USW00000263","2018-08","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","2.5",",W","","","260.9",",W","5",",W","2",",W","1",",W","0",",W","0",",W","0",",W","31",",W","27",",W","20180802",",,W","","","20180810",",,W","20180822","+,,W","17.2",",W,02,","69.6",",,W,10,","35.0",",W,22,+","0.0","W","0.0",",W","76.3",",,,W","26.75",",W","32.63",",,,W","20.87",",,,W","170",",W","","","7.6",",W","",""
"USW00000263","2018-09","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","1.4",",W","","","163.3",",W","18",",W","14",",W","5",",W","0",",W","0",",W","0",",W","30",",W","2",",W","20180928",",,W","1","","20180909",",,W","20180902",",,W","13.9",",W,28,","93.2",",,W,09,","33.9",",W,02,","0.0","W","0.0",",W","359.0",",,,W","23.78",",W","27.61",",,,W","19.94",",,,W","110",",W","","","7.6",",W","",""
"USW00000263","2018-10","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","2.6",",W","","","73.9",",W","16",",W","11",",W","0",",W","0",",W","0",",W","0",",W","21",",W","0",",W","20181016","+,,W","","","20181015","+,,W","20181014","+,,W","5.0",",W,16,+","18.8",",,W,15,+","30.0",",W,14,+","60.9","W","60.9",",W","101.2",",,,W","18.75",",W","22.92",",,,W","14.58",",,,W","360","1,W","","","8.9","1,W","",""
"USW00000263","2018-11","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","2.3",",W","","","5.0",",W","8",",W","2",",W","0",",W","0",",W","6",",W","0",",W","9",",W","0",",W","20181114",",,W","","","20181111",",,W","20181107","+,,W","-3.8",",W,14,","4.8",",,W,11,","26.1",",W,07,+","275.4","W","214.5",",W","14.1",",,,W","11.35",",W","16.94",",,,W","5.76",",,,W","360",",W","","","9.8",",W","",""
"USW00000263","2018-12","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","2.1",",W","","","0.0",",W","9",",W","2",",W","2",",W","0",",W","7",",W","0",",W","4",",W","0",",W","20181216","+,,W","","","20181226",",,W","20181222",",,W","-1.0",",W,16,+","37.8",",,W,26,","23.9",",W,22,","547.8","W","272.4",",W","81.7",",,,W","9.55",",W","15.23",",,,W","3.86",",,,W","330","2,W","","","11.2","2,W","",""
"USW00000263","2019-01","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","2.1",",W","0.0","W","0.0",",W","6",",W","4",",W","0",",W","0",",W","10",",W","0",",W","3",",W","0",",W","20190124",",,W","","","20190102",",,W","20190117","+,,W","-2.1",",W,24,","14.5",",,W,02,","22.8",",W,17,+","838.5","W","290.7",",W","33.4",",,,W","8.95",",W","14.48",",,,W","3.43",",,,W","20","2,W","","","11.2","2,W","",""
"USW00000263","2019-02","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","2.2",",W","4.2","W","4.2",",W","9",",W","1",",W","0",",W","0",",W","4",",W","0",",W","6",",W","0",",W","20190213",",,W","","","20190209",",,W","20190215",",,W","-2.1",",W,13,","6.9",",,W,09,","30.0",",W,15,","1019.9","W","181.4",",W","11.4",",,,W","12.00",",W","16.88",",,,W","7.13",",,,W","320","4,W","","","8.1","4,W","",""
"USW00000263","2019-03","29.724","-98.695","422.1","BOERNE STAGE FIELD AIRPORT, TX US","3.0",",W","15.6","W","11.4",",W","7",",W","1",",W","0",",W","0",",W","4",",W","0",",W","15",",W","0",",W","20190305",",,W","","","20190313",",,W","20190309",",,W","-3.8",",W,05,","9.4",",,W,13,","27.8",",W,09,","1185.1","W","165.2",",W","13.1",",,,W","13.37",",W","18.83",",,,W","7.91",",,,W","10","1,W","","","10.3","1,W","",""
