"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00417533","1985-07","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","311.8",",0","3",",0","1",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","30",",0","","","19850701",",,0","","","19850731","+,,0","","","19850704",",,0","19850728","+,,0","15.0",",0,01,","","","0",",,0,31,+","7.1",",,0,04,","37.8",",0,28,+","0.0","0","","","0.0",",0","","","","","","","","","","","8.1",",,,0","0",",,,0","28.39",",0","34.95",",,,0","21.83",",,,0"
"USC00417533","1985-08","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","362.0",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","19850802",",,0","19850831","+,,0","19850831","+,,0","","","19850828",",,0","19850802",",,0","20.6",",0,02,","0",",,0,31,+","0",",,0,31,+","0.8",",,0,28,","39.4",",0,02,","0.0","0","","","0.0",",0","","","","","","","","","","","1.6",",,,0","0",",,,0","30.01",",0","36.96",",,,0","23.05",",,,0"
"USC00417533","1985-09","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","287.0",",0","12",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","27",",0","","","19850930",",,0","19850930","+,,0","19850930","+,,0","","","19850929",",,0","19850903","+,,0","12.8",",0,30,","0",",,0,30,+","0",",,0,30,+","49.0",",,0,29,","39.4",",0,03,+","2.2","0","","","2.2",",0","","","","","","","","","","","174.7",",,,0","0",",,,0","27.83",",0","34.06",",,,0","21.59",",,,0"
"USC00417533","1985-10","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","165.3",",0","8",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","","","19851006",",,0","19851031","+,,0","19851031","+,,0","","","19851015",",,0","19851010",",,0","8.3",",0,06,","0",",,0,31,+","0",",,0,31,+","17.3",",,0,15,","32.2",",0,10,","4.2","0","","","2.0",",0","","","","","","","","","","","50.5",",,,0","0",",,,0","23.60",",0","28.87",",,,0","18.33",",,,0"
"USC00417533","1985-11","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","89.3","3,0","9","1,0","5","1,0","1","1,0","","","0","1,0","0","2,0","0","2,0","0","2,0","24","2,0","0","2,0","","","19851105",",2,0","","","19851130","+,1,0","","","19851102",",1,0","19851115","+,2,0","5.6","2,0,05,","","","0","1,,0,30,+","37.6","1,,0,02,","28.9","2,0,15,+","28.5","0","","","24.3","2,0","","","","","","","","","","","65.9","1,,,0","0","1,,,0","20.64","3,0","25.51","2,,,0","15.77","2,,,0"
"USC00417533","1985-12","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","7.5","3,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","2,0","3","2,0","0","2,0","12","2,0","0","2,0","","","19851214",",2,0","19851231","+,,0","19851231","+,,0","","","19851211",",,0","19851230","+,2,0","-4.4","2,0,14,","0",",,0,31,+","0",",,0,31,+","17.0",",,0,11,","26.1","2,0,30,+","208.0","0","","","179.5","2,0","","","","","","","","","","","27.0",",,,0","0",",,,0","12.28","3,0","18.54","2,,,0","6.02","2,,,0"
"USC00417533","1986-01","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","3.8","0","3.8","1,0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0","1,0","21","1,0","0","1,0","","","19860114",",,0","19860131","+,,0","19860131","+,,0","","","19860108",",,0","19860129",",1,0","-1.7",",0,14,","0",",,0,31,+","0",",,0,31,+","20.1",",,0,08,","27.2","1,0,29,","342.2","0","","","134.2","1,0","","","","","","","","","","","37.7",",,,0","0",",,,0","13.92","1,0","21.22","1,,,0","6.62",",,,0"
"USC00417533","1986-02","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","38.5","0","34.7",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","22",",0","2",",0","","","19860212",",,0","19860228","+,,0","19860228","+,,0","","","19860204",",,0","19860219",",,0","-1.7",",0,12,","0",",,0,28,+","0",",,0,28,+","22.4",",,0,04,","36.1",",0,19,","428.9","0","","","86.7",",0","","","","","","","","","","","27.0",",,,0","0",",,,0","16.48",",0","23.45",",,,0","9.50",",,,0"
"USC00417533","1986-04","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","155.9",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","3",",0","","","19860421",",,0","19860430","+,,0","19860430","+,,0","","","19860420",",,0","19860412",",,0","10.0",",0,21,","0",",,0,30,+","0",",,0,30,+","7.9",",,0,20,","34.4",",0,12,","","","","","0.5",",0","","","","","","","","","","","20.1",",,,0","0",",,,0","23.51",",0","28.84",",,,0","18.19",",,,0"
"USC00417533","1986-05","28.3294","-97.2947","13.7","REFUGIO 2 NW, TX US","","","201.0",",0","10",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","","","19860520",",,0","19860531","+,,0","19860531","+,,0","","","19860510",",,0","19860529","+,,0","11.7",",0,20,","0",",,0,31,+","0",",,0,31,+","56.6",",,0,10,","32.2",",0,29,+","","","","","0.0",",0","","","","","","","","","","","112.1",",,,0","0",",,,0","24.82",",0","29.58",",,,0","20.05",",,,0"
