"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00250960","1894-11","40.333333","-98.433333","599.5","BLUE HILL, NE US","1",",6","1",",6","0",",6","","","","","","","18941101",",,6","","","5.1",",,6,01,","5.1",",,,6","",""
"USC00250960","1894-12","40.333333","-98.433333","599.5","BLUE HILL, NE US","2",",6","2",",6","0",",6","1",",6","1","","18941210",",,6","18941215",",,6","25",",,6,10,","20.3",",,6,15,","22.8",",,,6","25",",,,6"
"USC00250960","1895-01","40.333333","-98.433333","599.5","BLUE HILL, NE US","1",",6","1",",6","0",",6","1",",6","","","18950125",",,6","18950125",",,6","25",",,6,25,","2.5",",,6,25,","2.5",",,,6","25",",,,6"
"USC00250960","1895-02","40.333333","-98.433333","599.5","BLUE HILL, NE US","1",",6","1",",6","1",",6","","","","","","","18950225",",,6","","","29.2",",,6,25,","29.2",",,,6","",""
"USC00250960","1895-03","40.333333","-98.433333","599.5","BLUE HILL, NE US","1",",6","0",",6","0",",6","0",",6","","","18950314",",,6","18950314",",,6","3",",,6,14,","0.3",",,6,14,","0.3",",,,6","3",",,,6"
"USC00250960","1895-04","40.333333","-98.433333","599.5","BLUE HILL, NE US","2",",6","2",",6","1",",6","","","","","","","18950415",",,6","","","27.9",",,6,15,","50.8",",,,6","",""
"USC00250960","1895-05","40.333333","-98.433333","599.5","BLUE HILL, NE US","5",",6","4",",6","0",",6","","","","","","","18950530",",,6","","","16.5",",,6,30,","45.0",",,,6","",""
"USC00250960","1895-07","40.333333","-98.433333","599.5","BLUE HILL, NE US","11",",6","5",",6","1",",6","","","","","","","18950713",",,6","","","39.4",",,6,13,","73.4",",,,6","",""
"USC00250960","1895-08","40.333333","-98.433333","599.5","BLUE HILL, NE US","6",",6","5",",6","3",",6","","","","","","","18950830",",,6","","","81.3",",,6,30,","192.1",",,,6","",""
"USC00250960","1895-09","40.333333","-98.433333","599.5","BLUE HILL, NE US","3","1,6","2","1,6","0","1,6","","","","","","","18950921",",1,6","","","11.4","1,,6,21,","17.8","1,,,6","",""
