"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GQC00914120","1956-01","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","8",",0","8",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19560131","+,,0","19560131","+,,0","","","19560103","+,,0","","","","","0",",,0,31,+","0",",,0,31,+","12.7",",,0,03,+","","","","","57.1",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-02","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","9",",0","9",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19560229","+,,0","19560229","+,,0","","","19560210","+,,0","","","","","0",",,0,29,+","0",",,0,29,+","22.9",",,0,10,+","","","","","94.1",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-03","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","19560331","+,,0","19560331","+,,0","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","66.4","4,a,,0","0",",,,0","","","","","",""
"GQC00914120","1956-04","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19560430","+,,0","19560430","+,,0","","","19560415",",,0","","","","","0",",,0,30,+","0",",,0,30,+","17.8",",,0,15,","","","","","39.1",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-05","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19560531","+,,0","19560531","+,,0","","","19560503",",,0","","","","","0",",,0,31,+","0",",,0,31,+","17.8",",,0,03,","","","","","48.3",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-06","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","5","1,0","5","1,0","0","1,0","0",",0","0",",0","","","","","","","","","","","","","19560630","+,,0","19560630","+,,0","","","19560603",",1,0","","","","","0",",,0,30,+","0",",,0,30,+","17.8","1,,0,03,","","","","","53.4","1,,,0","0",",,,0","","","","","",""
"GQC00914120","1956-07","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","19",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19560731","+,,0","19560731","+,,0","1","","19560726",",,0","","","","","0",",,0,31,+","0",",,0,31,+","30.5",",,0,26,","","","","","277.4",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-08","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","21",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","19560831","+,,0","19560831","+,,0","","","19560809",",,0","","","","","0",",,0,31,+","0",",,0,31,+","28.7",",,0,09,","","","","","183.8",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-09","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","27","1,0","21","1,0","0","1,0","0",",0","0",",0","","","","","","","","","","","","","19560930","+,,0","19560930","+,,0","2","","19560922",",1,0","","","","","0",",,0,30,+","0",",,0,30,+","21.1","1,,0,22,","","","","","240.5","1,,,0","0",",,,0","","","","","",""
"GQC00914120","1956-10","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","17",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19561031","+,,0","19561031","+,,0","3","","19561019",",,0","","","","","0",",,0,31,+","0",",,0,31,+","35.6",",,0,19,","","","","","198.2",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-11","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","22",",0","18",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","19561130","+,,0","19561130","+,,0","1","","19561112",",,0","","","","","0",",,0,30,+","0",",,0,30,+","49.5",",,0,12,","","","","","247.6",",,,0","0",",,,0","","","","","",""
"GQC00914120","1956-12","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","18",",0","15",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","19561231","+,,0","19561231","+,,0","","","19561213",",,0","","","","","0",",,0,31,+","0",",,0,31,+","48.3",",,0,13,","","","","","204.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-01","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","18",",0","13",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","19570131","+,,0","19570131","+,,0","","","19570128",",,0","","","","","0",",,0,31,+","0",",,0,31,+","35.6",",,0,28,","","","","","132.2",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-02","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","17",",0","10",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19570228","+,,0","19570228","+,,0","","","19570218",",,0","","","","","0",",,0,28,+","0",",,0,28,+","10.2",",,0,18,","","","","","54.7",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-03","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","22",",0","10",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19570331","+,,0","19570331","+,,0","","","19570326",",,0","","","","","0",",,0,31,+","0",",,0,31,+","17.8",",,0,26,","","","","","77.3",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-04","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","23",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19570430","+,,0","19570430","+,,0","","","19570420",",,0","","","","","0",",,0,30,+","0",",,0,30,+","12.7",",,0,20,","","","","","46.0",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-05","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","16",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19570531","+,,0","19570531","+,,0","","","19570507",",,0","","","","","0",",,0,31,+","0",",,0,31,+","29.2",",,0,07,","","","","","65.6",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-06","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","18",",0","10",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19570630","+,,0","19570630","+,,0","","","19570619",",,0","","","","","0",",,0,30,+","0",",,0,30,+","22.9",",,0,19,","","","","","86.0",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-07","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","13",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19570731","+,,0","19570731","+,,0","","","19570712",",,0","","","","","0",",,0,31,+","0",",,0,31,+","50.8",",,0,12,","","","","","77.3",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-08","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","26",",0","19",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19570831","+,,0","19570831","+,,0","","","19570814",",,0","","","","","0",",,0,31,+","0",",,0,31,+","48.3",",,0,14,","","","","","221.9",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-09","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","23",",0","18",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19570930","+,,0","19570930","+,,0","","","19570917",",,0","","","","","0",",,0,30,+","0",",,0,30,+","34.3",",,0,17,","","","","","187.5",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-10","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","22",",0","14",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","19571031","+,,0","19571031","+,,0","","","19571006",",,0","","","","","0",",,0,31,+","0",",,0,31,+","63.5",",,0,06,","","","","","285.4",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-11","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","21",",0","13",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","19571130","+,,0","19571130","+,,0","","","19571116",",,0","","","","","0",",,0,30,+","0",",,0,30,+","76.2",",,0,16,","","","","","317.9",",,,0","0",",,,0","","","","","",""
"GQC00914120","1957-12","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","10",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19571231","+,,0","19571231","+,,0","","","19571216",",,0","","","","","0",",,0,31,+","0",",,0,31,+","9.4",",,0,16,","","","","","30.2",",,,0","0",",,,0","","","","","",""
"GQC00914120","1958-01","13.235","144.64555","3.0","COCOS ISLAND GUAM, GU GQ","","","23",",0","12",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19580131","+,,0","19580131","+,,0","","","19580114",",,0","","","","","0",",,0,31,+","0",",,0,31,+","45.7",",,0,14,","","","","","147.7",",,,0","0",",,,0","","","","","",""
