"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00004825","2011-12","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004825","2012-01","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","4.5","1,W","","","0","1,W","0","1,W","0","1,W","","","0","1,W","","","","","","","","","","","7","","1","","","","","","20120131","+,1,W","","","20120131","+,1,W","","","","","","","0","1,,W,31,+","0.0","1,,W,31,+","","","","","","","0.0","1,,,W","0","1,,,W","","","","","","","290","1,W","","","12.5","1,W","",""
"USW00004825","2012-02","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004825","2012-03","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","10","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004825","2012-04","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004825","2012-05","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004825","2012-09","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","3.6",",W","","","1",",W","0",",W","0",",W","","","0","1,W","","","","","","","","","","","5","","1","","","","","","20120930","+,1,W","1","","20120909",",,W","","","","","","","0","1,,W,30,+","0.3",",,W,09,","","","","","","","0.3",",,,W","0","1,,,W","","","","","","","230",",W","","","12.5",",W","",""
"USW00004825","2012-10","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","11","","4","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00004825","2012-11","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","0","5,W","0","5,W","0","5,W","","","0","5,W","","","","","","","","","","","11","","2","","","","","","20121130","+,5,W","","","20121130","+,5,W","","","","","","","0","5,,W,30,+","0.0","5,,W,30,+","","","","","","","0.0","5,,,W","0","5,,,W","","","","","","","","","","","","","",""
"USW00004825","2012-12","44.26667","-88.51667","279.5","APPLETON OUTAGAMIE CO AIRPORT, WI US","","","","","","","","","","","","","","","","","","","","","","","","","8","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
