"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00401569","1942-05","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","7",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","19420504",",,6","","","","","","","","","33.3",",,6,04,","","","","","","","","","102.5",",,,6","","","","","","","","","",""
"USC00401569","1942-06","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","8",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","19420612",",,6","","","","","","","","","21.6",",,6,12,","","","","","","","","","67.9",",,,6","","","","","","","","","",""
"USC00401569","1942-07","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","9",",6","8",",6","1",",6","","","","","","","","","","","","","","","1","","","","","","","","19420710",",,6","","","","","","","","","30.0",",,6,10,","","","","","","","","","121.6",",,,6","","","","","","","","","",""
"USC00401569","1942-08","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","14",",6","13",",6","2",",6","","","","","","","","","","","","","","","1","","","","","","","","19420805",",,6","","","","","","","","","55.9",",,6,05,","","","","","","","","","242.1",",,,6","","","","","","","","","",""
"USC00401569","1942-09","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","3","","","","","","","","19420927",",,6","","","","","","","","","17.0",",,6,27,","","","","","","","","","68.0",",,,6","","","","","","","","","",""
"USC00401569","1942-10","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","7",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","19421030",",,6","","","","","","","","","26.9",",,6,30,","","","","","","","","","81.0",",,,6","","","","","","","","","",""
"USC00401569","1942-11","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","8",",6","7",",6","1",",6","","","","","","","","","","","","","","","1","","","","","","","","19421123",",,6","","","","","","","","","57.9",",,6,23,","","","","","","","","","108.1",",,,6","","","","","","","","","",""
"USC00401569","1942-12","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","15",",6","13",",6","2",",6","","","","","","","","","","","","","","","2","","","","","","","","19421228",",,6","","","","","","","","","62.2",",,6,28,","","","","","","","","","222.6",",,,6","","","","","","","","","",""
"USC00401569","1943-01","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","6",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19430120","+,,6","19430127",",,6","","","","","","","0",",T,6,20,+","22.6",",,6,27,","","","","","","","","","28.9",",,,6","0",",T,,6","","","","","","","",""
"USC00401569","1943-02","36.1","-85.81667","177.1","CENTER HILL DAM, TN US","","","","","6","1,6","6","1,6","0","1,6","","","","","","","","","","","","","","","","","","","","","","","19430211",",1,6","","","","","","","","","22.9","1,,6,11,","","","","","","","","","58.5","1,,,6","","","","","","","","","",""
