"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA007048N13","1973-06","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","7.8",",C","15",",C","14",",C","0",",C","0",",C","0",",C","3",",C","0",",C","11",",C","0",",C","19730617","+,,C","19730630","+,,C","19730614",",,C","19730627",",,C","-1.1",",C,17,+","0",",,C,30,+","10.7",",,C,14,","29.4",",C,27,","","","124.3",",C","78.8",",,,C","0",",,,C","14.45",",C","20.65",",,,C","8.25",",,,C"
"CA007048N13","1973-07","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","17.8",",C","16",",C","12",",C","1",",C","0",",C","0",",C","0",",C","0",",C","17",",C","0",",C","19730723","+,,C","19730731","+,,C","19730711",",,C","19730724",",,C","4.4",",C,23,+","0",",,C,31,+","27.9",",,C,11,","29.4",",C,24,","86.2","","86.2",",C","151.8",",,,C","0",",,,C","16.13",",C","21.79",",,,C","10.46",",,,C"
"CA007048N13","1973-08","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","","","20","1,C","13","1,C","2","1,C","0",",C","","","","","","","","","","","","","19730831","+,,C","19730815",",1,C","","","","","0",",,C,31,+","43.4","1,,C,15,","","","","","","","169.2","1,,,C","0",",,,C","","","","","",""
"CA007048N13","1973-09","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","","","","","","","","","0",",C","","","","","","","","","","","","","19730930","+,,C","","","","","","","0",",,C,30,+","","","","","","","","","","","0",",,,C","","","","","",""
"CA007048N13","1974-07","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","3.3",",C","20",",C","12",",C","1",",C","0",",C","0",",C","0",",C","0",",C","16",",C","0",",C","19740716",",,C","19740731","+,,C","19740730",",,C","19740714",",,C","1.7",",C,16,","0",",,C,31,+","31.8",",,C,30,","30.0",",C,14,","94.0","","94.0",",C","151.0",",,,C","0",",,,C","15.41",",C","21.22",",,,C","9.60",",,,C"
"CA007048N13","1974-08","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","12.5","1,C","18",",C","8",",C","1",",C","0",",C","0",",C","1",",C","0","1,C","14","1,C","0","1,C","19740830",",,C","19740831","+,,C","19740817",",,C","19740822",",1,C","-0.6",",C,30,","0",",,C,31,+","26.4",",,C,17,","28.9","1,C,22,","206.1","","112.1","1,C","84.6",",,,C","0",",,,C","14.89","1,C","20.57","1,,,C","9.20",",,,C"
"CA007048N13","1975-06","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","14.5",",C","15",",C","9",",C","0",",C","0",",C","0",",C","4",",C","0",",C","17",",C","0",",C","19750611","+,,C","19750630","+,,C","19750623",",,C","19750623",",,C","-0.6",",C,11,+","0",",,C,30,+","15.2",",,C,23,","30.0",",C,23,","","","127.8",",C","81.9",",,,C","0",",,,C","14.56",",C","21.17",",,,C","7.95",",,,C"
"CA007048N13","1975-07","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","31.7","2,C","19",",C","15",",C","2",",C","0",",C","0","2,C","0","2,C","0","2,C","23","2,C","0","2,C","19750727",",2,C","19750731","+,,C","19750707",",,C","19750718","+,2,C","5.0","2,C,27,","0",",,C,31,+","51.6",",,C,07,","30.0","2,C,18,+","39.9","","39.9","2,C","216.6",",,,C","0",",,,C","18.05","2,C","23.95","2,,,C","12.15","2,,,C"
"CA007048N13","1975-08","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","16.4","1,C","12",",C","6",",C","0",",C","0",",C","0","1,C","1","1,C","0","1,C","13","1,C","2","1,C","19750831",",1,C","19750831","+,,C","19750817",",,C","19750801",",1,C","0.0","1,C,31,","0",",,C,31,+","12.4",",,C,17,","33.3","1,C,01,","151.8","","111.9","1,C","57.5",",,,C","0",",,,C","15.15","1,C","21.15","1,,,C","9.15","1,,,C"
"CA007048N13","1976-06","49.1667","-69.8333","442.0","TOUR LAC AUX PERLES, QC CA","18.1",",C","8",",C","7",",C","1",",C","0",",C","0",",C","6",",C","0",",C","19",",C","1",",C","19760629",",,C","19760630","+,,C","19760628",",,C","19760623",",,C","-4.4",",C,29,","0",",,C,30,+","50.3",",,C,28,","32.2",",C,23,","","","140.3",",C","123.5",",,,C","0",",,,C","14.26",",C","22.32",",,,C","6.20",",,,C"
