"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006148100","1865-01","43.3833","-81.0","363.0","STRATFORD, ON CA","0.0","C","0.0","5,C","7",",C","7",",C","0",",C","6",",C","6","5,C","26","5,C","23","5,C","0","5,C","0","5,C","18650109",",5,C","18650110",",,C","18650110",",,C","18650123","+,5,C","-21.1","5,C,09,","152",",,C,10,","15.2",",,C,10,","0.6","5,C,23,+","","","729.4","5,C","48.7",",,,C","431",",,,C","-9.72","5,C","-5.23","5,,,C","-14.21","5,,,C"
"CA006148100","1865-02","43.3833","-81.0","363.0","STRATFORD, ON CA","0.0","C","0.0","4,C","9",",C","8",",C","0",",C","5",",C","2","4,C","24","4,C","18","4,C","0","4,C","0","4,C","18650213",",4,C","18650208",",,C","18650226",",,C","18650223","+,4,C","-28.3","4,C,13,","89",",,C,08,","14.0",",,C,26,","5.0","4,C,23,+","","","592.5","4,C","67.4",",,,C","382",",,,C","-6.36","4,C","-1.97","4,,,C","-10.75","4,,,C"
"CA006148100","1865-03","43.3833","-81.0","363.0","STRATFORD, ON CA","0.0","C","0.0","4,C","13",",C","12",",C","0",",C","6",",C","2","4,C","22","4,C","7","4,C","0","4,C","0","4,C","18650313","+,4,C","18650322","+,,C","18650322",",,C","18650321","+,4,C","-20.6","4,C,13,+","102",",,C,22,+","20.6",",,C,22,","13.9","4,C,21,+","","","488.3","4,C","89.5",",,,C","394",",,,C","0.25","4,C","5.44","4,,,C","-4.94","4,,,C"
"CA006148100","1865-04","43.3833","-81.0","363.0","STRATFORD, ON CA","0.0","C","0.0","5,C","10",",C","8",",C","0",",C","2",",C","0","5,C","10","5,C","0","5,C","0","5,C","0","5,C","18650410",",5,C","18650422","+,,C","18650429",",,C","18650421",",5,C","-5.6","5,C,10,","38",",,C,22,+","23.9",",,C,29,","20.0","5,C,21,","","","287.3","5,C","84.6",",,,C","76",",,,C","6.84","5,C","12.37","5,,,C","1.31","5,,,C"
"CA006148100","1865-05","43.3833","-81.0","363.0","STRATFORD, ON CA","2.0","C","2.0","4,C","9",",C","8",",C","0",",C","1",",C","0","4,C","4","4,C","0","4,C","8","4,C","0","4,C","18650512",",4,C","18650501",",,C","18650506",",,C","18650517",",4,C","-2.8","4,C,12,","25",",,C,01,","11.9",",,C,06,","27.2","4,C,17,","","","193.7","4,C","47.7",",,,C","25",",,,C","11.23","4,C","17.39","4,,,C","5.07","4,,,C"
"CA006148100","1865-06","43.3833","-81.0","363.0","STRATFORD, ON CA","48.5","C","46.5","4,C","11",",C","8",",C","0",",C","0",",C","0","4,C","0","4,C","0","4,C","21","4,C","0","4,C","18650628","+,4,C","18650630","+,,C","18650626",",,C","18650619",",4,C","4.4","4,C,28,+","0",",,C,30,+","14.2",",,C,26,","30.6","4,C,19,","","","28.7","4,C","72.8",",,,C","0",",,,C","19.02","4,C","25.17","4,,,C","12.86","4,,,C"
"CA006148100","1865-07","43.3833","-81.0","363.0","STRATFORD, ON CA","70.5","C","22.0","5,C","8",",C","2",",C","0",",C","0",",C","0","5,C","0","5,C","0","5,C","20","5,C","0","5,C","18650714",",5,C","18650731","+,,C","18650725",",,C","18650706",",5,C","3.9","5,C,14,","0",",,C,31,+","23.6",",,C,25,","30.6","5,C,06,","41.5","","41.5","5,C","36.1",",,,C","0",",,,C","17.58","5,C","23.21","5,,,C","11.96","5,,,C"
"CA006148100","1865-08","43.3833","-81.0","363.0","STRATFORD, ON CA","99.7","C","29.2","4,C","5","2,C","3","2,C","0","2,C","0",",C","0","4,C","0","4,C","0","4,C","22","4,C","0","4,C","18650824",",4,C","18650831","+,,C","18650803",",2,C","18650831",",4,C","1.1","4,C,24,","0",",,C,31,+","12.7","2,,C,03,","31.1","4,C,31,","86.5","","45.0","4,C","52.8",",a,,C","0",",,,C","17.75","4,C","24.06","4,,,C","11.44","4,,,C"
"CA006148100","1865-09","43.3833","-81.0","363.0","STRATFORD, ON CA","128.7","C","29.0","4,C","8",",C","7",",C","1",",C","0",",C","0","4,C","0","4,C","0","4,C","19","4,C","0","4,C","18650919",",4,C","18650930","+,,C","18650917",",,C","18650913",",4,C","1.1","4,C,19,","0",",,C,30,+","25.4",",,C,17,","29.4","4,C,13,","132.5","","46.0","4,C","78.4",",,,C","0",",,,C","17.68","4,C","23.72","4,,,C","11.63","4,,,C"
"CA006148100","1865-10","43.3833","-81.0","363.0","STRATFORD, ON CA","128.7","C","0.0","5,C","9",",C","7",",C","2",",C","2",",C","0","5,C","14","5,C","1","5,C","0","5,C","0","5,C","18651030",",5,C","18651028",",,C","18651008",",,C","18651010","+,5,C","-5.0","5,C,30,","64",",,C,28,","26.9",",,C,08,","20.6","5,C,10,+","456.8","","324.3","5,C","102.2",",,,C","102",",,,C","5.86","5,C","10.25","5,,,C","1.47","5,,,C"
