"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00022010","1951-05","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","229.3",",0","9",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","2","","","","19510502",",,0","19510531","+,,0","19510531","+,,0","9","","19510523",",,0","19510505",",,0","12.8",",0,02,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,23,","37.8",",0,05,","236.4",",,,0","","","0.0",",0","54.7",",,,0","","","","","","","0",",,,0","25.73",",0","31.98",",,,0","19.48",",,,0","","","","","","","","","","","3647",",,,0","","","","","","","",""
"USW00022010","1951-06","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","333.7",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","25",",0","1","","","","19510603",",,0","19510630","+,,0","19510630","+,,0","7","","19510625",",,0","19510621","+,,0","18.9",",0,03,","0",",,0,30,+","0",",,0,30,+","7.9",",,0,25,","40.6",",0,21,+","276.3",",,,0","","","0.0",",0","15.4",",,,0","","","","","","","0",",,,0","29.46",",0","35.73",",,,0","23.18",",,,0","","","","","","","","","","","3690",",,,0","","","","","","","",""
"USW00022010","1951-07","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","421.4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","19510718",",,0","19510731","+,,0","19510731","+,,0","2","","19510731","+,,0","19510729","+,,0","23.3",",0,18,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,31,+","41.7",",0,29,+","357.2",",,,0","0.0","0","0.0",",0","0.0",",T,,0","","","","","","","0",",,,0","31.93",",0","38.47",",,,0","25.38",",,,0","","","","","","","","","","","3344",",,,0","","","","","","","",""
"USW00022010","1951-08","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","412.7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","19510813",",,0","19510831","+,,0","19510831","+,,0","3","","19510819",",,0","19510808","+,,0","22.2",",0,13,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,19,","40.6",",0,08,+","","","0.0","0","0.0",",0","0.0",",T,,0","","","","","","","0",",,,0","31.65",",0","38.34",",,,0","24.95",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00022010","1951-09","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","295.6",",0","3",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","23",",0","","","","","19510917",",,0","19510930","+,,0","19510930","+,,0","3","","19510916",",,0","19510901",",,0","11.7",",0,17,","0",",,0,30,+","0",",,0,30,+","43.2",",,0,16,","40.6",",0,01,","201.9","4,,,0","0.0","0","0.0",",0","44.0",",,,0","","","","","","","0",",,,0","28.19",",0","34.42",",,,0","21.95",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00022010","1951-10","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","166.0",",0","7",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","7","","","","19511010","+,,0","19511031","+,,0","19511031","+,,0","4","","19511028",",,0","19511002",",,0","11.7",",0,10,+","0",",,0,31,+","0",",,0,31,+","41.9",",,0,28,","38.9",",0,02,","157.0",",,,0","0.5","0","0.5",",0","53.2",",,,0","","","","","","","0",",,,0","23.67",",0","29.62",",,,0","17.73",",,,0","","","","","","","","","","","1631",",,,0","","","","","","","",""
"USW00022010","1951-11","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","27.8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","15",",0","1",",0","3","","","","19511103",",,0","19511130","+,,0","19511130","+,,0","","","19511128",",,0","19511113",",,0","-0.6",",0,03,","0",",,0,30,+","0",",,0,30,+","1.0",",,0,28,","32.8",",0,13,","97.9",",,,0","138.2","0","137.7",",0","1.3",",,,0","","","","","","","0",",,,0","14.67",",0","21.00",",,,0","8.34",",,,0","","","","","","","","","","","1694",",,,0","","","","","","","",""
"USW00022010","1951-12","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","","","12.2",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","14",",0","0",",0","4","","","","19511216",",,0","19511231","+,,0","19511231","+,,0","1","","19511210",",,0","19511205",",,0","-5.0",",0,16,","0",",,0,31,+","0",",,0,31,+","8.9",",,0,10,","31.1",",0,05,","85.9",",,,0","321.8","0","183.6",",0","10.7",",,,0","","","","","","","0",",,,0","12.80",",0","19.84",",,,0","5.77",",,,0","","","","","","","","","","","1323",",,,0","","","","","","","",""
"USW00022010","1952-01","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","23.0","0","23.0",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","20",",0","0",",0","5","","","","19520110",",,0","19520131","+,,0","19520131","+,,0","1","","19520127",",,0","19520126",",,0","-0.6",",0,10,","0",",,0,31,+","0",",,0,31,+","2.3",",,0,27,","29.4",",0,26,","","","445.5","0","123.7",",0","3.6",",,,0","","","","","","","0",",,,0","15.08",",0","21.69",",,,0","8.48",",,,0","","","","","","","","","","","","","","","","","","","",""
"USW00022010","1952-02","29.3784","-100.92704","305.7","DEL RIO INTERNATIONAL AIRPORT, TX US","","","","","","","","","","","33.9","0","10.9",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","21",",0","0",",0","4","","","","19520207",",,0","19520229","+,,0","19520229","+,,0","2","","19520225",",,0","19520229",",,0","-0.6",",0,07,","0",",,0,29,+","0",",,0,29,+","8.9",",,0,25,","28.9",",0,29,","132.3","1,,,0","546.7","0","101.2",",0","12.7",",,,0","","","","","","","0",",,,0","15.22",",0","22.92",",,,0","7.52",",,,0","","","","","","","","","","","1580","1,,,0","","","","","","","",""
