"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00197122","1885-11","42.516667","-70.9","12.2","SALEM B, MA US","","","9",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","18851125",",,6","","","","","","","48.8",",,6,25,","","","","","","","124.4",",,,6","","","","","","","",""
"USC00197122","1885-12","42.516667","-70.9","12.2","SALEM B, MA US","","","9",",6","7",",6","0",",6","1",",6","","","","","","","","","","","","","18851218",",,6","","","18851214",",,6","","","","","114",",,6,18,","16.8",",,6,14,","","","","","","","69.0",",,,6","114",",,,6","","","","","",""
"USC00197122","1886-01","42.516667","-70.9","12.2","SALEM B, MA US","","","12",",6","9",",6","2",",6","5",",6","","","","","","","","","","","","","18860130",",,6","","","18860128",",,6","","","","","178",",,6,30,","49.5",",,6,28,","","","","","","","157.0",",,,6","660",",,,6","","","","","",""
"USC00197122","1886-02","42.516667","-70.9","12.2","SALEM B, MA US","","","5",",6","4",",6","1",",6","1",",6","","","","","","","","","","","","","18860204",",,6","1","","18860213",",,6","","","","","64",",,6,04,","157.7",",,6,13,","","","","","","","198.8",",,,6","64",",,,6","","","","","",""
"USC00197122","1886-03","42.516667","-70.9","12.2","SALEM B, MA US","","","11",",6","8",",6","1",",6","2",",6","","","","","","","","","","","","","18860309",",,6","2","","18860321",",,6","","","","","76",",,6,09,","43.7",",,6,21,","","","","","","","93.1",",,,6","140",",,,6","","","","","",""
"USC00197122","1886-04","42.516667","-70.9","12.2","SALEM B, MA US","","","4",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","18860407",",,6","","","","","","","54.1",",,6,07,","","","","","","","59.9",",,,6","","","","","","","",""
"USC00197122","1886-05","42.516667","-70.9","12.2","SALEM B, MA US","","","10",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","1","","18860509",",,6","","","","","","","45.0",",,6,09,","","","","","","","92.9",",,,6","","","","","","","",""
"USC00197122","1886-06","42.516667","-70.9","12.2","SALEM B, MA US","","","10",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","18860603",",,6","","","","","","","16.5",",,6,03,","","","","","","","39.9",",,,6","","","","","","","",""
"USC00197122","1886-07","42.516667","-70.9","12.2","SALEM B, MA US","","","6",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","2","","18860725",",,6","","","","","","","59.4",",,6,25,","","","","","","","113.4",",,,6","","","","","","","",""
"USC00197122","1886-08","42.516667","-70.9","12.2","SALEM B, MA US","","","7",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","18860807",",,6","","","","","","","27.2",",,6,07,","","","","","","","77.0",",,,6","","","","","","","",""
"USC00197122","1886-09","42.516667","-70.9","12.2","SALEM B, MA US","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","1","","18860923",",,6","","","","","","","39.6",",,6,23,","","","","","","","71.3",",,,6","","","","","","","",""
"USC00197122","1886-10","42.516667","-70.9","12.2","SALEM B, MA US","","","3",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","","","18861031",",,6","","","","","","","73.7",",,6,31,","","","","","","","76.3",",,,6","","","","","","","",""
"USC00197122","1886-11","42.516667","-70.9","12.2","SALEM B, MA US","","","6",",6","6",",6","1",",6","0",",6","","","","","","","","","","","","","18861113",",,6","","","18861113",",,6","","","","","20",",,6,13,","30.7",",,6,13,","","","","","","","97.8",",,,6","20",",,,6","","","","","",""
"USC00197122","1886-12","42.516667","-70.9","12.2","SALEM B, MA US","","","9","2,6","9","2,6","3","2,6","5",",6","","","","","","","","","","","","","18861205",",,6","","","18861225",",2,6","","","","","229",",,6,05,","30.2","2,,6,25,","","","","","","","143.3","2,,,6","749",",,,6","","","","","",""
"USC00197122","1887-01","42.516667","-70.9","12.2","SALEM B, MA US","","","10",",6","7",",6","2",",6","4",",6","","","","","","","","","","","","","18870114",",,6","","","18870114",",,6","","","","","127",",,6,14,","37.1",",,6,14,","","","","","","","143.5",",,,6","427",",,,6","","","","","",""
"USC00197122","1887-02","42.516667","-70.9","12.2","SALEM B, MA US","","","9","1,6","6","1,6","1","1,6","6",",6","","","","","","","","","","","","","18870226","+,,6","1","","18870218",",1,6","","","","","152",",,6,26,+","34.5","1,,6,18,","","","","","","","114.2","1,,,6","430",",,,6","","","","","",""
"USC00197122","1887-03","42.516667","-70.9","12.2","SALEM B, MA US","","","5",",6","5",",6","4",",6","3",",6","","","","","","","","","","","","","18870306",",,6","","","18870328",",,6","","","","","229",",,6,06,","38.4",",,6,28,","","","","","","","138.6",",,,6","382",",,,6","","","","","",""
"USC00197122","1887-04","42.516667","-70.9","12.2","SALEM B, MA US","","","6",",6","6",",6","2",",6","2",",6","","","","","","","","","","","","","18870402",",,6","","","18870429",",,6","","","","","229",",,6,02,","34.3",",,6,29,","","","","","","","113.5",",,,6","394",",,,6","","","","","",""
