"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00363706","1890-11","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","7",",6","3",",6","0",",6","","","0",",6","2","","","","18901104",",,6","18901111",",,6","","","0",",T,6,04,","11.7",",,6,11,","25.7",",,,6","0",",T,,6","319",",,,6"
"USC00363706","1890-12","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","9",",6","4",",6","0",",6","","","0",",6","1","","","","18901226",",,6","18901226",",,6","","","20",",,6,26,","16.3",",,6,26,","31.4",",,,6","38",",,,6","439",",,,6"
"USC00363706","1891-01","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","429",",,,6"
"USC00363706","1891-02","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387",",,,6"
"USC00363706","1891-03","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","1",",6","1","","","","18910327",",,6","","","","","25",",,6,27,","","","","","56",",,,6","430",",,,6"
"USC00363706","1891-04","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","6",",6","2",",6","0",",6","","","","","","","","","","","18910411",",,6","","","","","11.4",",,6,11,","18.3",",,,6","","","370",",,,6"
"USC00363706","1891-05","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","333",",,,6"
"USC00363706","1891-06","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257",",,,6"
"USC00363706","1891-07","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","8",",6","6",",6","1",",6","","","","","","","","","","","18910702",",,6","","","","","34.5",",,6,02,","101.1",",,,6","","","300",",,,6"
"USC00363706","1891-08","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","8",",6","6",",6","1",",6","","","","","","","","","","","18910805",",,6","","","","","29.2",",,6,05,","87.4",",,,6","","","205",",,,6"
"USC00363706","1891-09","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","229",",,,6"
"USC00363706","1891-10","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287",",,,6"
"USC00363706","1891-11","40.2548","-76.8861","88.4","HARRISBURG RIVER GAGE, PA US","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","276",",,,6"
