"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093057","1997-11","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","","","0.0","2,M","","","","","","","0","2,M","27","2,M","0","2,M","0","2,M","0","2,M","19971123",",2,M","","","19971104",",2,M","-10.6","2,M,23,","","","20.6","2,M,04,","","","420.7","2,M","","","3.31","2,M","12.60","2,,,M","-5.98","2,,,M","","","","","","","","","",""
"USW00093057","1997-12","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","","","0.0",",M","","","","","","","4",",M","31",",M","7",",M","0",",M","0",",M","19971227",",,M","","","19971218",",,M","-25.6",",M,27,","","","12.8",",M,18,","","","679.3",",M","","","-3.58",",M","4.28",",,,M","-11.44",",,,M","","","","","","","","","",""
"USW00093057","1998-01","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","0.0","W","0.0",",M","","","","","","","0",",M","31",",M","0",",M","0",",M","0",",M","19980109","+,,M","","","19980128",",,M","-12.2",",M,09,+","","","14.4",",M,28,","","","553.8",",M","","","0.47",",M","8.34",",,,M","-7.40",",,,M","","","","","","","","","",""
"USW00093057","1998-02","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","0.0","W","0.0",",M","","","","","","","0",",M","28",",M","0",",M","0",",M","0",",M","19980228",",,M","","","19980224",",,M","-11.7",",M,28,","","","16.7",",M,24,","","","497.2",",M","","","0.58",",M","7.69",",,,M","-6.54",",,,M","","","","","","","","","",""
"USW00093057","1998-03","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","","","0.0","W","0.0",",M","","","","","","","0",",M","27",",M","0",",M","4",",M","0",",M","19980302","+,,M","","","19980324",",,M","-12.8",",M,02,+","","","23.3",",M,24,","","","446.6",",M","","","3.93",",M","12.69",",,,M","-4.84",",,,M","","","","","","","","","",""
"USW00093057","1998-04","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","4.2",",W","0.0","W","0.0",",W","4",",W","2",",W","0",",W","0",",W","26",",W","0",",W","6",",W","0",",W","19980417",",,W","19980428",",,W","19980423",",,W","-10.6",",W,17,","5.6",",,W,28,","24.4",",W,23,","","","373.2",",W","10.5",",,,W","5.89",",W","15.79",",,,W","-4.01",",,,W","","","260",",W","300",",W","16.5",",W","20.1",",W"
"USW00093057","1998-05","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","4.0","2,W","0.0","W","0.0","2,W","1","1,W","0","1,W","0","1,W","0","2,W","13","2,W","0","2,W","23","2,W","0","2,W","19980516",",2,W","19980525",",1,W","19980531","+,2,W","-4.4","2,W,16,","1.3","1,,W,25,","29.4","2,W,31,+","","","184.3","2,W","1.3","1,,,W","11.98","2,W","23.35","2,,,W","0.60","2,,,W","","","260","2,W","220",",W","16.1","2,W","19.7",",W"
"USW00093057","1998-06","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","4.4",",W","16.0","W","16.0","1,W","0",",W","0",",W","0",",W","0","1,W","5","1,W","0","1,W","28","1,W","5","1,W","19980606",",1,W","19980630","+,,W","19980629",",1,W","-1.7","1,W,06,","0.0",",,W,30,+","37.2","1,W,29,","","","81.9","1,W","0.0",",,,W","16.06","1,W","28.11","1,,,W","4.02","1,,,W","","","210",",W","200",",W","17.0",",W","23.7",",W"
"USW00093057","1998-07","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","3.7",",W","108.0","W","92.0",",W","13",",W","4",",W","0",",W","0",",W","0",",W","0",",W","30",",W","12",",W","19980718","+,,W","19980707",",,W","19980719",",,W","8.3",",W,18,+","9.7",",,W,07,","35.6",",W,19,","2.5","W","2.5",",W","35.2",",,,W","21.22",",W","29.92",",,,W","12.52",",,,W","","","140",",W","100",",W","16.5",",W","20.6",",W"
"USW00093057","1998-08","35.16528","-107.90222","1987.3","GRANTS MILAN MUNICIPAL AIRPORT, NM US","3.1",",W","177.3","W","69.3",",W","16",",W","3",",W","0",",W","0",",W","0",",W","0",",W","31",",W","5",",W","19980813","+,,W","19980813",",,W","19980807",",,W","7.8",",W,13,+","14.2",",,W,13,","33.9",",W,07,","2.5","W","0.0",",W","40.3",",,,W","20.57",",W","30.07",",,,W","11.06",",,,W","","","10",",W","10",",W","13.4",",W","17.0",",W"
