"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00235572","1893-01","37.6167","-90.2833",,"MINE LA MOTTE, MO US","0.0","6","0.0","5,6","2","3,6","0","3,6","0","3,6","","","2","3,6","28","3,6","9","2,6","0","2,6","0","2,6","18930115",",3,6","","","","","18930118",",3,6","18930128",",2,6","-20.0","3,6,15,","","","1.5","3,,6,18,","16.1","2,6,28,","","","534.2","2,6","2.8","3,,,6","","","-2.01","5,6","4.21","2,,,6","-8.23","3,,,6"
"USC00235572","1893-02","37.6167","-90.2833",,"MINE LA MOTTE, MO US","0.0","6","0.0","1,6","","","","","","","","","0",",6","25",",6","3","1,6","0","1,6","0","1,6","18930207",",,6","","","","","","","18930219",",1,6","-16.7",",6,07,","","","","","18.3","1,6,19,","","","458.2","1,6","","","","","1.22","1,6","7.17","1,,,6","-4.73",",,,6"
"USC00235572","1893-03","37.6167","-90.2833",,"MINE LA MOTTE, MO US","0.8","6","0.8","4,6","5","1,6","3","1,6","2","1,6","1",",6","0","2,6","16","2,6","2","2,6","5","2,6","0","2,6","18930305",",2,6","18930303",",,6","2","","18930308",",1,6","18930322",",2,6","-15.0","2,6,05,","76",",,6,03,","41.1","1,,6,08,","27.2","2,6,22,","","","302.5","2,6","84.1","1,,,6","96",",,,6","7.33","4,6","13.85","2,,,6","0.81","2,,,6"
"USC00235572","1893-04","37.6167","-90.2833",,"MINE LA MOTTE, MO US","","","","","","","","","","","1",",6","0","3,6","2","3,6","0","3,6","17","3,6","0","3,6","18930415",",3,6","18930414",",,6","11","","","","18930406",",3,6","-1.7","3,6,15,","25",",,6,14,","","","30.0","3,6,06,","","","","","","","25",",,,6","15.55","6,6","21.76","3,,,6","9.34","3,,,6"
"USC00235572","1893-05","37.6167","-90.2833",,"MINE LA MOTTE, MO US","","","31.3","2,6","","","","","","","","","0","1,6","0","1,6","0","1,6","19","1,6","0","1,6","18930518","+,1,6","","","","","","","18930520",",1,6","6.7","1,6,18,+","","","","","30.0","1,6,20,","","","54.5","1,6","","","","","17.60","2,6","22.81","1,,,6","12.39","1,,,6"
"USC00235572","1893-06","37.6167","-90.2833",,"MINE LA MOTTE, MO US","","","113.2",",6","13",",6","13",",6","1",",6","","","0",",6","0",",6","0",",6","30",",6","0",",6","18930607",",,6","","","10","","18930604",",,6","18930612","+,,6","11.1",",6,07,","","","33.5",",,6,04,","30.0",",6,12,+","","","1.1",",6","141.5",",,,6","","","22.07",",6","26.72",",,,6","17.42",",,,6"
"USC00235572","1893-07","37.6167","-90.2833",,"MINE LA MOTTE, MO US","","","191.0",",6","","","","","","","","","0",",6","0",",6","0",",6","31",",6","1",",6","18930704",",,6","","","9","","","","18930728",",,6","15.0",",6,04,","","","","","32.8",",6,28,","0.0","6","0.0",",6","","","","","24.50",",6","28.77",",,,6","20.22",",,,6"
"USC00235572","1893-08","37.6167","-90.2833",,"MINE LA MOTTE, MO US","","","141.4",",6","3",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","3",",6","18930831",",,6","","","1","","18930825",",,6","18930809",",,6","10.0",",6,31,","","","8.4",",,6,25,","32.8",",6,09,","0.0","6","0.0",",6","19.1",",,,6","","","22.90",",6","29.21",",,,6","16.58",",,,6"
"USC00235572","1893-09","37.6167","-90.2833",,"MINE LA MOTTE, MO US","","","114.2","2,6","8",",6","6",",6","1",",6","","","0","1,6","0","1,6","0","1,6","25","1,6","8","1,6","18930926",",1,6","","","3","","18930930",",,6","18930914",",1,6","2.2","1,6,26,","","","47.5",",,6,30,","35.6","1,6,14,","22.0","6","22.0","1,6","102.1",",,,6","","","21.41","2,6","27.41","1,,,6","15.41","1,,,6"
"USC00235572","1893-10","37.6167","-90.2833",,"MINE LA MOTTE, MO US","","","10.6","5,6","5",",6","3",",6","0",",6","","","0","2,6","3","2,6","0","3,6","11","3,6","0","3,6","18931030",",2,6","","","2","","18931002",",,6","18931009",",3,6","-1.7","2,6,30,","","","14.2",",,6,02,","28.3","3,6,09,","177.3","6","155.3","3,6","37.9",",,,6","","","13.11","5,6","19.66","3,,,6","6.57","2,,,6"
