"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00381726","1952-09","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","","","141.9",",0","5",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","19520927","+,,0","19520930","+,,0","19520930","+,,0","19520919",",,0","19520903","+,,0","12.8",",0,27,+","0",",,0,30,+","0",",,0,30,+","19.3",",,0,19,","33.9",",0,03,+","137.3","2,,,0","","","0.0",",0","","","","","33.5",",,,0","0",",,,0","23.06",",0","29.08",",,,0","17.04",",,,0","2389",",,,0"
"USC00381726","1952-10","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","","","28.6",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","24",",0","1",",0","","","19521030",",,0","19521031","+,,0","19521031","+,,0","19521009",",,0","19521002",",,0","-3.9",",0,30,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,09,","32.2",",0,02,","107.3",",,,0","","","101.1",",0","","","","","29.3",",,,0","0",",,,0","16.00",",0","23.68",",,,0","8.31",",,,0","1881",",,,0"
"USC00381726","1952-11","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","","","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","13",",0","0",",0","","","19521108",",,0","19521130","+,,0","19521130","+,,0","19521111",",,0","19521104",",,0","-1.1",",0,08,","0",",,0,30,+","0",",,0,30,+","4.6",",,0,11,","27.2",",0,04,","66.7","2,,,0","","","183.0",",0","","","","","12.0",",,,0","0",",,,0","12.23",",0","19.65",",,,0","4.81",",,,0","1841","2,,,0"
"USC00381726","1952-12","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","","","0.0","3,0","8",",0","7",",0","1",",0","0",",0","0",",0","0","3,0","13","3,0","0","2,0","2","2,0","0","2,0","","","19521230",",3,0","19521231","+,,0","19521231","+,,0","19521231",",,0","19521210",",2,0","-5.0","3,0,30,","0",",,0,31,+","0",",,0,31,+","47.5",",,0,31,","24.4","2,0,10,","57.0","5,,,0","","","317.0","2,0","","","","","93.5",",,,0","0",",,,0","7.16","3,0","13.10","2,,,0","1.23","3,,,0","1951","3,,,0"
"USC00381726","1953-01","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","0.0","0","0.0",",0","10",",0","8",",0","1",",0","0",",0","0",",0","0",",0","9",",0","0",",0","3",",0","0",",0","","","19530113",",,0","19530131","+,,0","19530131","+,,0","19530124",",,0","19530118",",,0","-3.9",",0,13,","0",",,0,31,+","0",",,0,31,+","26.4",",,0,24,","22.2",",0,18,","66.5","3,,,0","","","271.9",",0","","","","","81.2",",,,0","0",",,,0","9.56",",0","16.10",",,,0","3.03",",,,0","3199",",,,0"
"USC00381726","1953-02","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","0.0","0","0.0",",0","14",",0","10",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","3",",0","0",",0","","","19530218",",,0","19530228","+,,0","19530228","+,,0","19530215",",,0","19530221",",,0","-4.4",",0,18,","0",",,0,28,+","0",",,0,28,+","55.9",",,0,15,","23.3",",0,21,","","","","","242.5",",0","","","","","156.3",",,,0","0",",,,0","9.67",",0","15.76",",,,0","3.58",",,,0","2505",",,,0"
"USC00381726","1953-03","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","2.5","0","2.5","1,0","12",",0","9",",0","0",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","13",",0","0",",0","","","19530327",",1,0","19530331","+,,0","19530331","+,,0","19530311",",,0","19530315",",,0","-1.1","1,0,27,","0",",,0,31,+","0",",,0,31,+","19.1",",,0,11,","28.3",",0,15,","102.1","4,,,0","","","163.6",",0","","","","","88.6",",,,0","0",",,,0","12.95","1,0","19.66",",,,0","6.24","1,,,0","2735",",,,0"
"USC00381726","1953-04","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","26.1","0","23.6",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","23",",0","0",",0","","","19530421",",,0","19530430","+,,0","19530430","+,,0","19530411",",,0","19530410",",,0","-1.1",",0,21,","0",",,0,30,+","0",",,0,30,+","18.8",",,0,11,","31.1",",0,10,","176.2",",,,0","","","68.7",",0","","","","","59.0",",,,0","0",",,,0","16.83",",0","24.15",",,,0","9.52",",,,0","3357",",,,0"
"USC00381726","1953-05","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","208.7","0","182.6",",0","9",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","","","19530509",",,0","19530531","+,,0","19530531","+,,0","19530501",",,0","19530527","+,,0","11.1",",0,09,","0",",,0,31,+","0",",,0,31,+","58.4",",,0,01,","36.1",",0,27,+","206.6",",,,0","","","0.8",",0","","","","","176.1",",,,0","0",",,,0","24.20",",0","30.72",",,,0","17.67",",,,0","2083",",,,0"
"USC00381726","1953-06","33.6634","-82.1897","121.9","CLARKS HILL 1 W, SC US","433.7","0","225.0",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","22",",0","","","19530603",",,0","19530630","+,,0","19530630","+,,0","19530622",",,0","19530611",",,0","12.8",",0,03,","0",",,0,30,+","0",",,0,30,+","70.4",",,0,22,","37.2",",0,11,","241.3",",,,0","","","0.0",",0","","","","","151.3",",,,0","0",",,,0","25.83",",0","32.38",",,,0","19.28",",,,0","1864","3,,,0"
