"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GME00129710","1882-02","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820228","+,,E","","","","","0",",,E,28,+","","","","","","","","","","","",""
"GME00129710","1882-03","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820331","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1882-04","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820430","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1882-05","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820531","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1882-06","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820630","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1882-07","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820731","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1882-08","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820831","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1882-09","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18820930","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1882-10","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18821031","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1882-11","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18821130","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1882-12","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18821231","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1883-01","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830131","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1883-02","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830228","+,,E","","","","","0",",,E,28,+","","","","","","","","","","","",""
"GME00129710","1883-03","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830331","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1883-04","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830430","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1883-05","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830531","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1883-06","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830630","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1883-07","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830731","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1883-08","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830831","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1883-09","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18830930","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1883-10","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18831031","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1883-11","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18831130","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1883-12","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18831231","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1884-01","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840131","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1884-02","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840229","+,,E","","","","","0",",,E,29,+","","","","","","","","","","","",""
"GME00129710","1884-03","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840331","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1884-04","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840430","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1884-05","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840531","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1884-06","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840630","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1884-07","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840731","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1884-08","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840831","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1884-09","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18840930","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1884-10","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18841031","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1884-11","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18841130","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1884-12","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18841231","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1885-01","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850131","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1885-02","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850228","+,,E","","","","","0",",,E,28,+","","","","","","","","","","","",""
"GME00129710","1885-03","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850331","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1885-04","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850430","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1885-05","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850531","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1885-06","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850630","+,,E","","","","","0",",,E,30,+","","","","","","","","","","","",""
"GME00129710","1885-07","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850731","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
"GME00129710","1885-08","50.675","11.2817","254.0","BAD BLANKENBURG, GM","","","","","0",",","","","","","","","","","","","","","18850831","+,,E","","","","","0",",,E,31,+","","","","","","","","","","","",""
