"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00362013","1940-05","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00362013","1940-12","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","14",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19401228",",,6","","","","","","","","","22.6",",,6,28,","","","","","67.3",",,,6","","","","","","","","","","","",""
"USC00362013","1941-01","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","6",",6","1",",6","","","5","1,6","","","","","","","","","","","","","","","","","19410125",",1,6","","","19410125",",,6","","","","","","","254","1,,6,25,","26.7",",,6,25,","","","","","83.1",",,,6","556","1,,,6","","","","","","","","","",""
"USC00362013","1941-02","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","6",",6","2",",6","0",",6","25","3,6","1",",6","","","","","","","","","","","1","","","","19410201",",3,6","19410218",",,6","","","19410208",",,6","","","","","330","3,,6,01,","25",",,6,18,","7.6",",,6,08,","","","","","18.3",",,,6","38",",,,6","","","","","","","","","",""
"USC00362013","1941-03","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","4",",6","0",",6","","","4",",6","","","","","","","","","","","","","","","","","19410308",",,6","","","19410308",",,6","","","","","","","254",",,6,08,","15.5",",,6,08,","","","","","51.3",",,,6","449",",,,6","","","","","","","","","",""
"USC00362013","1941-04","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","7",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19410430","+,,6","","","19410406",",,6","","","","","","","0",",,6,30,+","33.3",",,6,06,","","","","","58.7",",,,6","0",",,,6","","","","","","","","","",""
"USC00362013","1941-05","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19410508",",,6","","","","","","","","","22.1",",,6,08,","","","","","36.6",",,,6","","","","","","","","","","","",""
"USC00362013","1941-06","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19410605",",,6","","","","","","","","","28.2",",,6,05,","","","","","96.6",",,,6","","","","","","","","","","","",""
"USC00362013","1941-07","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","10",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19410704",",,6","","","","","","","","","20.3",",,6,04,","","","","","56.5",",,,6","","","","","","","","","","","",""
"USC00362013","1941-08","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00362013","1941-09","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","5",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19410901",",,6","","","","","","","","","24.9",",,6,01,","","","","","32.5",",,,6","","","","","","","","","","","",""
"USC00362013","1941-10","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","7",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19411031","+,,6","","","19411004",",,6","","","","","","","0",",,6,31,+","8.9",",,6,04,","","","","","42.2",",,,6","0",",,,6","","","","","","","","","",""
"USC00362013","1941-11","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","6",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","1","","","","","","19411130","+,,6","","","19411107",",,6","","","","","","","0",",,6,30,+","25.7",",,6,07,","","","","","74.8",",,,6","0",",,,6","","","","","","","","","",""
"USC00362013","1941-12","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","8",",6","5",",6","2",",6","","","","","","","","","","","","","","","1","","","","","","","","","","19411214",",,6","","","","","","","","","37.6",",,6,14,","","","","","94.9",",,,6","","","","","","","","","","","",""
"USC00362013","1942-01","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","8",",6","3",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","19420104",",,6","","","19420104",",,6","","","","","","","216",",,6,04,","17.8",",,6,04,","","","","","34.9",",,,6","216",",,,6","","","","","","","","","",""
"USC00362013","1942-02","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","6",",6","0",",6","","","2",",6","","","","","","","","","","","1","","","","","","19420205",",,6","","","19420207",",,6","","","","","","","165",",,6,05,","22.9",",,6,07,","","","","","75.2",",,,6","221",",,,6","","","","","","","","","",""
"USC00362013","1942-04","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","5",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","19420409",",,6","","","19420410",",,6","","","","","","","64",",,6,09,","24.1",",,6,10,","","","","","53.3",",,,6","64",",,,6","","","","","","","","","",""
"USC00362013","1942-05","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","","","","","","","","","0",",6","","","","","","","","","","","3","","","","","","19420531","+,,6","","","","","","","","","","","0",",,6,31,+","","","","","","","","","0",",,,6","","","","","","","","","",""
"USC00362013","1942-06","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","11",",6","9",",6","0",",6","","","","","","","","","","","","","","","1","","","","","","","","","","19420608",",,6","","","","","","","","","24.1",",,6,08,","","","","","76.2",",,,6","","","","","","","","","","","",""
"USC00362013","1942-07","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","10",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","19420718",",,6","","","","","","","","","49.0",",,6,18,","","","","","165.3",",,,6","","","","","","","","","","","",""
"USC00362013","1942-08","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","9",",6","0",",6","","","","","","","","","","","","","","","5","","","","","","","","","","19420809",",,6","","","","","","","","","17.5",",,6,09,","","","","","80.1",",,,6","","","","","","","","","","","",""
"USC00362013","1942-09","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","3","","","","","","","","","","19420927",",,6","","","","","","","","","37.8",",,6,27,","","","","","87.8",",,,6","","","","","","","","","","","",""
"USC00362013","1942-10","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","8",",6","1",",6","","","","","","","","","","","","","","","2","","","","","","","","","","19421027",",,6","","","","","","","","","27.9",",,6,27,","","","","","89.9",",,,6","","","","","","","","","","","",""
"USC00362013","1942-11","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","7",",6","1",",6","","","","","","","","","","","","","","","1","","","","","","","","","","19421125",",,6","","","","","","","","","25.4",",,6,25,","","","","","78.7",",,,6","","","","","","","","","","","",""
"USC00362013","1942-12","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","11",",6","8",",6","1",",6","","","4",",6","","","","","","","","","","","1","","","","","","19421218",",,6","","","19421230",",,6","","","","","","","127",",,6,18,","46.2",",,6,30,","","","","","129.3",",,,6","266",",,,6","","","","","","","","","",""
"USC00362013","1943-01","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","14","1,6","6","1,6","0","1,6","","","3",",6","","","","","","","","","","","","","","","","","19430129",",,6","","","19430129","+,1,6","","","","","","","178",",,6,29,","17.8","1,,6,29,+","","","","","60.3","1,,,6","327",",,,6","","","","","","","","","",""
"USC00362013","1943-02","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","6",",6","0",",6","20","5,6","1",",6","","","","","","","","","","","2","","","","19430201",",5,6","19430227",",,6","","","19430227",",,6","","","","","229","5,,6,01,","198",",,6,27,","13.5",",,6,27,","","","","","43.5",",,,6","226",",,,6","","","","","","","","","",""
"USC00362013","1943-03","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","6",",6","0",",6","","","1",",6","","","","","","","","","","","1","","","","","","19430306",",,6","","","19430317",",,6","","","","","","","38",",,6,06,","22.1",",,6,17,","","","","","71.2",",,,6","81",",,,6","","","","","","","","","",""
"USC00362013","1943-04","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","12",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19430420",",,6","","","","","","","","","21.8",",,6,20,","","","","","85.6",",,,6","","","","","","","","","","","",""
"USC00362013","1943-05","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","17",",6","14",",6","2",",6","","","","","","","","","","","","","","","1","","","","","","","","","","19430520",",,6","","","","","","","","","37.3",",,6,20,","","","","","183.3",",,,6","","","","","","","","","","","",""
"USC00362013","1943-06","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","15",",6","11",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19430630",",,6","","","","","","","","","14.0",",,6,30,","","","","","92.4",",,,6","","","","","","","","","","","",""
"USC00362013","1943-07","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","13","1,6","7","1,6","1","1,6","","","","","","","","","","","","","","","3","","","","","","","","","","19430705",",1,6","","","","","","","","","26.7","1,,6,05,","","","","","119.6","1,,,6","","","","","","","","","","","",""
"USC00362013","1943-08","40.9591","-76.6176","145.7","DANVILLE, PA US","","","","","9",",6","4",",6","1",",6","","","","","","","","","","","","","","","12","","","","","","","","","","19430814",",,6","","","","","","","","","38.1",",,6,14,","","","","","87.5",",,,6","","","","","","","","","","","",""
