"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FMC00914665","1956-01","6.93333","158.31667","24.1","OA, FM FM","","","","","19",",0","14",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","19560131","+,,0","19560131","+,,0","","","19560121",",,0","","","","","0",",,0,31,+","0",",,0,31,+","116.3",",,0,21,","","","","","","","378.7",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-02","6.93333","158.31667","24.1","OA, FM FM","","","","","21",",0","12",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","19560229","+,,0","19560229","+,,0","","","19560206",",,0","","","","","0",",,0,29,+","0",",,0,29,+","21.1",",,0,06,","","","","","","","99.5",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-03","6.93333","158.31667","24.1","OA, FM FM","","","","","23",",0","17",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","19560331","+,,0","19560331","+,,0","","","19560330",",,0","","","","","0",",,0,31,+","0",",,0,31,+","129.0",",,0,30,","","","","","","","367.1",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-04","6.93333","158.31667","24.1","OA, FM FM","","","","","29",",0","24",",0","7",",0","0",",0","0",",0","","","","","","","","","","","","","19560430","+,,0","19560430","+,,0","","","19560409",",,0","","","","","0",",,0,30,+","0",",,0,30,+","86.4",",,0,09,","","","","","","","458.2",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-05","6.93333","158.31667","24.1","OA, FM FM","","","","","26",",0","22",",0","6",",0","0",",0","0",",0","","","","","","","","","","","","","19560531","+,,0","19560531","+,,0","","","19560525",",,0","","","","","0",",,0,31,+","0",",,0,31,+","50.8",",,0,25,","","","","","","","399.0",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-06","6.93333","158.31667","24.1","OA, FM FM","","","","","29",",0","22",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","19560630","+,,0","19560630","+,,0","","","19560607",",,0","","","","","0",",,0,30,+","0",",,0,30,+","56.6",",,0,07,","","","","","","","304.3",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-07","6.93333","158.31667","24.1","OA, FM FM","","","","","26",",0","15",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","19560731","+,,0","19560731","+,,0","","","19560706",",,0","","","","","0",",,0,31,+","0",",,0,31,+","30.2",",,0,06,","","","","","","","158.9",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-09","6.93333","158.31667","24.1","OA, FM FM","","","","","27",",0","21",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","19560930","+,,0","19560930","+,,0","","","19560921",",,0","","","","","0",",,0,30,+","0",",,0,30,+","46.5",",,0,21,","","","","","","","303.1",",,,0","0",",,,0","","","","","",""
"FMC00914665","1956-10","6.93333","158.31667","24.1","OA, FM FM","","","283.7",",0","27",",0","21",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","15",",0","19561029",",,0","19561031","+,,0","19561031","+,,0","","","19561013",",,0","19561027","+,,0","20.0",",0,29,","0",",,0,31,+","0",",,0,31,+","77.7",",,0,13,","33.3",",0,27,+","","","0.0",",0","378.0",",,,0","0",",,,0","27.49",",0","31.56",",,,0","23.41",",,,0"
"FMC00914665","1956-11","6.93333","158.31667","24.1","OA, FM FM","","","290.2",",0","29",",0","20",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","19561126",",,0","19561130","+,,0","19561130","+,,0","","","19561124",",,0","19561113","+,,0","21.7",",0,26,","0",",,0,30,+","0",",,0,30,+","80.3",",,0,24,","33.9",",0,13,+","","","0.0",",0","467.0",",,,0","0",",,,0","28.01",",0","31.93",",,,0","24.08",",,,0"
