"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00205667","1910-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205667","1911-02","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","19110214",",,6","","","","","","","23.4",",,6,14,","","","56.4",",,,6","","","",""
"USC00205667","1911-03","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","9",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","19110322",",,6","","","","","","","18.8",",,6,22,","","","38.3",",,,6","","","",""
"USC00205667","1911-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","12",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","19110430",",,6","","","","","","","36.1",",,6,30,","","","99.1",",,,6","","","",""
"USC00205667","1912-02","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","","","","","","","29",",","","","","","","","","","","","19120229","+,,6","","","","","","","203",",,6,29,+","","","","","","","","","","","",""
"USC00205667","1912-03","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","19120321","+,,6","","","","","","","7.6",",,6,21,+","","","23.1",",,,6","","","",""
"USC00205667","1912-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","11",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","19120412",",,6","","","","","","","15.7",",,6,12,","","","67.7",",,,6","","","",""
"USC00205667","1913-03","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","13",",6","7",",6","0",",6","","","","","","","","","","","1","","","","","","19130324",",,6","","","","","","","20.3",",,6,24,","","","63.0",",,,6","","","",""
"USC00205667","1913-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205667","1913-05","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","9",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","19130515",",,6","","","","","","","18.8",",,6,15,","","","49.2",",,,6","","","",""
"USC00205667","1914-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"USC00205667","1914-05","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","10",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","19140525",",,6","","","","","","","29.7",",,6,25,","","","75.1",",,,6","","","",""
"USC00205667","1915-03","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","6",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","19150306",",,6","","","","","","","10.2",",,6,06,","","","19.4",",,,6","","","",""
"USC00205667","1915-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","19150412",",,6","","","","","","","18.3",",,6,12,","","","39.9",",,,6","","","",""
"USC00205667","1915-05","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","13",",6","8",",6","0",",6","","","","","","","","","","","1","","","","","","19150521",",,6","","","","","","","11.4",",,6,21,","","","59.3",",,,6","","","",""
"USC00205667","1916-03","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","14",",6","6",",6","1",",6","","","","","","","","","","","2","","","","","","19160327",",,6","","","","","","","31.0",",,6,27,","","","70.2",",,,6","","","",""
"USC00205667","1916-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","15",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","19160421",",,6","","","","","","","25.9",",,6,21,","","","62.4",",,,6","","","",""
"USC00205667","1916-05","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","18",",6","11",",6","1",",6","","","","","","","","","","","","","","","","","19160510",",,6","","","","","","","34.3",",,6,10,","","","149.7",",,,6","","","",""
"USC00205667","1917-03","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","11",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","19170314",",,6","","","","","","","13.0",",,6,14,","","","42.6",",,,6","","","",""
"USC00205667","1917-04","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","10",",6","9",",6","0",",6","","","","","","","","","","","1","","","","","","19170405",",,6","","","","","","","23.4",",,6,05,","","","78.2",",,,6","","","",""
"USC00205667","1917-05","43.58333","-84.81667","235.0","MOUNT PLEASANT, MI US","10",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","19170522",",,6","","","","","","","32.3",",,6,22,","","","106.0",",,,6","","","",""
