"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00360147","1982-07","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1982-08","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","45.4","2,6","12",",6","7",",6","1",",6","0","2,6","0","2,6","0",",6","27",",6","0",",6","22","","19820829",",2,6","19820818",",,6","19820806",",,6","3.3","2,6,29,","40.4",",,6,18,","31.1",",6,06,","","","38.6",",6","86.4",",,,6","18.65","2,6","25.58",",,,6","11.73","2,,,6"
"USC00360147","1982-09","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","24.7",",6","9",",6","5",",6","0",",6","0",",6","0",",6","0",",6","21",",6","0",",6","22","","19820920","+,,6","19820927",",,6","19820914",",,6","3.3",",6,20,+","19.8",",,6,27,","30.0",",6,14,","","","75.3",",6","63.0",",,,6","16.65",",6","22.74",",,,6","10.55",",,,6"
"USC00360147","1982-10","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","0.3","2,6","8",",6","4",",6","0",",6","0","2,6","9","2,6","0",",6","13",",6","0",",6","16","","19821024",",2,6","19821008",",,6","19821004","+,,6","-3.9","2,6,24,","14.0",",,6,08,","26.7",",6,04,+","","","223.2",",6","42.0",",,,6","10.75","2,6","17.54",",,,6","3.96","2,,,6"
"USC00360147","1982-11","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1982-12","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-01","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-02","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-03","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-04","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-05","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-06","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-07","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","",""
"USC00360147","1983-08","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","9","5,6","5","5,6","1","5,6","","","","","","","","","","","16","","","","19830802",",5,6","","","","","35.1","5,,6,02,","","","","","","","97.4","5,,,6","","","","","",""
"USC00360147","1983-09","41.35789","-77.92644","283.5","ALVIN R BUSH DAM, PA US","","","","","","","","","","","","","","","","","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","",""
