"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AM000037699","1936-05","40.533","44.383","1892.0","APARAN, AM","","","23","1,I","14","1,I","0","1,I","","","","","","","","","","","","","19360526",",1,I","","","","","16.8","1,,I,26,","","","","","","","140.3","1,,,I","","","","","",""
"AM000037699","1936-06","40.533","44.383","1892.0","APARAN, AM","","","16",",I","8",",I","0",",I","","","","","","","","","","","","","19360604",",,I","","","","","15.5",",,I,04,","","","","","","","69.5",",,,I","","","","","",""
"AM000037699","1936-07","40.533","44.383","1892.0","APARAN, AM","","","12","1,I","9","1,I","1","1,I","","","","","","","","","","","","","19360717",",1,I","","","","","37.1","1,,I,17,","","","","","","","130.7","1,,,I","","","","","",""
"AM000037699","1936-08","40.533","44.383","1892.0","APARAN, AM","","","4",",I","2",",I","0",",I","","","","","","","","","","","","","19360802",",,I","","","","","10.6",",,I,02,","","","","","","","18.5",",,,I","","","","","",""
"AM000037699","1936-09","40.533","44.383","1892.0","APARAN, AM","","","5",",I","4",",I","0",",I","","","","","","","","","","","","","19360917",",,I","","","","","19.1",",,I,17,","","","","","","","37.1",",,,I","","","","","",""
"AM000037699","1936-10","40.533","44.383","1892.0","APARAN, AM","","","10",",I","8",",I","0",",I","","","","","","","","","","","","","19361024",",,I","","","","","12.0",",,I,24,","","","","","","","56.9",",,,I","","","","","",""
"AM000037699","1936-11","40.533","44.383","1892.0","APARAN, AM","","","9","2,I","9","2,I","1","2,I","","","","","","","","","","","","","19361123",",2,I","","","","","47.5","2,,I,23,","","","","","","","141.7","2,,,I","","","","","",""
"AM000037699","1937-01","40.533","44.383","1892.0","APARAN, AM","","","10","1,I","0","1,I","0","1,I","","","","","","","","","","","","","19370122",",1,I","","","","","2.4","1,,I,22,","","","","","","","10.5","1,,,I","","","","","",""
"AM000037699","1937-02","40.533","44.383","1892.0","APARAN, AM","","","2","3,I","0","3,I","0","3,I","","","","","","","","","","","","","19370225",",3,I","","","","","0.8","3,,I,25,","","","","","","","1.1","3,,,I","","","","","",""
"AM000037699","1937-03","40.533","44.383","1892.0","APARAN, AM","","","7","3,I","3","3,I","0","3,I","","","","","","","","","","","","","19370313",",3,I","","","","","7.0","3,,I,13,","","","","","","","21.6","3,,,I","","","","","",""
"AM000037699","1937-04","40.533","44.383","1892.0","APARAN, AM","","","9","2,I","6","2,I","0","2,I","","","","","","","","","","","","","19370410",",2,I","","","","","20.0","2,,I,10,","","","","","","","81.2","2,,,I","","","","","",""
"AM000037699","1937-05","40.533","44.383","1892.0","APARAN, AM","","","22","1,I","19","1,I","0","1,I","","","","","","","","","","","","","19370513",",1,I","","","","","19.6","1,,I,13,","","","","","","","147.1","1,,,I","","","","","",""
"AM000037699","1937-06","40.533","44.383","1892.0","APARAN, AM","","","11","5,I","8","5,I","1","5,I","","","","","","","","","","","","","19370623",",5,I","","","","","27.1","5,,I,23,","","","","","","","97.7","5,,,I","","","","","",""
"AM000037699","1937-09","40.533","44.383","1892.0","APARAN, AM","","","2",",I","1",",I","0",",I","","","","","","","","","","","","","19370925",",,I","","","","","11.8",",,I,25,","","","","","","","13.3",",,,I","","","","","",""
"AM000037699","1937-10","40.533","44.383","1892.0","APARAN, AM","","","8",",I","7",",I","0",",I","","","","","","","","","","","","","19371031",",,I","","","","","9.0",",,I,31,","","","","","","","46.4",",,,I","","","","","",""
"AM000037699","1937-11","40.533","44.383","1892.0","APARAN, AM","","","6","2,I","3","2,I","0","2,I","","","","","","","","","","","","","19371102",",2,I","","","","","14.5","2,,I,02,","","","","","","","26.9","2,,,I","","","","","",""
"AM000037699","1938-01","40.533","44.383","1892.0","APARAN, AM","","","13","1,I","7","1,I","0","1,I","","","","","","","","","","","","","19380108",",1,I","","","","","13.0","1,,I,08,","","","","","","","39.5","1,,,I","","","","","",""
"AM000037699","1938-02","40.533","44.383","1892.0","APARAN, AM","","","10","1,I","5","1,I","0","1,I","","","","","","","","","","","","","19380210",",1,I","","","","","16.6","1,,I,10,","","","","","","","52.6","1,,,I","","","","","",""
"AM000037699","1938-03","40.533","44.383","1892.0","APARAN, AM","","","5","1,I","1","1,I","0","1,I","","","","","","","","","","","","","19380330",",1,I","","","","","19.0","1,,I,30,","","","","","","","22.6","1,,,I","","","","","",""
"AM000037699","1938-04","40.533","44.383","1892.0","APARAN, AM","","","7","1,I","6","1,I","1","1,I","","","","","","","","","","","","","19380430",",1,I","","","","","26.0","1,,I,30,","","","","","","","62.5","1,,,I","","","","","",""
"AM000037699","1938-05","40.533","44.383","1892.0","APARAN, AM","","","16","2,I","7","2,I","0","2,I","","","","","","","","","","","","","19380503",",2,I","","","","","11.0","2,,I,03,","","","","","","","53.1","2,,,I","","","","","",""
"AM000037699","1938-06","40.533","44.383","1892.0","APARAN, AM","","","11",",I","4",",I","0",",I","","","","","","","","","","","","","19380613",",,I","","","","","6.0",",,I,13,","","","","","","","28.6",",,,I","","","","","",""
