"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CIM00085682","1975-10","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","","","","","","","0","4,S","0","4,S","19751013","+,4,S","","","2.0","4,S,13,+","","","","","5.37","4,,,S"
"CIM00085682","1975-11","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","","","","","","","0","5,S","0","5,S","19751118","+,5,S","","","4.0","5,S,18,+","","","","","7.20","5,,,S"
"CIM00085682","1975-12","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","","","","","","","0","4,S","0","4,S","19751220",",4,S","","","4.0","4,S,20,","","","","","8.19","4,,,S"
"CIM00085682","1976-03","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","","","","","","","0","5,S","0","5,S","19760313","+,5,S","","","2.0","5,S,13,+","","","","","6.92","5,,,S"
"CIM00085682","1976-04","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","","","","","","","0","3,S","1","3,S","19760416",",3,S","","","0.0","3,S,16,","","","","","5.70","3,,,S"
"CIM00085682","1976-07","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","","","","","","","0","5,S","8","5,S","19760707",",5,S","","","-4.0","5,S,07,","","","","","3.46","5,,,S"
"CIM00085682","1976-10","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","8","5,S","5","5,S","2","5,S","","","","","","","19761015",",5,S","","","42.9","5,,S,15,","133.8","5,,,S","",""
"CIM00085682","1976-12","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","5","5,S","4","5,S","1","5,S","0","5,S","0","5,S","19761202",",5,S","19761210",",5,S","7.0","5,S,02,","31.0","5,,S,10,","55.1","5,,,S","10.58","5,,,S"
"CIM00085682","1977-01","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","6","3,S","2","3,S","1","3,S","0","4,S","0","4,S","19770113",",4,S","19770128",",3,S","6.0","4,S,13,","31.0","3,,S,28,","42.1","3,,,S","11.41","4,,,S"
"CIM00085682","1977-02","-36.773","-73.063","7.9","CARRIEL SUR INTERNATIONAL, CI","0","3,S","0","3,S","0","3,S","","","","","","","19770228","+,3,S","","","0.0","3,,S,28,+","0.0","3,,,S","",""
