"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00153304","1940-05","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","14",",6","9",",6","1",",6","","","","","","","","","","","","","","","","","","","19400530",",,6","","","","","","","32.3",",,6,30,","","","","","","","115.4",",,,6","","","","","","","",""
"USC00153304","1940-06","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","15",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","19400618",",,6","","","","","","","27.2",",,6,18,","","","","","","","121.2",",,,6","","","","","","","",""
"USC00153304","1940-07","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","13",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","","","19400712",",,6","","","","","","","19.3",",,6,12,","","","","","","","89.4",",,,6","","","","","","","",""
"USC00153304","1940-08","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","19400826",",,6","","","","","","","50.8",",,6,26,","","","","","","","127.8",",,,6","","","","","","","",""
"USC00153304","1940-09","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","5",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","19400925",",,6","","","","","","","59.7",",,6,25,","","","","","","","81.3",",,,6","","","","","","","",""
"USC00153304","1940-10","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19401030",",,6","","","","","","","10.7",",,6,30,","","","","","","","29.5",",,,6","","","","","","","",""
"USC00153304","1940-11","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","14",",6","9",",6","1",",6","","","","","","","","","","","","","","","","","","","19401102",",,6","","","","","","","29.2",",,6,02,","","","","","","","77.4",",,,6","","","","","","","",""
"USC00153304","1940-12","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","14",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","19401229",",,6","","","","","","","48.5",",,6,29,","","","","","","","99.0",",,,6","","","","","","","",""
"USC00153304","1941-01","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","10",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","19410124",",,6","","","","","","","16.3",",,6,24,","","","","","","","62.9",",,,6","","","","","","","",""
"USC00153304","1941-02","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","8",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19410227",",,6","","","","","","","5.8",",,6,27,","","","","","","","20.7",",,,6","","","","","","","",""
"USC00153304","1941-03","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11","5,6","7","5,6","0","5,6","","","","","","","","","","","","","","","","","","","19410311",",5,6","","","","","","","17.3","5,,6,11,","","","","","","","46.1","5,,,6","","","","","","","",""
"USC00153304","1941-04","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","8","3,6","6","3,6","1","3,6","","","","","","","","","","","","","1","","","","","","19410424",",3,6","","","","","","","27.9","3,,6,24,","","","","","","","60.2","3,,,6","","","","","","","",""
"USC00153304","1941-05","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","3","5,6","2","5,6","0","5,6","","","","","","","","","","","","","","","","","","","19410527",",5,6","","","","","","","11.7","5,,6,27,","","","","","","","16.6","5,,,6","","","","","","","",""
"USC00153304","1941-06","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","10",",6","9",",6","2",",6","","","","","","","","","","","","","","","","","","","19410623",",,6","","","","","","","65.8",",,6,23,","","","","","","","169.8",",,,6","","","","","","","",""
"USC00153304","1941-07","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","13",",6","10",",6","4",",6","","","","","","","","","","","","","5","","","","","","19410703",",,6","","","","","","","71.9",",,6,03,","","","","","","","258.2",",,,6","","","","","","","",""
"USC00153304","1941-08","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","9",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","19410813",",,6","","","","","","","39.6",",,6,13,","","","","","","","91.3",",,,6","","","","","","","",""
"USC00153304","1941-09","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","19410905",",,6","","","","","","","13.2",",,6,05,","","","","","","","43.8",",,,6","","","","","","","",""
"USC00153304","1941-10","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","","","19411009",",,6","","","","","","","20.3",",,6,09,","","","","","","","68.7",",,,6","","","","","","","",""
"USC00153304","1941-11","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","6",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","19411123",",,6","","","","","","","33.5",",,6,23,","","","","","","","61.6",",,,6","","","","","","","",""
"USC00153304","1941-12","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","19411213",",,6","","","","","","","36.8",",,6,13,","","","","","","","75.3",",,,6","","","","","","","",""
"USC00153304","1942-01","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","19420102",",,6","","","","","","","28.2",",,6,02,","","","","","","","64.0",",,,6","","","","","","","",""
"USC00153304","1942-02","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","14",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","19420217",",,6","","","","","","","22.9",",,6,17,","","","","","","","54.9",",,,6","","","","","","","",""
"USC00153304","1942-03","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","13",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","","","19420312",",,6","","","","","","","28.4",",,6,12,","","","","","","","105.9",",,,6","","","","","","","",""
"USC00153304","1942-04","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","19420410",",,6","","","","","","","8.4",",,6,10,","","","","","","","17.5",",,,6","","","","","","","",""
"USC00153304","1942-05","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","12",",6","10",",6","0",",6","","","","","","","","","","","","","","","","","","","19420522",",,6","","","","","","","23.4",",,6,22,","","","","","","","94.0",",,,6","","","","","","","",""
"USC00153304","1942-06","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11",",6","10",",6","4",",6","","","","","","","","","","","","","","","","","","","19420622",",,6","","","","","","","39.1",",,6,22,","","","","","","","190.7",",,,6","","","","","","","",""
"USC00153304","1942-07","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","13",",6","10",",6","1",",6","","","","","","","","","","","","","7","","","","","","19420714",",,6","","","","","","","38.6",",,6,14,","","","","","","","158.9",",,,6","","","","","","","",""
"USC00153304","1942-08","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","15",",6","11",",6","2",",6","","","","","","","","","","","","","17","","","","","","19420810",",,6","","","","","","","46.5",",,6,10,","","","","","","","210.3",",,,6","","","","","","","",""
"USC00153304","1942-09","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","12",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","19420927",",,6","","","","","","","22.1",",,6,27,","","","","","","","88.4",",,,6","","","","","","","",""
"USC00153304","1942-10","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","8",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","19421005",",,6","","","","","","","24.6",",,6,05,","","","","","","","71.6",",,,6","","","","","","","",""
"USC00153304","1942-11","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","15",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","19421101",",,6","","","","","","","36.3",",,6,01,","","","","","","","122.5",",,,6","","","","","","","",""
"USC00153304","1942-12","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","16",",6","11",",6","3",",6","","","","","","","","","","","","","","","","","","","19421216",",,6","","","","","","","41.7",",,6,16,","","","","","","","191.2",",,,6","","","","","","","",""
"USC00153304","1943-01","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","8",",6","5",",6","0",",6","2",",6","","","","","","","","","","","","","","","19430126",",,6","19430126",",,6","","","","","51",",,6,26,","25.1",",,6,26,","","","","","","","65.2",",,,6","89",",,,6","","","","","",""
"USC00153304","1943-02","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","10",",6","6",",6","1",",6","1",",6","","","","","","","","","","","","","","","19430211",",,6","19430211",",,6","","","","","102",",,6,11,","32.5",",,6,11,","","","","","","","72.7",",,,6","146",",,,6","","","","","",""
"USC00153304","1943-03","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","15",",6","12",",6","3",",6","","","","","","","","","","","","","","","","","","","19430319",",,6","","","","","","","36.8",",,6,19,","","","","","","","190.1",",,,6","","","","","","","",""
"USC00153304","1943-04","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","15",",6","9",",6","1",",6","","","","","","","","","","","","","","","","","","","19430419",",,6","","","","","","","46.2",",,6,19,","","","","","","","119.9",",,,6","","","","","","","",""
"USC00153304","1943-05","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11",",6","8",",6","1",",6","","","","","","","","","","","","","7","","","","","","19430512",",,6","","","","","","","30.5",",,6,12,","","","","","","","97.2",",,,6","","","","","","","",""
"USC00153304","1943-06","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","14",",6","9",",6","4",",6","","","","","","","","","","","","","","","","","","","19430601",",,6","","","","","","","42.7",",,6,01,","","","","","","","195.5",",,,6","","","","","","","",""
"USC00153304","1943-07","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","12",",6","9",",6","1",",6","","","","","","","","","","","","","15","","","","","","19430730",",,6","","","","","","","36.6",",,6,30,","","","","","","","106.5",",,,6","","","","","","","",""
"USC00153304","1943-08","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","6",",6","2",",6","1",",6","","","","","","","","","","","","","10","","","","","","19430805",",,6","","","","","","","62.0",",,6,05,","","","","","","","86.4",",,,6","","","","","","","",""
"USC00153304","1943-09","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","7",",6","5",",6","1",",6","","","","","","","","","","","","","14","","","","","","19430920",",,6","","","","","","","31.2",",,6,20,","","","","","","","65.1",",,,6","","","","","","","",""
"USC00153304","1943-10","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","8",",6","7",",6","2",",6","","","","","","","","","","","","","5","","","","","","19431016",",,6","","","","","","","31.0",",,6,16,","","","","","","","91.3",",,,6","","","","","","","",""
"USC00153304","1943-11","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","7",",6","4",",6","1",",6","","","","","","","","","","","","","1","","","","","","19431102",",,6","","","","","","","33.3",",,6,02,","","","","","","","72.7",",,,6","","","","","","","",""
"USC00153304","1943-12","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11",",6","7",",6","0",",6","0",",6","","","","","","","","","","","2","","","","19431231","+,,6","19431226",",,6","","","","","0",",T,6,31,+","22.9",",,6,26,","","","","","","","70.9",",,,6","0",",T,,6","","","","","",""
"USC00153304","1944-01","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","10",",6","6",",6","0",",6","2",",6","","","","","","","","","","","1","","","","19440116",",,6","19440103",",,6","","","","","38",",,6,16,","19.8",",,6,03,","","","","","","","54.7",",,,6","63",",,,6","","","","","",""
"USC00153304","1944-02","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","19",",6","13",",6","2",",6","0",",6","","","","","","","","","","","1","","","","19440214",",,6","19440229",",,6","","","","","13",",,6,14,","48.3",",,6,29,","","","","","","","209.5",",,,6","18",",,,6","","","","","",""
"USC00153304","1944-03","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","17",",6","12",",6","2",",6","1",",6","","","","","","","","","","","2","","","","19440308",",,6","19440320",",,6","","","","","38",",,6,08,","43.4",",,6,20,","","","","","","","173.2",",,,6","38",",,,6","","","","","",""
"USC00153304","1944-04","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","10",",6","8",",6","1",",6","0",",6","","","","","","","","","","","1","","","","19440405",",,6","19440412",",,6","","","","","0",",T,6,05,","59.2",",,6,12,","","","","","","","124.9",",,,6","0",",T,,6","","","","","",""
"USC00153304","1944-05","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","11",",6","7",",6","0",",6","","","","","","","","","","","","","4","","","","","","19440520",",,6","","","","","","","24.9",",,6,20,","","","","","","","96.9",",,,6","","","","","","","",""
"USC00153304","1944-06","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","10","","","","","","19440610",",,6","","","","","","","25.1",",,6,10,","","","","","","","43.2",",,,6","","","","","","","",""
"USC00153304","1944-07","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","6",",6","3",",6","1",",6","","","","","","","","","","","","","2","","","","","","19440713",",,6","","","","","","","30.5",",,6,13,","","","","","","","57.5",",,,6","","","","","","","",""
"USC00153304","1944-08","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","14",",6","10",",6","1",",6","","","","","","","","","","","","","7","","","","","","19440827",",,6","","","","","","","29.2",",,6,27,","","","","","","","134.9",",,,6","","","","","","","",""
"USC00153304","1944-09","37.1","-83.71667","283.5","GOOSEROCK, KY US","","","","","12",",6","8",",6","2",",6","","","","","","","","","","","","","19","","","","","","19440929",",,6","","","","","","","48.3",",,6,29,","","","","","","","136.7",",,,6","","","","","","","",""
