"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093727","1956-03","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","10.0",",X","","","","","","","","","","","0",",X","5",",X","0",",X","13",",X","0",",X","","","","","19560322",",,X","","","","","","","","","19560304",",,X","-2.8",",X,22,","","","","","","","29.4",",X,04,","","","177.5",",X","","","","","12.93",",X","19.48",",,,X","6.38",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1956-04","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","47.8","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","18","2,X","0","2,X","","","","","19560410",",2,X","","","","","","","","","19560403",",2,X","2.2","2,X,10,","","","","","","","31.1","2,X,03,","","","75.0","2,X","","","","","17.36","2,X","23.47","2,,,X","11.25","2,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1956-05","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","108.8","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","28","2,X","4","2,X","","","","","19560509",",2,X","","","","","","","","","19560514",",2,X","6.7","2,X,09,","","","","","","","35.6","2,X,14,","","","12.5","2,X","","","","","21.65","2,X","27.59","2,,,X","15.71","2,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1956-08","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","279.1","1,X","","","","","","","","","","","0","1,X","0","1,X","0","1,X","30","1,X","19","1,X","","","","","19560823",",1,X","","","","","","","","","19560806",",1,X","18.3","1,X,23,","","","","","","","37.8","1,X,06,","","","0.0","1,X","","","","","27.64","1,X","32.57","1,,,X","22.70","1,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1956-10","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","51.3","5,X","","","","","","","","","","","0","5,X","0","5,X","0","5,X","21","5,X","0","5,X","","","","","19561012","+,5,X","","","","","","","","","19561005",",5,X","7.8","5,X,12,+","","","","","","","29.4","5,X,05,","","","14.4","5,X","","","","","19.75","5,X","23.63","5,,,X","15.88","5,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1956-11","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","10.6",",X","","","","","","","","","","","0",",X","8",",X","0",",X","10",",X","0",",X","","","","","19561128",",,X","","","","","","","","","19561101",",,X","-4.4",",X,28,","","","","","","","27.2",",X,01,","","","207.5",",X","","","","","11.77",",X","17.75",",,,X","5.79",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1956-12","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","16.3","2,X","","","","","","","","","","","0","2,X","6","2,X","0","2,X","17","2,X","0","2,X","","","","","19561230",",2,X","","","","","","","","","19561216","+,2,X","-2.8","2,X,30,","","","","","","","26.1","2,X,16,+","","","146.7","2,X","","","","","13.84","2,X","20.27","2,,,X","7.41","2,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1957-01","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","1.4","X","1.4","2,X","","","","","","","","","","","0","1,X","11","1,X","0","1,X","6","1,X","0","1,X","","","","","19570119",",1,X","","","","","","","","","19570128","+,1,X","-8.9","1,X,19,","","","","","","","26.1","1,X,28,+","","","304.4","1,X","","","","","7.73","2,X","13.53","1,,,X","1.93","1,,,X","","","","","","","338",",X","","","","","","","","","20.6",",X","",""
"USW00093727","1957-02","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270",",X","","","","","","","","","16.4",",X","",""
"USW00093727","1957-03","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248",",X","","","","","","","","","14.4",",X","",""
"USW00093727","1957-04","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","60.8",",X","","","","","","","","","","","0",",X","0",",X","0",",X","21",",X","0",",X","","","","","19570416",",,X","","","","","","","","","19570428",",,X","0.6",",X,16,","","","","","","","31.1",",X,28,","","","78.8",",X","","","","","17.73",",X","24.19",",,,X","11.27",",,,X","","","","","","","270","1,X","","","","","","","","","20.6","1,X","",""
"USW00093727","1957-05","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","119.8","4,X","","","","","","","","","","","0","3,X","0","3,X","0","3,X","26","3,X","1","3,X","","","","","19570506",",3,X","","","","","","","","","19570524",",3,X","7.2","3,X,06,","","","","","","","33.3","3,X,24,","","","10.2","3,X","","","","","22.09","4,X","27.34","3,,,X","16.84","3,,,X","","","","","","","270",",X","","","","","","","","","22.6",",X","",""
"USW00093727","1957-06","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","214.4","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","28","2,X","8","2,X","","","","","19570611",",2,X","","","","","","","","","19570616",",2,X","17.2","2,X,11,","","","","","","","35.0","2,X,16,","","","0.0","2,X","","","","","25.99","2,X","30.54","2,,,X","21.45","2,,,X","","","","","","","293",",X","","","","","","","","","18.0",",X","",""
"USW00093727","1957-07","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","338",",X","","","","","","","","","14.4",",X","",""
"USW00093727","1957-08","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","223.2",",X","","","","","","","","","","","0",",X","0",",X","0",",X","31",",X","12",",X","","","","","19570807",",,X","","","","","","","","","19570801",",,X","13.9",",X,07,","","","","","","","36.1",",X,01,","","","0.0",",X","","","","","25.53",",X","30.69",",,,X","20.37",",,,X","","","","","","","293",",X","","","","","","","","","15.4",",X","",""
"USW00093727","1957-09","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","195.8",",X","","","","","","","","","","","0",",X","0",",X","0",",X","28",",X","6",",X","","","","","19570925",",,X","","","","","","","","","19570904","+,,X","11.7",",X,25,","","","","","","","33.3",",X,04,+","","","2.5",",X","","","","","24.78",",X","29.16",",,,X","20.40",",,,X","","","","","","","68",",X","","","","","","","","","15.4",",X","",""
"USW00093727","1957-10","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","15.0",",X","","","","","","","","","","","0",",X","1",",X","0",",X","19",",X","0",",X","","","","","19571029",",,X","","","","","","","","","19571024","+,,X","-0.6",",X,29,","","","","","","","26.1",",X,24,+","","","100.4",",X","","","","","15.58",",X","20.93",",,,X","10.23",",,,X","","","","","","","338",",X","","","","","","","","","12.3",",X","",""
