"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00298662","1941-01","36.3","-103.36667",,"TANNER RANCH, NM US","3",",6","1",",6","0",",6","","","19410112",",,6","16.5",",,6,12,","19.3",",,,6"
"USC00298662","1941-02","36.3","-103.36667",,"TANNER RANCH, NM US","4",",6","3",",6","0",",6","","","19410219",",,6","3.8",",,6,19,","11.7",",,,6"
"USC00298662","1941-03","36.3","-103.36667",,"TANNER RANCH, NM US","5",",6","4",",6","1",",6","","","19410324",",,6","33.0",",,6,24,","68.3",",,,6"
"USC00298662","1941-04","36.3","-103.36667",,"TANNER RANCH, NM US","10",",6","8",",6","1",",6","","","19410427",",,6","76.2",",,6,27,","142.1",",,,6"
"USC00298662","1941-05","36.3","-103.36667",,"TANNER RANCH, NM US","13",",6","12",",6","3",",6","","","19410501",",,6","53.3",",,6,01,","221.2",",,,6"
"USC00298662","1941-06","36.3","-103.36667",,"TANNER RANCH, NM US","11",",6","5",",6","0",",6","","","19410624",",,6","12.2",",,6,24,","44.0",",,,6"
"USC00298662","1941-07","36.3","-103.36667",,"TANNER RANCH, NM US","10",",6","6",",6","0",",6","","","19410712",",,6","16.5",",,6,12,","56.1",",,,6"
"USC00298662","1941-08","36.3","-103.36667",,"TANNER RANCH, NM US","6","1,6","3","1,6","0","1,6","","","19410818",",1,6","20.6","1,,6,18,","30.0","1,,,6"
"USC00298662","1941-09","36.3","-103.36667",,"TANNER RANCH, NM US","8","1,6","7","1,6","4","1,6","","","19410921",",1,6","78.7","1,,6,21,","270.6","1,,,6"
"USC00298662","1941-10","36.3","-103.36667",,"TANNER RANCH, NM US","12",",6","9",",6","0",",6","","","19411021",",,6","20.6",",,6,21,","78.7",",,,6"
"USC00298662","1941-11","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","0",",6","0",",6","","","19411121",",,6","0.8",",,6,21,","0.8",",,,6"
"USC00298662","1941-12","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","0",",6","0",",6","","","19411211",",,6","0.8",",,6,11,","0.8",",,,6"
"USC00298662","1942-01","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","0",",6","0",",6","","","19420103",",,6","1.0",",,6,03,","1.0",",,,6"
"USC00298662","1942-02","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","1",",6","0",",6","","","19420228",",,6","17.8",",,6,28,","17.8",",,,6"
"USC00298662","1942-03","36.3","-103.36667",,"TANNER RANCH, NM US","3",",6","2",",6","0",",6","","","19420316",",,6","14.0",",,6,16,","18.6",",,,6"
"USC00298662","1942-04","36.3","-103.36667",,"TANNER RANCH, NM US","11",",6","11",",6","2",",6","","","19420419",",,6","92.7",",,6,19,","206.5",",,,6"
"USC00298662","1942-05","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","2",",6","0",",6","","","19420521",",,6","5.6",",,6,21,","10.7",",,,6"
"USC00298662","1942-06","36.3","-103.36667",,"TANNER RANCH, NM US","8",",6","4",",6","0",",6","","","19420621",",,6","18.5",",,6,21,","50.7",",,,6"
"USC00298662","1942-07","36.3","-103.36667",,"TANNER RANCH, NM US","9","1,6","6","1,6","0","1,6","","","19420719",",1,6","21.6","1,,6,19,","55.4","1,,,6"
"USC00298662","1942-08","36.3","-103.36667",,"TANNER RANCH, NM US","5",",6","4",",6","0",",6","","","19420829",",,6","16.3",",,6,29,","47.0",",,,6"
"USC00298662","1942-09","36.3","-103.36667",,"TANNER RANCH, NM US","3",",6","3",",6","1",",6","","","19420901",",,6","80.3",",,6,01,","91.2",",,,6"
"USC00298662","1942-10","36.3","-103.36667",,"TANNER RANCH, NM US","8",",6","7",",6","0",",6","","","19421017",",,6","24.1",",,6,17,","77.2",",,,6"
"USC00298662","1942-11","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","0",",6","0",",6","","","19421130",",,6","1.3",",,6,30,","1.3",",,,6"
"USC00298662","1942-12","36.3","-103.36667",,"TANNER RANCH, NM US","5",",6","2",",6","0",",6","","","19421220",",,6","14.2",",,6,20,","24.5",",,,6"
"USC00298662","1943-01","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","1",",6","0",",6","","","19430118",",,6","5.1",",,6,18,","5.9",",,,6"
"USC00298662","1943-02","36.3","-103.36667",,"TANNER RANCH, NM US","0","1,6","0","1,6","0","1,6","","","19430202",",1,6","0.0","1,T,6,02,","0.0","1,T,,6"
"USC00298662","1943-03","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","0",",6","0",",6","","","19430302",",,6","1.3",",,6,02,","2.1",",,,6"
"USC00298662","1943-04","36.3","-103.36667",,"TANNER RANCH, NM US","4",",6","2",",6","0",",6","","","19430407",",,6","17.8",",,6,07,","25.2",",,,6"
"USC00298662","1943-05","36.3","-103.36667",,"TANNER RANCH, NM US","4",",6","3",",6","0",",6","","","19430521",",,6","21.6",",,6,21,","32.0",",,,6"
"USC00298662","1943-06","36.3","-103.36667",,"TANNER RANCH, NM US","7",",6","6",",6","0",",6","","","19430629",",,6","8.4",",,6,29,","33.5",",,,6"
"USC00298662","1943-07","36.3","-103.36667",,"TANNER RANCH, NM US","6",",6","4",",6","0",",6","","","19430703",",,6","4.3",",,6,03,","16.2",",,,6"
"USC00298662","1943-08","36.3","-103.36667",,"TANNER RANCH, NM US","7",",6","6",",6","0",",6","","","19430817",",,6","13.2",",,6,17,","60.0",",,,6"
"USC00298662","1943-09","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","1",",6","0",",6","","","19430901",",,6","5.1",",,6,01,","5.1",",,,6"
"USC00298662","1943-10","36.3","-103.36667",,"TANNER RANCH, NM US","3",",6","1",",6","0",",6","","","19431005",",,6","5.1",",,6,05,","8.2",",,,6"
"USC00298662","1944-05","36.3","-103.36667",,"TANNER RANCH, NM US","4",",6","4",",6","0",",6","","","19440527",",,6","21.8",",,6,27,","53.9",",,,6"
"USC00298662","1944-06","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","2",",6","0",",6","","","19440610",",,6","10.9",",,6,10,","17.3",",,,6"
"USC00298662","1944-09","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","2",",6","0",",6","","","19440913",",,6","8.1",",,6,13,","13.4",",,,6"
"USC00298662","1944-10","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","1",",6","0",",6","","","19441016",",,6","13.5",",,6,16,","13.5",",,,6"
"USC00298662","1944-11","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","2",",6","0",",6","","","19441126",",,6","7.6",",,6,26,","14.0",",,,6"
"USC00298662","1944-12","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","1",",6","0",",6","","","19441204",",,6","9.1",",,6,04,","9.6",",,,6"
"USC00298662","1945-01","36.3","-103.36667",,"TANNER RANCH, NM US","4",",6","4",",6","1",",6","","","19450131",",,6","35.8",",,6,31,","71.7",",,,6"
"USC00298662","1945-02","36.3","-103.36667",,"TANNER RANCH, NM US","5",",6","1",",6","0",",6","","","19450220",",,6","17.8",",,6,20,","20.0",",,,6"
"USC00298662","1945-03","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","1",",6","0",",6","","","19450320",",,6","3.8",",,6,20,","3.8",",,,6"
"USC00298662","1945-04","36.3","-103.36667",,"TANNER RANCH, NM US","3",",6","3",",6","0",",6","","","19450416",",,6","9.4",",,6,16,","18.3",",,,6"
"USC00298662","1945-05","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","2",",6","0",",6","","","19450531","+,,6","3.0",",,6,31,+","6.0",",,,6"
"USC00298662","1945-06","36.3","-103.36667",,"TANNER RANCH, NM US","3",",6","2",",6","0",",6","","","19450612",",,6","13.0",",,6,12,","19.9",",,,6"
"USC00298662","1945-07","36.3","-103.36667",,"TANNER RANCH, NM US","11",",6","7",",6","0",",6","","","19450710",",,6","17.5",",,6,10,","67.8",",,,6"
"USC00298662","1945-08","36.3","-103.36667",,"TANNER RANCH, NM US","5",",6","4",",6","0",",6","","","19450820",",,6","21.6",",,6,20,","42.9",",,,6"
"USC00298662","1945-09","36.3","-103.36667",,"TANNER RANCH, NM US","4",",6","3",",6","0",",6","","","19450929",",,6","22.9",",,6,29,","61.7",",,,6"
"USC00298662","1945-10","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","0",",6","0",",6","","","19451013",",,6","0.5",",,6,13,","0.8",",,,6"
"USC00298662","1946-02","36.3","-103.36667",,"TANNER RANCH, NM US","1",",6","1",",6","0",",6","","","19460217",",,6","8.1",",,6,17,","8.1",",,,6"
"USC00298662","1946-03","36.3","-103.36667",,"TANNER RANCH, NM US","3",",6","2",",6","0",",6","","","19460315","+,,6","9.4",",,6,15,+","20.3",",,,6"
"USC00298662","1946-04","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","2",",6","0",",6","","","19460429",",,6","11.4",",,6,29,","20.5",",,,6"
"USC00298662","1946-05","36.3","-103.36667",,"TANNER RANCH, NM US","5",",6","5",",6","1",",6","","","19460527",",,6","108.0",",,6,27,","129.3",",,,6"
"USC00298662","1946-06","36.3","-103.36667",,"TANNER RANCH, NM US","2",",6","1",",6","0",",6","","","19460603",",,6","21.1",",,6,03,","23.4",",,,6"
