"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00089417","1897-08","30.633333","-85.583333","76.2","WAUSAU, FL US","","","260.8","2,6","18",",6","17",",6","2",",6","0","1,6","0","1,6","0","1,6","30","1,6","20","1,6","18970825",",1,6","","","18970817",",,6","18970831","+,1,6","18.3","1,6,25,","40.4",",,6,17,","35.6","1,6,31,+","","","0.0","1,6","241.5",",,,6","27.40","2,6","32.42","1,,,6","22.37","1,,,6"
"USC00089417","1897-09","30.633333","-85.583333","76.2","WAUSAU, FL US","","","201.9",",6","9",",6","8",",6","0",",6","0",",6","0",",6","0",",6","30",",6","17",",6","18970924","+,,6","","","18970929",",,6","18970903",",,6","8.9",",6,24,+","10.9",",,6,29,","36.7",",6,03,","","","0.9",",6","54.1",",,,6","25.04",",6","31.40",",,,6","18.67",",,,6"
"USC00089417","1897-10","30.633333","-85.583333","76.2","WAUSAU, FL US","","","94.7","1,6","6",",6","0",",6","0",",6","0",",6","0",",6","0","1,6","30","1,6","1","1,6","18971027","+,,6","","","18971011","+,,6","18971001",",1,6","4.4",",6,27,+","1.8",",,6,11,+","32.2","1,6,01,","","","10.5","1,6","6.5",",,,6","21.23","1,6","28.72","1,,,6","13.73",",,,6"
"USC00089417","1897-11","30.633333","-85.583333","76.2","WAUSAU, FL US","","","2.8","1,6","8",",6","4",",6","0",",6","0","1,6","0","1,6","0","1,6","22","1,6","0","1,6","18971104",",1,6","","","18971101",",,6","18971107","+,1,6","2.2","1,6,04,","22.4",",,6,01,","27.8","1,6,07,+","","","92.8","1,6","47.8",",,,6","15.23","1,6","22.09","1,,,6","8.38","1,,,6"
"USC00089417","1897-12","30.633333","-85.583333","76.2","WAUSAU, FL US","","","0.0","3,6","5",",6","3",",6","1",",6","0","2,6","8","2,6","0","1,6","10","1,6","0","1,6","18971206",",2,6","","","18971225",",,6","18971204",",1,6","-2.2","2,6,06,","36.8",",,6,25,","25.6","1,6,04,","","","192.2","1,6","57.9",",,,6","11.56","3,6","17.76","1,,,6","5.37","2,,,6"
"USC00089417","1898-01","30.633333","-85.583333","76.2","WAUSAU, FL US","10.8","6","10.8","1,6","6",",6","4",",6","0",",6","0",",6","4",",6","0","1,6","13","1,6","0","1,6","18980103",",,6","","","18980130",",,6","18980125",",1,6","-8.3",",6,03,","10.9",",,6,30,","25.6","1,6,25,","","","165.7","1,6","29.1",",,,6","13.05","1,6","18.94","1,,,6","7.16",",,,6"
"USC00089417","1898-02","30.633333","-85.583333","76.2","WAUSAU, FL US","10.8","6","0.0",",6","6",",6","5",",6","4",",6","0",",6","10",",6","0",",6","6",",6","0",",6","18980204",",,6","","","18980217",",,6","18980210",",,6","-6.1",",6,04,","38.1",",,6,17,","25.0",",6,10,","","","224.1",",6","130.9",",,,6","10.33",",6","16.96",",,,6","3.69",",,,6"
"USC00089417","1898-03","30.633333","-85.583333","76.2","WAUSAU, FL US","74.8","6","64.0",",6","5",",6","3",",6","1",",6","0",",6","1",",6","0",",6","23",",6","0",",6","18980305",",,6","","","18980303",",,6","18980324","+,,6","0.0",",6,05,","44.5",",,6,03,","28.9",",6,24,+","","","72.7",",6","67.1",",,,6","18.05",",6","24.02",",,,6","12.09",",,,6"
"USC00089417","1898-04","30.633333","-85.583333","76.2","WAUSAU, FL US","107.2","6","32.4",",6","6",",6","4",",6","1",",6","0",",6","0",",6","0",",6","25",",6","0",",6","18980408",",,6","","","18980419",",,6","18980430",",,6","1.1",",6,08,","41.9",",,6,19,","30.6",",6,30,","","","53.1",",6","73.1",",,,6","17.64",",6","24.29",",,,6","11.00",",,,6"
"USC00089417","1898-05","30.633333","-85.583333","76.2","WAUSAU, FL US","315.0","6","207.8",",6","5",",6","4",",6","0",",6","0",",6","0",",6","0",",6","31",",6","20",",6","18980507",",,6","","","18980531",",,6","18980527","+,,6","8.3",",6,07,","8.6",",,6,31,","36.7",",6,27,+","","","3.6",",6","20.2",",,,6","24.92",",6","32.78",",,,6","17.06",",,,6"
"USC00089417","1898-06","30.633333","-85.583333","76.2","WAUSAU, FL US","608.8","6","293.8",",6","11",",6","8",",6","2",",6","0",",6","0",",6","0",",6","30",",6","26",",6","18980609",",,6","","","18980622",",,6","18980613",",,6","19.4",",6,09,","38.6",",,6,22,","37.2",",6,13,","","","0.0",",6","127.0",",,,6","28.13",",6","34.56",",,,6","21.69",",,,6"
"USC00089417","1898-07","30.633333","-85.583333","76.2","WAUSAU, FL US","892.7","6","283.9",",6","15",",6","10",",6","1",",6","0",",6","0",",6","0",",6","30",",6","23",",6","18980714",",,6","","","18980714",",,6","18980728","+,,6","17.2",",6,14,","28.4",",,6,14,","36.1",",6,28,+","0.0","6","0.0",",6","107.3",",,,6","27.49",",6","32.67",",,,6","22.31",",,,6"
"USC00089417","1898-08","30.633333","-85.583333","76.2","WAUSAU, FL US","1137.6","6","244.9","1,6","21",",6","19",",6","7",",6","0","1,6","0","1,6","0",",6","31",",6","11",",6","18980804",",1,6","","","18980803",",,6","18980824","+,,6","20.6","1,6,04,","169.9",",,6,03,","33.9",",6,24,+","0.0","6","0.0",",6","525.0",",,,6","26.40","1,6","30.52",",,,6","22.28","1,,,6"
