"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017611","1959-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","2",",X","0",",X","0",",X","0",",X","9","","","","19590714","+,,X","19590731","+,,X","19590714","+,,X","19590729","+,,X","19590717","+,,X","0.0",",X,14,+","0",",,X,31,+","0",",T,X,14,+","0.0",",T,X,29,+","10.0",",X,17,+","413.4","","413.4",",X","0.0",",T,,X","0",",T,,X","5.00",",X","7.26",",,,X","2.73",",,,X","113",",X","21.1",",X"
"GLW00017611","1959-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","22",",X","0",",X","0",",X","0",",X","9","","","","19590831","+,,X","19590831","+,,X","19590830","+,,X","19590830","+,,X","19590816","+,,X","-3.9",",X,31,+","0",",,X,31,+","0",",T,X,30,+","0.0",",T,X,30,+","6.7",",X,16,+","931.3","","517.9",",X","0.0",",T,,X","0",",T,,X","1.63",",X","3.95",",,,X","-0.69",",,,X","113",",X","18.5",",X"
"GLW00017611","1959-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017611","1960-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","5",",X","1",",X","0",",X","11",",X","3",",X","6",",X","31",",X","26",",X","0",",X","0",",X","14","","","","19600507",",,X","19600530","+,,X","19600514",",,X","19600521",",,X","19600517",",,X","-20.0",",X,07,","51",",,X,30,+","51",",,X,14,","2.5",",,X,21,","5.6",",X,17,","","","790.1",",X","7.6",",,,X","144",",,,X","-7.15",",X","-3.91",",,,X","-10.40",",,,X","23",",X","25.7",",X"
"GLW00017611","1960-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","2",",X","0",",X","0",",X","1",",X","0",",X","0",",X","21",",X","0",",X","0",",X","0",",X","12","","","","19600601",",,X","19600601",",,X","19600617","+,,X","19600617","+,,X","19600629",",,X","-4.4",",X,01,","25",",,X,01,","8",",,X,17,+","0.8",",,X,17,+","11.7",",X,29,","","","480.5",",X","1.6",",,,X","16",",,,X","2.32",",X","5.28",",,,X","-0.65",",,,X","90","1,X","19.0","1,X"
"GLW00017611","1960-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","0",",X","0",",X","8","","","","19600727",",,X","19600701",",,X","19600726",",,X","19600726",",,X","19600731",",,X","0.0",",X,27,","0",",T,X,01,","23",",,X,26,","2.3",",,X,26,","11.1",",X,31,","410.6","X","410.6",",X","7.1",",,,X","23",",,,X","5.09",",X","7.02",",,,X","3.16",",,,X","113",",X","23.6",",X"
"GLW00017611","1960-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","1",",X","1",",X","0",",X","0",",X","0",",X","0",",X","10",",X","0",",X","0",",X","0",",X","9","","","","19600824","+,,X","19600831","+,,X","19600831","+,,X","19600804",",,X","19600801",",,X","-1.7",",X,24,+","0",",,X,31,+","0",",,X,31,+","4.6",",,X,04,","10.0",",X,01,","852.3","X","441.7",",X","4.6",",,,X","0",",,,X","4.08",",X","6.36",",,,X","1.81",",,,X","135",",X","19.5",",X"
"GLW00017611","1960-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","6",",X","3",",X","0",",X","20",",X","3",",X","0",",X","30",",X","23",",X","0",",X","0",",X","11","","","","19600928",",,X","19600915","+,,X","19600913",",,X","19600913",",,X","19600905","+,,X","-15.0",",X,28,","127",",,X,15,+","74",",,X,13,","7.4",",,X,13,","3.9",",X,05,+","1564.0","X","711.7",",X","22.1",",,,X","218",",,,X","-5.39",",X","-3.36",",,,X","-7.42",",,,X","","","",""
"GLW00017611","1960-10","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","14",",X","7",",X","0",",X","31",",X","7",",X","0",",X","31",",X","30",",X","0",",X","0",",X","11","","","","19601031","+,,X","19601031",",,X","19601029",",,X","19601029",",,X","19601011",",,X","-17.2",",X,31,+","533",",,X,31,","84",",,X,29,","8.4",",,X,29,","0.6",",X,11,","2366.9","X","802.9",",X","43.5",",,,X","435",",,,X","-7.57",",X","-5.25",",,,X","-9.88",",,,X","135",",X","26.2",",X"
"GLW00017611","1960-11","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","13",",X","4",",X","0",",X","30",",X","4",",X","11",",X","30",",X","30",",X","0",",X","0",",X","10","","","","19601109",",,X","19601118","+,,X","19601112",",,X","19601112",",,X","19601114",",,X","-25.6",",X,09,","737",",,X,18,+","117",",,X,12,","11.7",",,X,12,","-1.7",",X,14,","3350.9","X","984.0",",X","37.6",",,,X","376",",,,X","-14.47",",X","-11.58",",,,X","-17.36",",,,X","","","",""
"GLW00017611","1961-04","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017611","1961-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","11",",X","1",",X","0",",X","21",",X","1",",X","4",",X","31",",X","31",",X","0",",X","0",",X","12","","","","19610506","+,,X","19610527","+,,X","19610518",",,X","19610518",",,X","19610514",",,X","-20.6",",X,06,+","127",",,X,27,+","25",",,X,18,","2.5",",,X,18,","-1.7",",X,14,","","","891.0",",X","14.8",",,,X","148",",,,X","-10.41",",X","-7.67",",,,X","-13.15",",,,X","90",",X","21.6",",X"
"GLW00017611","1961-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","9",",X","1",",X","0",",X","10",",X","1",",X","0",",X","23",",X","7",",X","0",",X","0",",X","17","","","","19610601",",,X","19610601",",,X","19610620",",,X","19610620",",,X","19610614","+,,X","-9.4",",X,01,","102",",,X,01,","25",",,X,20,","2.5",",,X,20,","7.2",",X,14,+","","","547.2",",X","9.5",",,,X","95",",,,X","0.09",",X","1.98",",,,X","-1.79",",,,X","135",",X","22.6",",X"
"GLW00017611","1961-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","9",",X","2",",X","0",",X","0",",X","2",",X","0",",X","11",",X","1",",X","0",",X","0",",X","11","","","","19610712","+,,X","19610730","+,,X","19610730",",,X","19610730",",,X","19610724",",,X","-1.7",",X,12,+","0",",T,X,30,+","43",",,X,30,","4.3",",,X,30,","11.7",",X,24,","450.6","X","450.6",",X","12.9",",,,X","100",",,,X","3.80",",X","5.91",",,,X","1.69",",,,X","113","1,X","24.2","1,X"
"GLW00017611","1961-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","8",",X","2",",X","0",",X","1",",X","2",",X","0",",X","13",",X","3",",X","0",",X","0",",X","10","","","","19610830",",,X","19610826",",,X","19610825",",,X","19610825",",,X","19610808",",,X","-6.7",",X,30,","25",",,X,26,","94",",,X,25,","9.4",",,X,25,","10.0",",X,08,","952.1","X","501.5",",X","17.9",",,,X","176",",,,X","2.15",",X","4.24",",,,X","0.07",",,,X","158",",X","28.8",",X"
"GLW00017611","1961-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","17",",X","4",",X","0",",X","23",",X","4",",X","0",",X","30",",X","28",",X","0",",X","0",",X","13","","","","19610924",",,X","19610930",",,X","19610918",",,X","19610918",",,X","19610901",",,X","-15.0",",X,24,","229",",,X,30,","152",",,X,18,","15.2",",,X,18,","1.7",",X,01,","1706.7","X","754.6",",X","52.1",",,,X","521",",,,X","-6.82",",X","-4.75",",,,X","-8.89",",,,X","113",",X","21.6",",X"
"GLW00017611","1961-10","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","13",",X","5",",X","0",",X","31",",X","5",",X","10",",X","31",",X","31",",X","0",",X","0",",X","13","","","","19611018",",,X","19611016","+,,X","19611010",",,X","19611010",",,X","19611003","+,,X","-22.2",",X,18,","229",",,X,16,+","66",",,X,10,","6.6",",,X,10,","-3.3",",X,03,+","2654.5","X","947.8",",X","29.0",",,,X","290",",,,X","-12.24",",X","-9.40",",,,X","-15.08",",,,X","135",",X","30.8",",X"
"GLW00017611","1961-11","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","4",",X","1",",X","0",",X","30",",X","1",",X","26",",X","30",",X","30",",X","0",",X","0",",X","3","","","","19611127",",,X","19611130","+,,X","19611122",",,X","19611122",",,X","19611101",",,X","-30.0",",X,27,","76",",,X,30,+","33",",,X,22,","3.3",",,X,22,","-5.0",",X,01,","3777.2","X","1122.7",",X","4.8",",,,X","48",",,,X","-19.09",",X","-16.13",",,,X","-22.05",",,,X","113",",X","24.7",",X"
"GLW00017611","1961-12","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","9",",X","1",",X","0",",X","31",",X","1",",X","23",",X","31",",X","31",",X","0",",X","0",",X","5","","","","19611217","+,,X","19611228","+,,X","19611216",",,X","19611216",",,X","19611231",",,X","-35.6",",X,17,+","152",",,X,28,+","66",",,X,16,","6.6",",,X,16,","-2.8",",X,31,","5010.5","X","1233.3",",X","14.7",",,,X","147",",,,X","-21.45",",X","-17.91",",,,X","-24.99",",,,X","113",",X","27.2",",X"
"GLW00017611","1962-01","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","10",",X","0",",X","0",",X","31",",X","0",",X","25",",X","31",",X","31",",X","0",",X","0",",X","11","","","","19620109",",,X","19620112","+,,X","19620110",",,X","19620110",",,X","19620113",",,X","-32.8",",X,09,","178",",,X,12,+","20",",,X,10,","2.0",",,X,10,","-4.4",",X,13,","6169.0","X","1158.5",",X","10.6",",,,X","106",",,,X","-19.04",",X","-15.40",",,,X","-22.68",",,,X","68",",X","25.7",",X"
"GLW00017611","1962-02","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","5",",X","1",",X","0",",X","28",",X","1",",X","28",",X","28",",X","28",",X","0",",X","0",",X","8","","","","19620225",",,X","19620228","+,,X","19620203",",,X","19620203",",,X","19620202",",,X","-36.7",",X,25,","76",",,X,28,+","66",",,X,03,","6.6",",,X,03,","-12.2",",X,02,","7408.1","X","1239.1",",X","13.7",",,,X","137",",,,X","-25.92",",X","-22.74",",,,X","-29.11",",,,X","113",",X","31.9",",X"
"GLW00017611","1962-03","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","5",",X","2",",X","0",",X","31",",X","2",",X","22",",X","31",",X","31",",X","0",",X","0",",X","9","","","","19620328",",,X","19620331","+,,X","19620320",",,X","19620320",",,X","19620321","+,,X","-25.6",",X,28,","152",",,X,31,+","36",",,X,20,","3.6",",,X,20,","-3.3",",X,21,+","8473.8","X","1065.7",",X","11.3",",,,X","113",",,,X","-16.04",",X","-12.83",",,,X","-19.26",",,,X","113",",X","22.1",",X"
"GLW00017611","1962-04","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","0","1,X","0","1,X","0","1,X","30",",X","1",",X","18",",X","30",",X","29",",X","0",",X","0",",X","10","","","","19620407",",,X","19620430","+,,X","19620430",",,X","19620429","+,1,X","19620428",",,X","-25.6",",X,07,","152",",,X,30,+","173",",,X,30,","0.0","1,T,X,29,+","0.6",",X,28,","9466.6","X","992.8",",X","0.0","1,T,,X","173",",,,X","-14.76",",X","-11.45",",,,X","-18.07",",,,X","68",",X","20.6",",X"
"GLW00017611","1962-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","2",",X","0",",X","0",",X","31",",X","0",",X","0",",X","31",",X","27",",X","0",",X","0",",X","19","","","","19620513",",,X","19620528","+,,X","19620512",",,X","19620512",",,X","19620530",",,X","-17.2",",X,13,","254",",,X,28,+","10",",,X,12,","1.0",",,X,12,","5.6",",X,30,","10292.4","X","825.8",",X","1.5",",,,X","15",",,,X","-8.30",",X","-5.25",",,,X","-11.36",",,,X","45",",X","29.3",",X"
"GLW00017611","1962-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","0",",X","15",",X","0",",X","0",",X","0",",X","7","","","","19620602",",,X","19620605","+,,X","19620629","+,,X","19620629","+,,X","19620613",",,X","-6.1",",X,02,","127",",,X,05,+","0",",T,X,29,+","0.0",",T,X,29,+","7.8",",X,13,","10783.6","X","491.2",",X","0.0",",T,,X","0",",T,,X","1.96",",X","4.45",",,,X","-0.53",",,,X","113",",X","22.6",",X"
"GLW00017611","1962-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","7",",X","0",",X","0",",X","0",",X","7","","","","19620705",",,X","19620706","+,,X","19620705",",,X","19620705",",,X","19620716",",,X","-1.7",",X,05,","0",",T,X,06,+","18",",,X,05,","1.8",",,X,05,","11.1",",X,16,","414.0","X","414.0",",X","1.8",",,,X","18",",,,X","4.98",",X","7.00",",,,X","2.95",",,,X","113",",X","30.3",",X"
"GLW00017611","1962-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","7",",X","3",",X","0",",X","15",",X","3",",X","0",",X","17",",X","14",",X","0",",X","0",",X","14","","","","19620823","+,,X","19620821","+,,X","19620817",",,X","19620817",",,X","19620804",",,X","-10.0",",X,23,+","127",",,X,21,+","89",",,X,17,","8.9",",,X,17,","10.0",",X,04,","976.3","X","562.3",",X","18.6",",,,X","176",",,,X","0.20",",X","2.16",",,,X","-1.77",",,,X","135",",X","37.5",",X"
"GLW00017611","1962-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","7",",X","3",",X","0",",X","30",",X","3",",X","1",",X","30",",X","24",",X","0",",X","0",",X","14","","","","19620915",",,X","19620910",",,X","19620909",",,X","19620909",",,X","19620903","+,,X","-17.8",",X,15,","127",",,X,10,","48",",,X,09,","4.8",",,X,09,","2.8",",X,03,+","1758.8","X","782.5",",X","15.3",",,,X","153",",,,X","-7.75",",X","-5.47",",,,X","-10.04",",,,X","158",",X","32.4",",X"
"GLW00017611","1962-10","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","10",",X","5",",X","0",",X","31",",X","5",",X","1",",X","31",",X","31",",X","0",",X","0",",X","18","","","","19621006",",,X","19621031","+,,X","19621011",",,X","19621011",",,X","19621013",",,X","-17.8",",X,06,","356",",,X,31,+","74",",,X,11,","7.4",",,X,11,","-5.6",",X,13,","2687.5","X","928.7",",X","30.3",",,,X","303",",,,X","-11.63",",X","-9.39",",,,X","-13.86",",,,X","135",",X","15.9",",X"
"GLW00017611","1962-11","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","11",",X","1",",X","0",",X","30",",X","1",",X","16",",X","30",",X","30",",X","0",",X","0",",X","19","","","","19621130",",,X","19621121","+,,X","19621114",",,X","19621114",",,X","19621127",",,X","-26.7",",X,30,","483",",,X,21,+","33",",,X,14,","3.3",",,X,14,","-6.7",",X,27,","3712.2","X","1024.7",",X","13.0",",,,X","130",",,,X","-15.82",",X","-12.81",",,,X","-18.84",",,,X","135",",X","29.8",",X"
"GLW00017611","1962-12","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","7",",X","0",",X","0",",X","31",",X","0",",X","27",",X","31",",X","31",",X","0",",X","0",",X","9","","","","19621222",",,X","19621228","+,,X","19621230","+,,X","19621230","+,,X","19621227",",,X","-28.9",",X,22,","254",",,X,28,+","10",",,X,30,+","1.0",",,X,30,+","-3.3",",X,27,","4871.9","X","1159.7",",X","3.7",",,,X","37",",,,X","-19.08",",X","-15.55",",,,X","-22.60",",,,X","158",",X","36.0",",X"
"GLW00017611","1963-01","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","9",",X","3",",X","0",",X","31",",X","3",",X","28",",X","31",",X","31",",X","0",",X","0",",X","5","","","","19630105",",,X","19630101",",,X","19630113",",,X","19630113",",,X","19630113",",,X","-32.2",",X,05,","203",",,X,01,","203",",,X,13,","20.3",",,X,13,","-1.7",",X,13,","6025.0","X","1153.1",",X","31.9",",,,X","319",",,,X","-18.86",",X","-14.37",",,,X","-23.35",",,,X","135",",X","36.5",",X"
"GLW00017611","1963-02","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","4",",X","1",",X","0",",X","28",",X","1",",X","18",",X","28",",X","28",",X","0",",X","0",",X","6","","","","19630228",",,X","19630214","+,,X","19630211",",,X","19630211",",,X","19630204",",,X","-28.9",",X,28,","127",",,X,14,+","33",",,X,11,","3.3",",,X,11,","-2.8",",X,04,","7013.3","X","988.3",",X","4.9",",,,X","49",",,,X","-16.96",",X","-13.48",",,,X","-20.45",",,,X","180",",X","31.4",",X"
"GLW00017611","1963-03","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","6",",X","0",",X","0",",X","31",",X","0",",X","29",",X","31",",X","31",",X","0",",X","0",",X","14","","","","19630325","+,,X","19630331","+,,X","19630313",",,X","19630313",",,X","19630330",",,X","-36.1",",X,25,+","76",",,X,31,+","8",",,X,13,","0.8",",,X,13,","-5.0",",X,30,","8322.0","X","1308.7",",X","2.5",",,,X","25",",,,X","-23.88",",X","-19.94",",,,X","-27.83",",,,X","68",",X","35.0",",X"
"GLW00017611","1963-04","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","3",",X","0",",X","0",",X","30",",X","0",",X","21",",X","30",",X","30",",X","0",",X","0",",X","5","","","","19630402",",,X","19630403","+,,X","19630404",",,X","19630404",",,X","19630414",",,X","-35.6",",X,02,","76",",,X,03,+","5",",,X,04,","0.5",",,X,04,","-2.2",",X,14,","9386.9","X","1064.9",",X","1.1",",,,X","11",",,,X","-17.17",",X","-13.88",",,,X","-20.45",",,,X","113","1,X","23.1","1,X"
"GLW00017611","1963-05","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","6",",X","5",",X","0",",X","31",",X","5",",X","0",",X","31",",X","30",",X","0",",X","0",",X","16","","","","19630504",",,X","19630530",",,X","19630530",",,X","19630530",",,X","19630509",",,X","-16.7",",X,04,","127",",,X,30,","94",",,X,30,","9.4",",,X,30,","1.1",",X,09,","10221.4","X","834.5",",X","22.0",",,,X","220",",,,X","-8.59",",X","-5.91",",,,X","-11.26",",,,X","135","3,X","21.6","3,X"
"GLW00017611","1963-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","3",",X","0",",X","0",",X","30",",X","0",",X","0",",X","26",",X","10",",X","0",",X","0",",X","11","","","","19630608","+,,X","19630601",",,X","19630629","+,,X","19630627",",,X","19630613",",,X","-5.6",",X,08,+","51",",,X,01,","5",",,X,29,+","0.8",",,X,27,","8.3",",X,13,","10784.7","X","563.3",",X","1.8",",,,X","15",",,,X","-0.44",",X","1.77",",,,X","-2.66",",,,X","113",",X","23.1",",X"
