"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES"
"GME00125783","1979-01","54.5","11.2331","5.0","MARIENLEUCHTE, GM","31",",","19790125","+,,E","240",",,E,25,+"
"GME00125783","1979-02","54.5","11.2331","5.0","MARIENLEUCHTE, GM","28",",","19790221","+,,E","460",",,E,21,+"
"GME00125783","1979-03","54.5","11.2331","5.0","MARIENLEUCHTE, GM","12",",","19790301",",,E","300",",,E,01,"
"GME00125783","1979-04","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19790430","+,,E","0",",,E,30,+"
"GME00125783","1979-05","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19790531","+,,E","0",",,E,31,+"
"GME00125783","1979-06","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19790630","+,,E","0",",,E,30,+"
"GME00125783","1979-07","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19790731","+,,E","0",",,E,31,+"
"GME00125783","1979-08","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19790831","+,,E","0",",,E,31,+"
"GME00125783","1979-09","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19790930","+,,E","0",",,E,30,+"
"GME00125783","1979-10","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19791031","+,,E","0",",,E,31,+"
"GME00125783","1979-11","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19791130","+,,E","0",",,E,30,+"
"GME00125783","1979-12","54.5","11.2331","5.0","MARIENLEUCHTE, GM","2",",","19791215",",,E","130",",,E,15,"
"GME00125783","1980-01","54.5","11.2331","5.0","MARIENLEUCHTE, GM","10",",","19800130",",,E","80",",,E,30,"
"GME00125783","1980-02","54.5","11.2331","5.0","MARIENLEUCHTE, GM","10",",","19800207",",,E","120",",,E,07,"
"GME00125783","1980-03","54.5","11.2331","5.0","MARIENLEUCHTE, GM","2",",","19800304","+,,E","30",",,E,04,+"
"GME00125783","1980-04","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19800430","+,,E","0",",,E,30,+"
"GME00125783","1980-05","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19800531","+,,E","0",",,E,31,+"
"GME00125783","1980-06","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19800630","+,,E","0",",,E,30,+"
"GME00125783","1980-07","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19800731","+,,E","0",",,E,31,+"
"GME00125783","1980-08","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19800831","+,,E","0",",,E,31,+"
"GME00125783","1980-09","54.5","11.2331","5.0","MARIENLEUCHTE, GM","0",",","19800930","+,,E","0",",,E,30,+"
