"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013880","1937-03","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","3.9","1,Z","6",",Z","5",",Z","0",",Z","0",",Z","0",",Z","0","1,Z","5","1,Z","0",",Z","16",",Z","0",",Z","","","","","19370303",",1,Z","19370331","+,,Z","19370331","+,,Z","","","19370320",",,Z","19370319",",,Z","-1.7","1,Z,03,","0",",,Z,31,+","0",",,Z,31,+","20.1",",,Z,20,","26.1",",Z,19,","","","","","","","153.4",",Z","","","","","","","","","","","","","","","39.8",",,,Z","","","","","","","","","0",",,,Z","13.14","1,Z","19.54",",,,Z","6.75","1,,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-04","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","36.7",",Z","11",",Z","8",",Z","4",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","22",",Z","0",",Z","","","","","19370413","+,,Z","19370430","+,,Z","19370430","+,,Z","","","19370429",",,Z","19370423",",,Z","1.7",",Z,13,+","0",",,Z,30,+","0",",,Z,30,+","48.5",",,Z,29,","31.7",",Z,23,","","","","","","","61.4",",Z","","","","","","","","","","","","","","","196.7",",,,Z","","","","","","","","","0",",,,Z","17.51",",Z","23.65",",,,Z","11.37",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-05","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","114.3",",Z","7",",Z","5",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","4",",Z","","","","","19370516",",,Z","19370531","+,,Z","19370531","+,,Z","","","19370519",",,Z","19370529",",,Z","9.4",",Z,16,","0",",,Z,31,+","0",",,Z,31,+","11.2",",,Z,19,","33.9",",Z,29,","","","","","","","2.8",",Z","","","","","","","","","","","","","","","40.0",",,,Z","","","","","","","","","0",",,,Z","21.93",",Z","28.30",",,,Z","15.56",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-06","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","238.0",",Z","10",",Z","7",",Z","2",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","30",",Z","16",",Z","","","","","19370625","+,,Z","19370630","+,,Z","19370630","+,,Z","","","19370616",",,Z","19370628","+,,Z","16.7",",Z,25,+","0",",,Z,30,+","0",",,Z,30,+","63.0",",,Z,16,","35.0",",Z,28,+","","","","","","","0.0",",Z","","","","","","","","","","","","","","","158.0",",,,Z","","","","","","","","","0",",,,Z","26.27",",Z","31.81",",,,Z","20.72",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-07","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","248.5",",Z","18",",Z","13",",Z","3",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","11",",Z","","","","","19370722",",,Z","19370731","+,,Z","19370731","+,,Z","","","19370719",",,Z","19370716","+,,Z","18.3",",Z,22,","0",",,Z,31,+","0",",,Z,31,+","57.2",",,Z,19,","35.6",",Z,16,+","","","0.0","Z","","","0.0",",Z","","","","","","","","","","","","","","","217.8",",,,Z","","","","","","","","","0",",,,Z","26.35",",Z","31.16",",,,Z","21.53",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-08","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","254.4",",Z","13",",Z","9",",Z","2",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","31",",Z","9",",Z","","","","","19370802",",,Z","19370831","+,,Z","19370831","+,,Z","","","19370820",",,Z","19370827",",,Z","19.4",",Z,02,","0",",,Z,31,+","0",",,Z,31,+","38.6",",,Z,20,","33.9",",Z,27,","","","0.0","Z","","","0.0",",Z","","","","","","","","","","","","","","","140.6",",,,Z","","","","","","","","","0",",,,Z","26.54",",Z","31.48",",,,Z","21.60",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-09","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","142.1",",Z","9",",Z","4",",Z","2",",Z","0",",Z","0",",Z","0",",Z","0",",Z","0",",Z","30",",Z","2",",Z","","","","","19370926",",,Z","19370930","+,,Z","19370930","+,,Z","","","19370912",",,Z","19370907","+,,Z","12.8",",Z,26,","0",",,Z,30,+","0",",,Z,30,+","61.0",",,Z,12,","32.8",",Z,07,+","","","0.6","Z","","","0.6",",Z","","","","","","","","","","","","","","","115.4",",,,Z","","","","","","","","","0",",,,Z","23.05",",Z","28.17",",,,Z","17.93",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-10","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","63.4",",Z","7",",Z","5",",Z","0",",Z","0",",Z","0",",Z","0",",Z","1",",Z","0",",Z","21",",Z","1",",Z","","","","","19371025",",,Z","19371031","+,,Z","19371031","+,,Z","","","19371004",",,Z","19371007",",,Z","-0.6",",Z,25,","0",",,Z,31,+","0",",,Z,31,+","14.2",",,Z,04,","32.2",",Z,07,","","","84.3","Z","","","83.7",",Z","","","","","","","","","","","","","","","52.6",",,,Z","","","","","","","","","0",",,,Z","17.68",",Z","23.42",",,,Z","11.93",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-11","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","3.7",",Z","9",",Z","6",",Z","2",",Z","0",",Z","0",",Z","0",",Z","6",",Z","0",",Z","11",",Z","0",",Z","","","","","19371122",",,Z","19371130","+,,Z","19371130","+,,Z","","","19371111",",,Z","19371109",",,Z","-5.0",",Z,22,","0",",,Z,30,+","0",",,Z,30,+","40.1",",,Z,11,","26.7",",Z,09,","","","273.6","Z","","","189.3",",Z","","","","","","","","","","","","","","","99.7",",,,Z","","","","","","","","","0",",,,Z","12.14",",Z","18.48",",,,Z","5.80",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00013880","1937-12","32.89945","-80.0407","11.8","CHARLESTON INTL. AIRPORT, SC US","","","","","","","","","","","","","0.0",",Z","7",",Z","3",",Z","1",",Z","0",",Z","0",",Z","0",",Z","10",",Z","0",",Z","3",",Z","0",",Z","","","","","19371207",",,Z","19371231","+,,Z","19371231","+,,Z","","","19371223",",,Z","19371217",",,Z","-9.4",",Z,07,","0",",,Z,31,+","0",",,Z,31,+","30.2",",,Z,23,","22.2",",Z,17,","","","584.3","Z","","","310.7",",Z","","","","","","","","","","","","","","","37.1",",,,Z","","","","","","","","","0",",,,Z","8.31",",Z","14.75",",,,Z","1.86",",,,Z","","","","","","","","","","","","","","","","","","","","","","","",""
