"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"FMC00914898","1990-10","5.2739","162.9742","4.0","UTWA, FM FM","","","276.4",",0","20",",0","17",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","19901029","+,,0","19901031","+,,0","19901031","+,,0","19901029","+,,0","19901028","+,,0","22.2",",0,29,+","0",",,0,31,+","0",",,0,31,+","31.5",",,0,29,+","31.7",",0,28,+","","","0.0",",0","206.8",",,,0","0",",,,0","27.25",",0","30.38",",,,0","24.12",",,,0"
"FMC00914898","1990-11","5.2739","162.9742","4.0","UTWA, FM FM","","","269.1",",0","17",",0","15",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","19901112",",,0","19901130","+,,0","19901130","+,,0","19901107",",,0","19901105","+,,0","22.8",",0,12,","0",",,0,30,+","0",",,0,30,+","80.5",",,0,07,","31.7",",0,05,+","","","0.0",",0","326.1",",,,0","0",",,,0","27.30",",0","30.02",",,,0","24.59",",,,0"
"FMC00914898","1990-12","5.2739","162.9742","4.0","UTWA, FM FM","","","261.7","2,0","17",",0","13",",0","3",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","31",",0","0",",0","19901216","+,2,0","19901231","+,,0","19901231","+,,0","19901216",",,0","19901225","+,,0","22.8","2,0,16,+","0",",,0,31,+","0",",,0,31,+","77.0",",,0,16,","31.7",",0,25,+","","","0.0",",0","295.7",",,,0","0",",,,0","27.30","2,0","30.33",",,,0","24.28","2,,,0"
"FMC00914898","1991-01","5.2739","162.9742","4.0","UTWA, FM FM","252.4","0","252.4","3,0","20",",0","17",",0","6",",0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","28","3,0","0","3,0","19910115",",3,0","19910131","+,,0","19910131","+,,0","19910103",",,0","19910107",",3,0","22.8","3,0,15,","0",",,0,31,+","0",",,0,31,+","73.7",",,0,03,","31.1","3,0,07,","","","0.0","3,0","435.2",",,,0","0",",,,0","27.35","3,0","29.58","3,,,0","25.12","3,,,0"
"FMC00914898","1991-02","5.2739","162.9742","4.0","UTWA, FM FM","520.9","0","268.5",",0","15",",0","14",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","6",",0","19910227",",,0","19910228","+,,0","19910228","+,,0","19910227",",,0","19910222","+,,0","22.8",",0,27,","0",",,0,28,+","0",",,0,28,+","72.4",",,0,27,","32.2",",0,22,+","","","0.0",",0","258.6",",,,0","0",",,,0","27.92",",0","30.88",",,,0","24.97",",,,0"
"FMC00914898","1991-03","5.2739","162.9742","4.0","UTWA, FM FM","794.4","0","273.5",",0","25",",0","24",",0","11",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","19910318","+,,0","19910331","+,,0","19910331","+,,0","19910311",",,0","19910331","+,,0","23.3",",0,18,+","0",",,0,31,+","0",",,0,31,+","123.7",",,0,11,","30.6",",0,31,+","","","0.0",",0","671.1",",,,0","0",",,,0","27.16",",0","30.23",",,,0","24.08",",,,0"
"FMC00914898","1991-04","5.2739","162.9742","4.0","UTWA, FM FM","1062.8","0","268.4",",0","19",",0","17",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","2",",0","19910414",",,0","19910430","+,,0","19910430","+,,0","19910418",",,0","19910426","+,,0","22.2",",0,14,","0",",,0,30,+","0",",,0,30,+","100.6",",,0,18,","32.2",",0,26,+","","","0.0",",0","561.0",",,,0","0",",,,0","27.28",",0","30.30",",,,0","24.25",",,,0"
"FMC00914898","1991-05","5.2739","162.9742","4.0","UTWA, FM FM","1353.6","0","290.8",",0","24",",0","22",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","19910517","+,,0","19910531","+,,0","19910531","+,,0","19910505",",,0","19910524",",,0","23.3",",0,17,+","0",",,0,31,+","0",",,0,31,+","179.1",",,0,05,","32.2",",0,24,","","","0.0",",0","493.0",",,,0","0",",,,0","27.71",",0","31.00",",,,0","24.43",",,,0"
"FMC00914898","1991-06","5.2739","162.9742","4.0","UTWA, FM FM","1633.5","0","279.9",",0","24",",0","23",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","19910621","+,,0","19910630","+,,0","19910630","+,,0","19910607",",,0","19910625","+,,0","23.3",",0,21,+","0",",,0,30,+","0",",,0,30,+","143.5",",,0,07,","32.2",",0,25,+","","","0.0",",0","576.4",",,,0","0",",,,0","27.66",",0","31.05",",,,0","24.28",",,,0"
"FMC00914898","1991-07","5.2739","162.9742","4.0","UTWA, FM FM","1910.7","0","277.2",",0","22",",0","19",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","19910731","+,,0","19910731","+,,0","19910731","+,,0","19910719",",,0","19910703",",,0","23.3",",0,31,+","0",",,0,31,+","0",",,0,31,+","77.0",",,0,19,","32.2",",0,03,","0.0","0","0.0",",0","377.9",",,,0","0",",,,0","27.28",",0","30.69",",,,0","23.86",",,,0"
