"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"MGM00044314","1976-02","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","22","4,S","0","4,S","0","4,S","","","","","","","19760229",",4,S","","","","","","","4.0","4,S,29,","","","","","-5.36","4,,,S","",""
"MGM00044314","1977-10","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","1","5,S","1","5,S","0","5,S","","","","","","","19771013",",5,S","","","","","","","22.0","5,S,13,","","","","","10.08","5,,,S","",""
"MGM00044314","1978-01","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","27","4,S","0","4,S","0","4,S","","","","","","","19780110",",4,S","","","","","","","-4.0","4,S,10,","","","","","-13.52","4,,,S","",""
"MGM00044314","1978-02","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","21","3,S","0","3,S","0","3,S","","","","","","","19780225",",3,S","","","","","","","5.0","3,S,25,","","","","","-10.52","3,,,S","",""
"MGM00044314","1978-04","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","4,S","1","4,S","0","4,S","","","","","","","19780427",",4,S","","","","","","","23.0","4,S,27,","","","","","10.08","4,,,S","",""
"MGM00044314","1978-06","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","5,S","18","5,S","1","5,S","","","","","","","19780626",",5,S","","","","","","","34.0","5,S,26,","","","","","25.20","5,,,S","",""
"MGM00044314","1978-11","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","16","3,S","0","3,S","0","3,S","","","","","","","19781104",",3,S","","","","","","","11.0","3,S,04,","","","","","-1.59","3,,,S","",""
"MGM00044314","1979-01","47.167","115.633","907.0","MATAD, MG","","","","","","","4","4,","","","","","","","","","","","","","19790113",",4,S","","","","","","","191","4,,S,13,","","","","","","","","","","","",""
"MGM00044314","1979-02","47.167","115.633","907.0","MATAD, MG","","","","","","","0","2,","","","","","","","","","","","","","19790228","+,2,S","","","","","","","10","2,,S,28,+","","","","","","","","","","","",""
"MGM00044314","1979-03","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","21","3,S","0","3,S","0","3,S","","","","","","","19790327",",3,S","","","","","","","8.0","3,S,27,","","","","","-2.07","3,,,S","",""
"MGM00044314","1979-04","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","5","4,S","0","4,S","0","4,S","","","","","","","19790420","+,4,S","","","","","","","15.0","4,S,20,+","","","","","6.27","4,,,S","",""
"MGM00044314","1979-05","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","2,S","14","2,S","2","2,S","","","","","","","19790529","+,2,S","","","","","","","34.0","2,S,29,+","","","","","20.24","2,,,S","",""
"MGM00044314","1979-07","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","1,S","28","1,S","0","1,S","","","","","","","19790708","+,1,S","","","","","","","32.0","1,S,08,+","","","","","26.93","1,,,S","",""
"MGM00044314","1979-08","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","5,S","18","5,S","0","5,S","","","","","","","19790820","+,5,S","","","","","","","31.0","5,S,20,+","","","","","24.23","5,,,S","",""
"MGM00044314","1979-10","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","3","2,S","4","2,S","0","2,S","","","","","","","19791008",",2,S","","","","","","","25.0","2,S,08,","","","","","12.00","2,,,S","",""
"MGM00044314","1980-01","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","26","5,S","0","5,S","0","5,S","","","","","","","19800101",",5,S","","","","","","","-8.0","5,S,01,","","","","","-17.00","5,,,S","",""
"MGM00044314","1980-03","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","21","3,S","0","3,S","0","3,S","","","","","","","19800327",",3,S","","","","","","","14.0","3,S,27,","","","","","-2.07","3,,,S","",""
"MGM00044314","1980-06","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","4,S","21","4,S","6","4,S","","","","","","","19800625",",4,S","","","","","","","38.0","4,S,25,","","","","","27.08","4,,,S","",""
"MGM00044314","1980-08","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","5,S","21","5,S","0","5,S","","","","","","","19800820",",5,S","","","","","","","31.0","5,S,20,","","","","","24.00","5,,,S","",""
"MGM00044314","1980-09","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","4,S","6","4,S","0","4,S","","","","","","","19800909",",4,S","","","","","","","26.0","4,S,09,","","","","","16.31","4,,,S","",""
"MGM00044314","1980-10","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","4","3,S","2","3,S","0","3,S","","","","","","","19801002",",3,S","","","","","","","26.0","3,S,02,","","","","","6.25","3,,,S","",""
"MGM00044314","1980-11","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","11","5,S","0","5,S","0","5,S","","","","","","","19801118","+,5,S","","","","","","","10.0","5,S,18,+","","","","","1.32","5,,,S","",""
"MGM00044314","1981-01","47.167","115.633","907.0","MATAD, MG","","","","","","","1","3,","","","","","26","5,S","0","5,S","0","5,S","","","19810127",",3,S","","","19810122","+,5,S","","","109","3,,S,27,","","","-10.0","5,S,22,+","","","","","-15.23","5,,,S","",""
"MGM00044314","1981-02","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","25","3,S","0","3,S","0","3,S","","","","","","","19810211",",3,S","","","","","","","-3.0","3,S,11,","","","","","-11.52","3,,,S","",""
"MGM00044314","1981-03","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","16","3,S","0","3,S","0","3,S","","","","","","","19810316",",3,S","","","","","","","12.0","3,S,16,","","","","","1.07","3,,,S","",""
"MGM00044314","1981-05","47.167","115.633","907.0","MATAD, MG","","","","","","","","","","","","","0","2,S","6","2,S","0","2,S","","","","","","","19810521",",2,S","","","","","","","29.0","2,S,21,","","","","","16.90","2,,,S","",""
