"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013959","1941-01","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","0.0","0","0.0",",0","7",",0","3",",0","1",",0","0",",0","0",",0","0",",0","4",",0","0",",0","4",",0","0",",0","11","","","","19410118",",,0","19410131","+,,0","19410131","+,,0","","","19410113",",,0","19410101",",,0","-2.2",",0,18,","0",",,0,31,+","0",",,0,31,+","40.6",",,0,13,","23.3",",0,01,","","","","","246.1",",0","","","","","","","","","","","50.0",",,,0","","","","","","","0",",,,0","10.40",",0","15.62",",,,0","5.17",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-02","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","0.0","0","0.0",",0","9",",0","5",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","4",",0","0",",0","11","","","","19410209",",,0","19410228","+,,0","19410228","+,,0","","","19410201",",,0","19410216",",,0","-1.7",",0,09,","0",",,0,28,+","0",",,0,28,+","78.7",",,0,01,","23.3",",0,16,","","","","","262.2",",0","","","","","","","","","","","151.3",",,,0","","","","","","","0",",,,0","8.97",",0","13.73",",,,0","4.21",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-03","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","3.3","0","3.3",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","9","","","","19410318","+,,0","19410331","+,,0","19410331","+,,0","1","","19410306",",,0","19410331",",,0","1.1",",0,18,+","0",",,0,31,+","0",",,0,31,+","69.9",",,0,06,","28.3",",0,31,","","","","","213.9",",0","","","","","","","","","","","121.2",",,,0","","","","","","","0",",,,0","11.54",",0","17.03",",,,0","6.05",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-04","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","53.4","0","50.1",",0","11",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","15","","","","19410405",",,0","19410430","+,,0","19410430","+,,0","2","","19410422",",,0","19410417",",,0","6.7",",0,05,","0",",,0,30,+","0",",,0,30,+","20.8",",,0,22,","30.6",",0,17,","","","","","32.5",",0","","","","","","","","","","","95.9",",,,0","","","","","","","0",",,,0","18.92",",0","23.78",",,,0","14.06",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-05","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","226.8","0","173.4",",0","11",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","7","","","","19410503",",,0","19410531","+,,0","19410531","+,,0","7","","19410520","+,,0","19410517",",,0","13.3",",0,03,","0",",,0,31,+","0",",,0,31,+","20.6",",,0,20,+","34.4",",0,17,","","","","","0.0",",0","","","","","","","","","","","112.0",",,,0","","","","","","","0",",,,0","23.93",",0","29.43",",,,0","18.42",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-06","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","457.1","0","230.3",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","17",",0","6","","","","19410618",",,0","19410630","+,,0","19410630","+,,0","12","","19410610",",,0","19410630","+,,0","16.7",",0,18,","0",",,0,30,+","0",",,0,30,+","47.0",",,0,10,","34.4",",0,30,+","","","","","0.0",",0","","","","","","","","","","","102.0",",,,0","","","","","","","0",",,,0","26.01",",0","31.54",",,,0","20.48",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-07","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","775.2","0","318.1",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","4","","","","19410706",",,0","19410731","+,,0","19410731","+,,0","5","","19410711",",,0","19410730",",,0","20.0",",0,06,","0",",,0,31,+","0",",,0,31,+","61.5",",,0,11,","36.7",",0,30,","0.0","0","","","0.0",",0","","","","","","","","","","","107.5",",,,0","","","","","","","0",",,,0","28.60",",0","34.29",",,,0","22.90",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-08","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","1105.0","0","329.8",",0","7",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","19410813",",,0","19410831","+,,0","19410831","+,,0","8","","19410813",",,0","19410817",",,0","21.1",",0,13,","0",",,0,31,+","0",",,0,31,+","38.6",",,0,13,","38.3",",0,17,","0.0","0","","","0.0",",0","","","","","","","","","","","92.5",",,,0","","","","","","","0",",,,0","28.97",",0","35.10",",,,0","22.85",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-09","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","1358.1","0","253.1",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","20",",0","4","","","","19410926",",,0","19410930","+,,0","19410930","+,,0","2","","19410908",",,0","19410902",",,0","12.8",",0,26,","0",",,0,30,+","0",",,0,30,+","18.0",",,0,08,","36.7",",0,02,","0.0","0","","","0.0",",0","","","","","","","","","","","25.4",",,,0","","","","","","","0",",,,0","26.77",",0","32.55",",,,0","20.99",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013959","1941-10","31.61796","-97.2283","151.9","WACO REGIONAL AIRPORT, TX US","","","","","","","","","","","1517.4","0","159.3",",0","12",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","5",",0","15","","","","19411031",",,0","19411031","+,,0","19411031","+,,0","4","","19411003",",,0","19411008","+,,0","4.4",",0,31,","0",",,0,31,+","0",",,0,31,+","19.1",",,0,03,","32.8",",0,08,+","33.3","0","","","33.3",",0","","","","","","","","","","","77.8",",,,0","","","","","","","0",",,,0","22.40",",0","27.33",",,,0","17.47",",,,0","","","","","","","","","","","","","","","","","",""
