"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00014861","1926-01","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","16",",0","5",",0","0",",0","21",",0","4",",0","2",",0","23",",0","11",",0","0",",0","0",",0","19260129",",,0","19260110","+,,0","19260108",",,0","1","","19260118",",,0","19260105",",,0","-19.4",",0,29,","152",",,0,10,+","122",",,0,08,","17.0",",,0,18,","13.3",",0,05,","","","596.5",",0","72.4",",,,0","","","356",",,,0","-0.91",",0","2.76",",,,0","-4.57",",,,0","",""
"USW00014861","1926-02","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","18",",0","10",",0","0",",0","16",",0","4",",0","0",",0","24",",0","7",",0","0",",0","0",",0","19260211","+,,0","19260210","+,,0","19260210",",,0","1","","19260214",",,0","19260225",",,0","-12.2",",0,11,+","178",",,0,10,+","132",",,0,10,","15.7",",,0,14,","12.8",",0,25,","","","515.9",",0","88.1",",,,0","","","437",",,,0","-0.09",",0","4.00",",,,0","-4.19",",,,0","",""
"USW00014861","1926-03","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","15",",0","6",",0","0",",0","3",",0","1",",0","0",",0","21",",0","8",",0","0",",0","0",",0","19260305",",,0","19260309","+,,0","19260326",",,0","1","","19260331",",,0","19260319",",,0","-13.3",",0,05,","25",",,0,09,+","28",",,0,26,","8.9",",,0,31,","19.4",",0,19,","","","536.6",",0","44.2",",,,0","","","86",",,,0","1.02",",0","5.77",",,,0","-3.73",",,,0","",""
"USW00014861","1926-04","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","0.0","0","0.0",",0","14",",0","4",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","5",",0","0",",0","19260415",",,0","19260426","+,,0","19260401",",,0","2","","19260408",",,0","19260430",",,0","-5.0",",0,15,","0",",T,0,26,+","15",",,0,01,","16.3",",,0,08,","26.7",",0,30,","","","335.2",",0","37.3",",,,0","","","23",",,,0","7.16",",0","12.73",",,,0","1.60",",,,0","",""
"USW00014861","1926-05","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","26.1","0","26.1",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","21",",0","0",",0","19260504",",,0","19260531","+,,0","19260531","+,,0","7","","19260518",",,0","19260502",",,0","-0.6",",0,04,","0",",,0,31,+","0",",,0,31,+","21.6",",,0,18,","30.0",",0,02,","","","96.0",",0","53.4",",,,0","","","0",",,,0","16.08",",0","22.41",",,,0","9.75",",,,0","",""
"USW00014861","1926-06","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","76.0","0","49.9",",0","11",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","19260604",",,0","19260630","+,,0","19260624",",,0","8","","19260614",",,0","19260614",",,0","8.3",",0,04,","0",",,0,30,+","0",",T,0,24,","6.4",",,0,14,","31.1",",0,14,","","","27.4",",0","30.6",",,,0","","","0",",T,,0","19.08",",0","24.29",",,,0","13.88",",,,0","",""
"USW00014861","1926-07","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","223.7","0","147.7",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","19260716","+,,0","19260731","+,,0","19260731","+,,0","6","","19260713",",,0","19260721",",,0","11.7",",0,16,+","0",",,0,31,+","0",",,0,31,+","20.6",",,0,13,","36.1",",0,21,","1.9","0","1.9",",0","43.8",",,,0","","","0",",,,0","23.04",",0","28.37",",,,0","17.70",",,,0","",""
"USW00014861","1926-08","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","377.5","0","153.8",",0","13",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","19260831",",,0","19260831","+,,0","19260831","+,,0","9","","19260814",",,0","19260811",",,0","11.1",",0,31,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,14,","34.4",",0,11,","3.6","0","1.7",",0","75.1",",,,0","","","0",",,,0","23.24",",0","27.83",",,,0","18.66",",,,0","",""
"USW00014861","1926-09","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","445.0","0","67.5",",0","12",",0","11",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","19260926",",,0","19260930","+,,0","19260930","+,,0","8","","19260915",",,0","19260922",",,0","6.7",",0,26,","0",",,0,30,+","0",",,0,30,+","40.6",",,0,15,","30.6",",0,22,","35.9","0","32.3",",0","189.2",",,,0","","","0",",,,0","19.51",",0","24.15",",,,0","14.87",",,,0","",""
"USW00014861","1926-10","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","459.4","0","14.4",",0","19",",0","9",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","7",",0","0",",0","19261026",",,0","19261031","+,,0","19261031","+,,0","3","","19261018",",,0","19261004",",,0","-1.1",",0,26,","0",",,0,31,+","0",",T,0,31,+","20.3",",,0,18,","28.9",",0,04,","248.1","0","212.2",",0","104.7",",,,0","","","0",",T,,0","11.95",",0","16.07",",,,0","7.84",",,,0","",""
