"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00143483","1958-10","37.09444","-95.94222","231.6","HAVANA, KS US","2",",6","1",",6","0",",6","4","","","","19581001",",,6","8.9",",,6,01,","11.2",",,,6"
"USC00143483","1958-11","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","4",",6","0",",6","","","1","","19581118",",,6","11.9",",,6,18,","33.9",",,,6"
"USC00143483","1958-12","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","4",",6","0",",6","1","","","","19581231",",,6","10.4",",,6,31,","22.3",",,,6"
"USC00143483","1959-01","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","2",",6","0",",6","1","","","","19590121",",,6","10.2",",,6,21,","14.5",",,,6"
"USC00143483","1959-02","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","4",",6","0",",6","1","","","","19590210",",,6","23.1",",,6,10,","36.4",",,,6"
"USC00143483","1959-03","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","5",",6","0",",6","1","","","","19590326",",,6","20.8",",,6,26,","53.1",",,,6"
"USC00143483","1959-04","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","5",",6","0",",6","1","","","","19590408",",,6","18.5",",,6,08,","50.2",",,,6"
"USC00143483","1959-05","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","7",",6","1",",6","2","","","","19590518",",,6","66.8",",,6,18,","140.1",",,,6"
"USC00143483","1959-06","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","5",",6","2",",6","2","","","","19590627",",,6","28.2",",,6,27,","74.0",",,,6"
"USC00143483","1959-07","37.09444","-95.94222","231.6","HAVANA, KS US","14",",6","12",",6","3",",6","2","","","","19590715",",,6","68.6",",,6,15,","209.7",",,,6"
"USC00143483","1959-08","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","6",",6","0",",6","","","","","19590830",",,6","11.9",",,6,30,","47.6",",,,6"
"USC00143483","1959-09","37.09444","-95.94222","231.6","HAVANA, KS US","8",",6","7",",6","2",",6","1","","","","19590925",",,6","35.1",",,6,25,","130.4",",,,6"
"USC00143483","1959-10","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","9",",6","6",",6","1","","","","19591002",",,6","89.7",",,6,02,","399.1",",,,6"
"USC00143483","1959-11","37.09444","-95.94222","231.6","HAVANA, KS US","3",",6","1",",6","0",",6","","","","","19591104",",,6","13.2",",,6,04,","14.5",",,,6"
"USC00143483","1959-12","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","4",",6","1",",6","2","","","","19591217",",,6","33.3",",,6,17,","70.2",",,,6"
"USC00143483","1960-01","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","5",",6","0",",6","5","","","","19600114",",,6","12.7",",,6,14,","34.6",",,,6"
"USC00143483","1960-02","37.09444","-95.94222","231.6","HAVANA, KS US","9","1,6","7","1,6","0","1,6","2","","","","19600205",",1,6","18.8","1,,6,05,","53.8","1,,,6"
"USC00143483","1960-03","37.09444","-95.94222","231.6","HAVANA, KS US","9",",6","7",",6","0",",6","1","","","","19600330",",,6","11.9",",,6,30,","44.4",",,,6"
"USC00143483","1960-04","37.09444","-95.94222","231.6","HAVANA, KS US","7",",6","6",",6","1",",6","","","","","19600414",",,6","46.5",",,6,14,","78.4",",,,6"
"USC00143483","1960-05","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","7",",6","1",",6","","","","","19600529",",,6","38.1",",,6,29,","98.0",",,,6"
"USC00143483","1960-06","37.09444","-95.94222","231.6","HAVANA, KS US","11",",6","5",",6","0",",6","","","","","19600606",",,6","7.9",",,6,06,","31.8",",,,6"
"USC00143483","1960-07","37.09444","-95.94222","231.6","HAVANA, KS US","14",",6","7",",6","0",",6","","","","","19600704",",,6","20.3",",,6,04,","71.8",",,,6"
"USC00143483","1960-08","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","6",",6","1",",6","1","","","","19600808",",,6","57.4",",,6,08,","129.0",",,,6"
"USC00143483","1960-09","37.09444","-95.94222","231.6","HAVANA, KS US","4",",6","1",",6","0",",6","","","","","19600924",",,6","11.2",",,6,24,","13.7",",,,6"
"USC00143483","1960-10","37.09444","-95.94222","231.6","HAVANA, KS US","10",",6","7",",6","2",",6","2","","","","19601030",",,6","37.8",",,6,30,","113.7",",,,6"
"USC00143483","1960-11","37.09444","-95.94222","231.6","HAVANA, KS US","6",",6","2",",6","0",",6","2","","","","19601116",",,6","17.3",",,6,16,","26.0",",,,6"
"USC00143483","1960-12","37.09444","-95.94222","231.6","HAVANA, KS US","5",",6","2",",6","1",",6","","","","","19601211",",,6","43.7",",,6,11,","65.1",",,,6"
"USC00143483","1961-01","37.09444","-95.94222","231.6","HAVANA, KS US","2",",6","1",",6","0",",6","2","","","","19610115",",,6","8.9",",,6,15,","10.2",",,,6"
