"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"CA003036077","2012-09","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","","","0","3,C","15","3,C","0","3,C","","","20120909",",3,C","","","26.9","3,C,09,","21.99","3,,,C"
"CA003036077","2012-11","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","24","5,","","","","","","","20121110",",5,C","","","230","5,,C,10,","","","",""
"CA003036077","2012-12","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","30","1,","","","","","","","20121203",",1,C","","","120","1,,C,03,","","","",""
"CA003036077","2013-01","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","29","2,","","","","","","","20130115",",2,C","","","240","2,,C,15,","","","",""
"CA003036077","2013-02","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","9","4,","","","","","","","20130201",",4,C","","","80","4,,C,01,","","","",""
"CA003036077","2013-03","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","20","5,","","","","","","","20130307",",5,C","","","190","5,,C,07,","","","",""
"CA003036077","2013-11","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","27","2,","","","","","","","20131104",",2,C","","","170","2,,C,04,","","","",""
"CA003036077","2013-12","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","28","2,","","","","","","","20131203",",2,C","","","300","2,,C,03,","","","",""
"CA003036077","2014-01","51.1","-114.3667","1201.0","CALGARY SPRINGBANK A, AB CA","29","1,","","","","","","","20140114",",1,C","","","250","1,,C,14,","","","",""
