"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"GHM00065473","2016-09","5.617","0.0","18.0","TEMA, GH","0","5,S","0","5,S","","","","","","","20160927",",5,S","","","23.0","5,S,27,","","","","","","","24.56","5,,,S"
"GHM00065473","2020-01","5.617","0.0","18.0","TEMA, GH","0","4,S","0","4,S","","","","","","","20200103",",4,S","","","22.0","4,S,03,","","","","","","","26.17","4,,,S"
"GHM00065473","2023-06","5.617","0.0","18.0","TEMA, GH","0","4,S","0","4,S","0","5,S","25","5,S","0","5,S","20230607",",4,S","20230619",",5,S","21.9","4,S,07,","32.0","5,S,19,","26.65","6,S","30.05","5,,,S","23.25","4,,,S"
"GHM00065473","2023-07","5.617","0.0","18.0","TEMA, GH","0","3,S","0","3,S","0","5,S","26","5,S","1","5,S","20230713",",3,S","20230707",",5,S","21.2","3,S,13,","32.6","5,S,07,","26.69","6,S","30.02","5,,,S","23.36","3,,,S"
"GHM00065473","2023-08","5.617","0.0","18.0","TEMA, GH","0","2,S","0","2,S","0","5,S","26","5,S","0","5,S","20230820",",2,S","20230831","+,5,S","20.5","2,S,20,","29.8","5,S,31,+","26.04","7,S","29.05","5,,,S","23.04","2,,,S"
"GHM00065473","2023-09","5.617","0.0","18.0","TEMA, GH","0","5,S","0","5,S","","","","","","","20230923",",5,S","","","19.8","5,S,23,","","","","","","","23.23","5,,,S"
"GHM00065473","2023-10","5.617","0.0","18.0","TEMA, GH","0","3,S","0","3,S","","","","","","","20231018",",3,S","","","21.2","3,S,18,","","","","","","","24.37","3,,,S"
"GHM00065473","2023-11","5.617","0.0","18.0","TEMA, GH","0","5,S","0","5,S","0","4,S","26","4,S","22","4,S","20231107",",5,S","20231119",",4,S","22.0","5,S,07,","33.7","4,S,19,","28.97","8,S","32.63","4,,,S","25.30","5,,,S"
"GHM00065473","2023-12","5.617","0.0","18.0","TEMA, GH","0","2,S","0","2,S","0","5,S","26","5,S","26","5,S","20231215",",2,S","20231226",",5,S","24.4","2,S,15,","35.1","5,S,26,","29.47","7,S","33.16","5,,,S","25.79","2,,,S"
"GHM00065473","2024-01","5.617","0.0","18.0","TEMA, GH","0","5,S","0","5,S","","","","","","","20240105",",5,S","","","22.5","5,S,05,","","","","","","","26.10","5,,,S"
"GHM00065473","2024-06","5.617","0.0","18.0","TEMA, GH","","","","","0","5,S","25","5,S","0","5,S","","","20240622",",5,S","","","32.0","5,S,22,","","","30.95","5,,,S","",""
