"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00030802","1938-01","51.683","100.983","1304.0","MONDY, RS","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19380131","+,,I","","","","","","","0.0",",,I,31,+","","","","","0.0",",,,I","","","","","",""
"RSM00030802","1938-02","51.683","100.983","1304.0","MONDY, RS","","","4",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19380214",",,I","","","","","","","0.9",",,I,14,","","","","","2.4",",,,I","","","","","",""
"RSM00030802","1938-03","51.683","100.983","1304.0","MONDY, RS","","","2",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19380302",",,I","","","","","","","1.3",",,I,02,","","","","","1.9",",,,I","","","","","",""
"RSM00030802","1938-04","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19380420",",,I","","","","","","","2.3",",,I,20,","","","","","3.8",",,,I","","","","","",""
"RSM00030802","1938-05","51.683","100.983","1304.0","MONDY, RS","","","8",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19380528",",,I","","","","","","","3.6",",,I,28,","","","","","13.9",",,,I","","","","","",""
"RSM00030802","1938-06","51.683","100.983","1304.0","MONDY, RS","","","13",",I","7",",I","2",",I","","","","","","","","","","","","","","","","","19380609",",,I","","","","","","","31.7",",,I,09,","","","","","117.4",",,,I","","","","","",""
"RSM00030802","1938-07","51.683","100.983","1304.0","MONDY, RS","","","10",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19380722",",,I","","","","","","","12.1",",,I,22,","","","","","60.0",",,,I","","","","","",""
"RSM00030802","1938-08","51.683","100.983","1304.0","MONDY, RS","","","17",",I","10",",I","1",",I","","","","","","","","","","","","","","","","","19380814",",,I","","","","","","","25.4",",,I,14,","","","","","100.2",",,,I","","","","","",""
"RSM00030802","1938-09","51.683","100.983","1304.0","MONDY, RS","","","6",",I","2",",I","0",",I","","","","","","","","","","","","","","","","","19380907",",,I","","","","","","","9.9",",,I,07,","","","","","20.6",",,,I","","","","","",""
"RSM00030802","1938-10","51.683","100.983","1304.0","MONDY, RS","","","1",",I","1",",I","0",",I","","","","","","","","","","","","","","","","","19381026",",,I","","","","","","","7.7",",,I,26,","","","","","7.7",",,,I","","","","","",""
"RSM00030802","1938-11","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19381120",",,I","","","","","","","2.3",",,I,20,","","","","","3.7",",,,I","","","","","",""
"RSM00030802","1938-12","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19381211",",,I","","","","","","","1.0",",,I,11,","","","","","2.0",",,,I","","","","","",""
"RSM00030802","1939-01","51.683","100.983","1304.0","MONDY, RS","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19390130",",,I","","","","","","","0.2",",,I,30,","","","","","0.2",",,,I","","","","","",""
"RSM00030802","1939-02","51.683","100.983","1304.0","MONDY, RS","","","0",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19390221","+,,I","","","","","","","0.0",",T,I,21,+","","","","","0.0",",T,,I","","","","","",""
"RSM00030802","1939-03","51.683","100.983","1304.0","MONDY, RS","","","3",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19390321","+,,I","","","","","","","0.6",",,I,21,+","","","","","1.8",",,,I","","","","","",""
"RSM00030802","1939-04","51.683","100.983","1304.0","MONDY, RS","","","1",",I","0",",I","0",",I","","","","","","","","","","","","","","","","","19390429",",,I","","","","","","","0.5",",,I,29,","","","","","0.7",",,,I","","","","","",""
"RSM00030802","1939-05","51.683","100.983","1304.0","MONDY, RS","","","10",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19390528",",,I","","","","","","","7.9",",,I,28,","","","","","30.1",",,,I","","","","","",""
"RSM00030802","1939-06","51.683","100.983","1304.0","MONDY, RS","","","10",",I","5",",I","0",",I","","","","","","","","","","","","","","","","","19390618",",,I","","","","","","","11.7",",,I,18,","","","","","42.4",",,,I","","","","","",""
