"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014751","1939-01","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","0.0","0","0.0",",0","14",",0","4",",0","1",",0","18",",0","5",",0","0",",0","24",",0","6",",0","0",",0","0",",0","","","","","19390128","+,,0","19390119","+,,0","19390113",",,0","","","19390130",",,0","19390110",",,0","-13.3",",0,28,+","152",",,0,19,+","112",",,0,13,","36.6",",,0,30,","13.9",",0,10,","","","572.0",",0","78.0",",,,0","","","385",",,,0","-0.12",",0","4.07",",,,0","-4.31",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-02","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","0.0","0","0.0",",0","12",",0","8",",0","1",",0","1",",0","0",",0","0",",0","22",",0","1",",0","0",",0","0",",0","","","","","19390223",",,0","19390201",",,0","19390207",",,0","","","19390203",",,0","19390220",",,0","-10.6",",0,23,","25",",,0,01,","18",",,0,07,","29.5",",,0,03,","20.6",",0,20,","","","446.7",",0","103.8",",,,0","","","33",",,,0","2.38",",0","7.39",",,,0","-2.63",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-03","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","0.6","0","0.6",",0","12",",0","7",",0","0",",0","2",",0","2",",0","0",",0","22",",0","1",",0","2",",0","0",",0","","","","","19390319",",,0","19390312","+,,0","19390311",",,0","","","19390312",",,0","19390325",",,0","-8.3",",0,19,","25",",,0,12,+","28",",,0,11,","14.7",",,0,12,","27.2",",0,25,","","","419.0",",0","64.7",",,,0","","","61",",,,0","4.84",",0","10.35",",,,0","-0.68",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-04","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","5.3","0","4.7",",0","15",",0","9",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","6",",0","0",",0","","","","","19390413",",,0","19390430","+,,0","19390412","+,,0","","","19390406",",,0","19390425",",,0","-2.2",",0,13,","0",",,0,30,+","0",",T,0,12,+","16.0",",,0,06,","30.0",",0,25,","","","277.7",",0","70.9",",,,0","","","0",",T,,0","9.23",",0","14.61",",,,0","3.85",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-05","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","98.1","0","92.8",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","4",",0","","","","","19390501",",,0","19390531","+,,0","19390531","+,,0","","","19390522",",,0","19390531",",,0","2.2",",0,01,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,22,","36.1",",0,31,","","","69.4",",0","13.9",",,,0","","","0",",,,0","19.09",",0","26.01",",,,0","12.17",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-06","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","226.2","0","128.1",",0","13",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","5",",0","","","","","19390615",",,0","19390630","+,,0","19390630","+,,0","","","19390619",",,0","19390617",",,0","11.1",",0,15,","0",",,0,30,+","0",",,0,30,+","13.7",",,0,19,","36.7",",0,17,","","","2.8",",0","61.9",",,,0","","","0",",,,0","22.51",",0","28.52",",,,0","16.50",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-07","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","401.7","0","175.5",",0","9",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","10",",0","","","","","19390703",",,0","19390731","+,,0","19390731","+,,0","","","19390714",",,0","19390725",",,0","10.6",",0,03,","0",",,0,31,+","0",",,0,31,+","12.4",",,0,14,","35.6",",0,25,","0.0","0","0.0",",0","41.3",",,,0","","","0",",,,0","23.99",",0","29.98",",,,0","18.01",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-08","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","611.5","0","209.8",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","19390823",",,0","19390831","+,,0","19390831","+,,0","","","19390803",",,0","19390813","+,,0","14.4",",0,23,","0",",,0,31,+","0",",,0,31,+","38.4",",,0,03,","35.0",",0,13,+","0.0","0","0.0",",0","103.9",",,,0","","","0",",,,0","25.10",",0","31.35",",,,0","18.86",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-09","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","683.8","0","72.3",",0","10",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","2",",0","","","","","19390919",",,0","19390930","+,,0","19390930","+,,0","","","19390929",",,0","19390908",",,0","5.6",",0,19,","0",",,0,30,+","0",",,0,30,+","36.3",",,0,29,","37.2",",0,08,","22.5","0","22.5",",0","87.2",",,,0","","","0",",,,0","19.99",",0","26.07",",,,0","13.91",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014751","1939-10","40.21843","-76.85521","102.1","HARRISBURG CAPITAL CITY AIRPORT, PA US","","","700.2","0","16.4",",0","10",",0","6",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","12",",0","0",",0","","","","","19391016",",,0","19391031","+,,0","19391029",",,0","","","19391031",",,0","19391010","+,,0","-1.1",",0,16,","0",",,0,31,+","0",",T,0,29,","33.8",",,0,31,","31.7",",0,10,+","198.6","0","176.1",",0","98.7",",,,0","","","0",",T,,0","13.18",",0","18.74",",,,0","7.62",",,,0","","","","","","","","","","","","","","","","","","","","","",""
