"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00044602","1961-02","40.86667","-123.95","46.0","KORBEL, CA US","","","17",",0","14",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610228","+,,0","19610228","+,,0","","","19610211",",,0","","","","","0",",,0,28,+","0",",,0,28,+","52.8",",,0,11,","","","","","","","240.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-03","40.86667","-123.95","46.0","KORBEL, CA US","","","19","1,0","18","1,0","2","1,0","0","1,0","0","1,0","","","","","","","","","","","","","","","19610331","+,1,0","19610331","+,1,0","1","","19610317",",1,0","","","","","0","1,,0,31,+","0","1,,0,31,+","30.2","1,,0,17,","","","","","","","277.8","1,,,0","0","1,,,0","","","","","",""
"USC00044602","1961-04","40.86667","-123.95","46.0","KORBEL, CA US","","","6",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610430","+,,0","19610430","+,,0","","","19610421",",,0","","","","","0",",,0,30,+","0",",,0,30,+","35.6",",,0,21,","","","","","","","88.7",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-05","40.86667","-123.95","46.0","KORBEL, CA US","","","8",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610531","+,,0","19610531","+,,0","","","19610506",",,0","","","","","0",",,0,31,+","0",",,0,31,+","31.2",",,0,06,","","","","","","","109.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-06","40.86667","-123.95","46.0","KORBEL, CA US","","","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","7","","","","19610630","+,,0","19610630","+,,0","","","19610606",",,0","","","","","0",",,0,30,+","0",",,0,30,+","13.5",",,0,06,","","","","","","","13.5",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-07","40.86667","-123.95","46.0","KORBEL, CA US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610731","+,,0","19610731","+,,0","","","19610731","+,,0","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-08","40.86667","-123.95","46.0","KORBEL, CA US","","","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19610831","+,,0","19610831","+,,0","","","19610826",",,0","","","","","0",",,0,31,+","0",",,0,31,+","9.4",",,0,26,","","","","","","","12.4",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-09","40.86667","-123.95","46.0","KORBEL, CA US","","","3",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","3","","","","19610930","+,,0","19610930","+,,0","","","19610916",",,0","","","","","0",",,0,30,+","0",",,0,30,+","18.5",",,0,16,","","","","","","","21.5",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-10","40.86667","-123.95","46.0","KORBEL, CA US","","","9",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","7","","","","19611031","+,,0","19611031","+,,0","","","19611027",",,0","","","","","0",",,0,31,+","0",",,0,31,+","40.1",",,0,27,","","","","","","","93.2",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-11","40.86667","-123.95","46.0","KORBEL, CA US","","","15",",0","12",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19611130","+,,0","19611130","+,,0","","","19611124",",,0","","","","","0",",,0,30,+","0",",,0,30,+","54.9",",,0,24,","","","","","","","191.5",",,,0","0",",,,0","","","","","",""
"USC00044602","1961-12","40.86667","-123.95","46.0","KORBEL, CA US","","","15",",0","10",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19611231","+,,0","19611231","+,,0","","","19611219",",,0","","","","","0",",,0,31,+","0",",,0,31,+","50.8",",,0,19,","","","","","","","137.6",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-01","40.86667","-123.95","46.0","KORBEL, CA US","","","7",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","3","","","","19620131","+,,0","19620131","+,,0","","","19620118",",,0","","","","","0",",,0,31,+","0",",,0,31,+","68.3",",,0,18,","","","","","","","104.6",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-02","40.86667","-123.95","46.0","KORBEL, CA US","","","13","3,0","13","3,0","1","3,0","0",",0","0",",0","","","","","","","","","","","2","","","","19620228","+,,0","19620228","+,,0","","","19620207",",3,0","","","","","0",",,0,28,+","0",",,0,28,+","25.9","3,,0,07,","","","","","","","152.1",",a,,0","0",",,,0","","","","","",""
"USC00044602","1962-03","40.86667","-123.95","46.0","KORBEL, CA US","","","18",",0","15",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620331","+,,0","19620331","+,,0","1","","19620303",",,0","","","","","0",",,0,31,+","0",",,0,31,+","22.6",",,0,03,","","","","","","","164.6",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-04","40.86667","-123.95","46.0","KORBEL, CA US","","","6",",0","5",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620430","+,,0","19620430","+,,0","","","19620427",",,0","","","","","0",",,0,30,+","0",",,0,30,+","32.3",",,0,27,","","","","","","","84.8",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-05","40.86667","-123.95","46.0","KORBEL, CA US","","","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620531","+,,0","19620531","+,,0","","","19620509",",,0","","","","","0",",,0,31,+","0",",,0,31,+","16.3",",,0,09,","","","","","","","39.8",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-06","40.86667","-123.95","46.0","KORBEL, CA US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620630","+,,0","19620630","+,,0","","","19620630","+,,0","","","","","0",",,0,30,+","0",",,0,30,+","0.0",",,0,30,+","","","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-07","40.86667","-123.95","46.0","KORBEL, CA US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620731","+,,0","19620731","+,,0","","","19620731","+,,0","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-08","40.86667","-123.95","46.0","KORBEL, CA US","","","4",",0","4",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620831","+,,0","19620831","+,,0","","","19620807",",,0","","","","","0",",,0,31,+","0",",,0,31,+","31.0",",,0,07,","","","","","","","72.6",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-09","40.86667","-123.95","46.0","KORBEL, CA US","","","1",",0","1",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19620930","+,,0","19620930","+,,0","","","19620928",",,0","","","","","0",",,0,30,+","0",",,0,30,+","25.4",",,0,28,","","","","","","","25.4",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-10","40.86667","-123.95","46.0","KORBEL, CA US","","","11",",0","9",",0","6",",0","0",",0","0",",0","","","","","","","","","","","","","","","19621031","+,,0","19621031","+,,0","","","19621009",",,0","","","","","0",",,0,31,+","0",",,0,31,+","69.3",",,0,09,","","","","","","","266.2",",,,0","0",",,,0","","","","","",""
"USC00044602","1962-11","40.86667","-123.95","46.0","KORBEL, CA US","","","10",",0","9",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","","","19621130","+,,0","19621130","+,,0","","","19621112",",,0","","","","","0",",,0,30,+","0",",,0,30,+","88.6",",,0,12,","","","","","","","213.0",",,,0","0",",,,0","","","","","",""
"USC00044602","1963-01","40.86667","-123.95","46.0","KORBEL, CA US","","","4",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19630131","+,,0","19630131","+,,0","","","19630131",",,0","","","","","0",",,0,31,+","0",",,0,31,+","35.1",",,0,31,","","","","","","","57.3",",,,0","0",",,,0","","","","","",""
"USC00044602","1963-02","40.86667","-123.95","46.0","KORBEL, CA US","","","16",",0","12",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19630228","+,,0","19630228","+,,0","","","19630201",",,0","","","","","0",",,0,28,+","0",",,0,28,+","35.8",",,0,01,","","","","","","","153.3",",,,0","0",",,,0","","","","","",""
"USC00044602","1963-03","40.86667","-123.95","46.0","KORBEL, CA US","","","15",",0","12",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19630331","+,,0","19630331","+,,0","","","19630326",",,0","","","","","0",",,0,31,+","0",",,0,31,+","33.5",",,0,26,","","","","","","","197.6",",,,0","0",",,,0","","","","","",""
"USC00044602","1963-04","40.86667","-123.95","46.0","KORBEL, CA US","","","17",",0","17",",0","5",",0","0",",0","0",",0","","","","","","","","","","","","","","","19630430","+,,0","19630430","+,,0","","","19630412",",,0","","","","","0",",,0,30,+","0",",,0,30,+","48.8",",,0,12,","","","","","","","292.3",",,,0","0",",,,0","","","","","",""
"USC00044602","1963-05","40.86667","-123.95","46.0","KORBEL, CA US","","","8",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19630531","+,,0","19630531","+,,0","","","19630507",",,0","","","","","0",",,0,31,+","0",",,0,31,+","16.8",",,0,07,","","","","","","","64.3",",,,0","0",",,,0","","","","","",""
"USC00044602","1963-06","40.86667","-123.95","46.0","KORBEL, CA US","","","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19630630","+,,0","19630630","+,,0","","","19630622",",,0","","","","","0",",,0,30,+","0",",,0,30,+","13.0",",,0,22,","","","","","","","13.0",",,,0","0",",,,0","","","","","",""
