"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"SPW00013025","1958-10","36.65","-6.35","25.6","ROTA NAS, SP","","","","","33.6",",X","2",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","0",",X","","","","","19581007",",,X","19581031","+,,X","19581031","+,,X","1","","19581030",",,X","19581016",",,X","9.4",",X,07,","0",",,X,31,+","0",",,X,31,+","19.3",",,X,30,","30.6",",X,16,","","","9.5",",X","36.3",",,,X","0",",,,X","19.11",",X","24.21",",,,X","14.01",",,,X","","","","","","","",""
"SPW00013025","1958-11","36.65","-6.35","25.6","ROTA NAS, SP","","","","","1.4",",X","4",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","7",",X","0",",X","5","","","","19581120","+,,X","19581130","+,,X","19581130","+,,X","1","","19581130",",,X","19581108",",,X","5.6",",X,20,+","0",",,X,30,+","0",",,X,30,+","43.2",",,X,30,","25.6",",X,08,","","","114.0",",X","67.3",",,,X","0",",,,X","14.58",",X","19.49",",,,X","9.67",",,,X","158",",X","","","17.5",",X","",""
"SPW00013025","1958-12","36.65","-6.35","25.6","ROTA NAS, SP","","","","","0.0",",X","20",",X","18",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","4","","","","19581210",",,X","19581231","+,,X","19581231","+,,X","6","","19581219",",,X","19581216","+,,X","4.4",",X,10,","0",",,X,31,+","0",",,X,31,+","60.2",",,X,19,","18.9",",X,16,+","","","147.8",",X","303.5",",,,X","0",",,,X","13.57",",X","16.47",",,,X","10.66",",,,X","","","","","","","",""
"SPW00013025","1959-01","36.65","-6.35","25.6","ROTA NAS, SP","","","0.0","X","0.0",",X","13",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","9","","","","19590105",",,X","19590131","+,,X","19590131","+,,X","2","","19590130",",,X","19590124",",,X","2.8",",X,05,","0",",,X,31,+","0",",,X,31,+","17.5",",,X,30,","21.7",",X,24,","","","157.0",",X","51.2",",,,X","0",",,,X","13.27",",X","16.44",",,,X","10.09",",,,X","113",",X","","","20.6",",X","",""
"SPW00013025","1959-02","36.65","-6.35","25.6","ROTA NAS, SP","","","0.0","X","0.0",",X","5",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1","","","","19590205",",,X","19590228","+,,X","19590228","+,,X","","","19590207","+,,X","19590224",",,X","3.9",",X,05,","0",",,X,28,+","0",",,X,28,+","10.4",",,X,07,+","19.4",",X,24,","","","189.4",",X","36.3",",,,X","0",",,,X","11.57",",X","16.31",",,,X","6.83",",,,X","90",",X","","","14.4",",X","",""
"SPW00013025","1959-03","36.65","-6.35","25.6","ROTA NAS, SP","","","0.0","X","0.0",",X","14",",X","7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","1",",X","0",",X","4","","","","19590314",",,X","19590331","+,,X","19590331","+,,X","","","19590302",",,X","19590331",",,X","5.6",",X,14,","0",",,X,31,+","0",",,X,31,+","17.8",",,X,02,","21.7",",X,31,","","","135.2",",X","86.7",",,,X","0",",,,X","13.97",",X","17.39",",,,X","10.55",",,,X","113",",X","","","20.6",",X","",""
"SPW00013025","1959-04","36.65","-6.35","25.6","ROTA NAS, SP","","","0.6","X","0.6",",X","8",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","1","","","","19590412",",,X","19590430","+,,X","19590430","+,,X","3","","19590413",",,X","19590421",",,X","7.2",",X,12,","0",",,X,30,+","0",",,X,30,+","8.9",",,X,13,","27.2",",X,21,","","","78.6",",X","32.7",",,,X","0",",,,X","15.73",",X","20.28",",,,X","11.19",",,,X","180",",X","","","17.0",",X","",""
"SPW00013025","1959-05","36.65","-6.35","25.6","ROTA NAS, SP","","","13.1","X","12.5",",X","10",",X","6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","1","","","","19590501",",,X","19590531","+,,X","19590531","+,,X","1","","19590521",",,X","19590515",",,X","8.3",",X,01,","0",",,X,31,+","0",",,X,31,+","13.7",",,X,21,","29.4",",X,15,","","","34.2",",X","42.5",",,,X","0",",,,X","17.63",",X","21.55",",,,X","13.71",",,,X","180",",X","","","17.0",",X","",""
"SPW00013025","1959-06","36.65","-6.35","25.6","ROTA NAS, SP","","","100.4","X","87.3",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","1",",X","4","","","","19590608","+,,X","19590630","+,,X","19590630","+,,X","","","19590602",",,X","19590610",",,X","12.2",",X,08,+","0",",,X,30,+","0",",,X,30,+","0.5",",,X,02,","32.8",",X,10,","","","3.0",",X","0.5",",,,X","0",",,,X","21.14",",X","25.93",",,,X","16.35",",,,X","113",",X","","","15.4",",X","",""
"SPW00013025","1959-07","36.65","-6.35","25.6","ROTA NAS, SP","","","268.7","X","168.3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","6",",X","3","","","","19590715",",,X","19590731","+,,X","19590731","+,,X","","","19590722","+,,X","19590706",",,X","15.6",",X,15,","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,22,+","35.6",",X,06,","0.0","X","0.0",",X","0.0",",T,,X","0",",,,X","23.76",",X","28.37",",,,X","19.15",",,,X","113",",X","","","20.0",",X","",""
