"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00058690","1995-12","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","","","","","1","4,0","0","4,0","0","4,0","0","4,0","0","5,0","","","","","","","","","","","1","","","","19951227","+,4,0","19951223",",5,0","","","19951218",",4,0","","","","","0","4,T,0,27,+","13","5,,0,23,","0.5","4,,0,18,","","","","","","","0.5","4,,,0","23","5,,,0","","","","","","","","","",""
"USC00058690","1996-01","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","0.0","0","0.0",",0","8",",0","6",",0","0",",0","20",",0","6",",0","10",",0","31",",0","13",",0","0",",0","0",",0","","","19960105",",,0","19960131","+,,0","19960105",",,0","","","19960105",",,0","19960114",",,0","-26.1",",0,05,","152",",,0,31,+","145",",,0,05,","6.1",",,0,05,","13.9",",0,14,","","","726.1",",0","23.4",",,,0","493",",,,0","-5.09",",0","2.03",",,,0","-12.21",",,,0","","","",""
"USC00058690","1996-02","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","0.0","0","0.0","1,0","4","1,0","0","1,0","0","1,0","11","1,0","2","1,0","7","1,0","23","1,0","6","1,0","0","1,0","0","1,0","","","19960202",",1,0","19960203","+,1,0","19960227",",1,0","","","19960227",",1,0","19960218","+,1,0","-32.8","1,0,02,","152","1,,0,03,+","86","1,,0,27,","2.3","1,,0,27,","13.9","1,0,18,+","","","570.1","1,0","3.6","1,,,0","147","1,,,0","-2.03","1,0","4.95","1,,,0","-9.00","1,,,0","","","",""
"USC00058690","1996-03","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","0.0","0","0.0",",0","7",",0","3",",0","0",",0","11",",0","3",",0","2",",0","31",",0","7",",0","0",",0","0",",0","2","","19960325",",,0","19960324",",,0","19960324",",,0","","","19960324",",,0","19960311",",,0","-24.4",",0,25,","305",",,0,24,","300",",,0,24,","22.6",",,0,24,","17.2",",0,11,","","","600.8",",0","35.4",",,,0","513",",,,0","-1.05",",0","6.40",",,,0","-8.49",",,,0","","","",""
"USC00058690","1996-04","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","0.0","0","0.0",",0","10",",0","6",",0","0",",0","5",",0","3",",0","0",",0","24",",0","1",",0","3",",0","0",",0","3","","19960422",",,0","19960405",",,0","19960414",",,0","3","","19960412",",,0","19960425","+,,0","-8.9",",0,22,","102",",,0,05,","97",",,0,14,","22.1",",,0,12,","23.3",",0,25,+","","","402.3",",0","60.1",",,,0","232",",,,0","4.92",",0","12.29",",,,0","-2.45",",,,0","","","",""
"USC00058690","1996-05","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","0.3","0","0.3","1,0","13",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","11","1,0","0",",0","10",",0","0",",0","9","","19960505",",1,0","19960501",",,0","19960501",",,0","5","","19960527",",,0","19960519","+,,0","-2.2","1,0,05,","0",",T,0,01,","5",",,0,01,","18.0",",,0,27,","28.9",",0,19,+","","","278.5",",0","77.2",",,,0","5",",,,0","9.26","1,0","16.77",",,,0","1.75","1,,,0","","","",""
"USC00058690","1996-06","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","4.7","0","4.4","1,0","14","2,0","6","2,0","0","2,0","0",",0","0",",0","0","1,0","2","1,0","0","1,0","24","1,0","0","1,0","2","","19960607","+,1,0","19960630","+,,0","19960630","+,,0","19","","19960622",",2,0","19960621",",1,0","0.0","1,0,07,+","0",",,0,30,+","0",",,0,30,+","14.0","2,,0,22,","29.4","1,0,21,","","","93.2","1,0","68.4",",a,,0","0",",,,0","15.27","1,0","24.33","1,,,0","6.22","1,,,0","","","",""
"USC00058690","1996-07","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","33.9","0","29.2","5,0","11","4,0","5","4,0","0","4,0","0",",0","0",",0","0","5,0","0","5,0","0","4,0","24","4,0","2","4,0","1","","19960714",",5,0","19960731","+,,0","19960731","+,,0","16","","19960710",",4,0","19960704",",4,0","5.0","5,0,14,","0",",,0,31,+","0",",,0,31,+","15.0","4,,0,10,","33.3","4,0,04,","35.2","0","35.2","4,0","66.4",",a,,0","0",",,,0","18.11","5,0","26.59","4,,,0","9.62","5,,,0","","","",""
"USC00058690","1996-08","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","48.5","0","14.6","1,0","15",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","29",",0","3",",0","","","19960807",",1,0","19960831","+,,0","19960831","+,,0","13","","19960819","+,,0","19960813",",,0","2.2","1,0,07,","0",",,0,31,+","0",",,0,31,+","5.6",",,0,19,+","35.0",",0,13,","90.4","0","55.2",",0","34.2",",,,0","0",",,,0","16.94","1,0","26.83",",,,0","7.04","1,,,0","","","",""
"USC00058690","1996-09","40.9652","-105.2185","2140.9","VIRGINIA DALE 7 ENE, CO US","","","49.9","0","1.4",",0","11",",0","5",",0","0",",0","1",",0","2",",0","0",",0","6",",0","0",",0","13",",0","0",",0","3","","19960927",",,0","19960927",",,0","19960927",",,0","4","","19960919",",,0","19960902",",,0","-8.3",",0,27,","102",",,0,27,","178",",,0,27,","16.8",",,0,19,","31.7",",0,02,","299.0","0","208.6",",0","51.1",",,,0","229",",,,0","11.43",",0","20.37",",,,0","2.49",",,,0","","","",""
